"","gene","Neuron","Astrocyte","Oligodendrocyte","Microglia","Endothelial"
"ENSG00000121410","A1BG",0.1,0.1,0.1,0.1,0.1
"ENSG00000268895","A1BG-AS1",0.5,0.166666666666667,0.1,0.233333333333333,0.15
"ENSG00000148584","A1CF",0.1,0.1,0.1,0.1,0.1
"ENSG00000175899","A2M",4.8,6.15833333333333,35.36,333.066666666667,184.3
"ENSG00000166535","A2ML1",0.1,3.65833333333333,0.12,0.1,0.2
"ENSG00000256069","A2MP1",0.2,0.175,0.12,0.4,0.35
"ENSG00000128274","A4GALT",0.1,0.1,0.1,0.1,0.25
"ENSG00000118017","A4GNT",0.1,0.116666666666667,0.1,0.133333333333333,0.1
"ENSG00000265544","AA06",0.1,0.1,0.1,0.1,0.1
"ENSG00000094914","AAAS",0.8,3.55,1.56,0.766666666666667,2.65
"ENSG00000081760","AACS",0.7,0.458333333333333,0.28,0.233333333333333,0.1
"ENSG00000250420","AACSP1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114771","AADAC",0.1,0.1,0.1,0.1,0.1
"ENSG00000261846","AADACL2",0.1,0.1,0.1,0.1,0.1
"ENSG00000188984","AADACL3",0.1,0.1,0.1,0.1,0.1
"ENSG00000204518","AADACL4",0.1,0.1,0.1,0.1,0.1
"ENSG00000109576","AADAT",6.3,10.5,4.08,0.166666666666667,0.45
"ENSG00000103591","AAGAB",2.3,1.28333333333333,0.82,1.13333333333333,0.45
"ENSG00000115977","AAK1",13.1,2.5,1.58,4.1,1.35
"ENSG00000127837","AAMP",1.9,2.11666666666667,1.96,1.83333333333333,0.6
"ENSG00000129673","AANAT",0.1,0.1,0.1,0.333333333333333,0.1
"ENSG00000090861","AARS",10,9.69166666666667,7.34,3.8,1.85
"ENSG00000124608","AARS2",0.3,0.408333333333333,0.34,0.266666666666667,0.3
"ENSG00000266967","AARSD1",2.8,1.05,0.78,0.633333333333333,0.4
"ENSG00000157426","AASDH",2.9,4.79166666666667,2.06,1.2,0.6
"ENSG00000149313","AASDHPPT",22.6,4.11666666666667,5.9,1.4,0.85
"ENSG00000008311","AASS",1.3,10.5,5.14,2.66666666666667,1.45
"ENSG00000276072","AATF",5.8,4.84166666666667,8.96,6.06666666666667,4.1
"ENSG00000181409","AATK",0.2,0.275,1.6,0.1,0.1
"ENSG00000225180","AATK-AS1",0.1,0.1,0.1,0.1,0.1
"ENSG00000183044","ABAT",36.8,22.1,6.84,1.53333333333333,1.85
"ENSG00000165029","ABCA1",2.9,12.2,2.4,9.7,1.4
"ENSG00000154263","ABCA10",0.5,0.1,0.1,0.1,0.2
"ENSG00000251595","ABCA11P",4.6,1.44166666666667,1.34,1.06666666666667,0.45
"ENSG00000144452","ABCA12",0.1,0.116666666666667,0.1,0.1,0.1
"ENSG00000179869","ABCA13",0.1,0.1,0.1,0.1,0.1
"ENSG00000238098","ABCA17P",0.1,0.1,0.1,0.1,0.1
"ENSG00000107331","ABCA2",0.1,0.525,0.6,0.1,0.25
"ENSG00000167972","ABCA3",0.5,2.025,0.34,0.1,0.65
"ENSG00000198691","ABCA4",0.1,0.166666666666667,0.1,0.1,0.1
"ENSG00000154265","ABCA5",3,0.15,0.66,0.133333333333333,0.3
"ENSG00000154262","ABCA6",0.8,0.1,0.32,0.333333333333333,0.2
"ENSG00000064687","ABCA7",0.1,0.1,0.1,0.1,0.1
"ENSG00000141338","ABCA8",1.2,0.458333333333333,18.42,0.2,1.95
"ENSG00000154258","ABCA9",1.5,0.1,0.1,0.166666666666667,1.75
"ENSG00000085563","ABCB1",0.4,0.108333333333333,0.1,0.1,18.5
"ENSG00000135776","ABCB10",2.4,1.475,1.08,0.866666666666667,0.55
"ENSG00000073734","ABCB11",0.1,0.1,0.1,0.1,0.1
"ENSG00000005471","ABCB4",0.2,0.1,0.14,1.5,0.35
"ENSG00000004846","ABCB5",0.3,0.1,0.1,0.1,0.1
"ENSG00000115657","ABCB6",1.4,1.475,0.5,0.133333333333333,0.25
"ENSG00000131269","ABCB7",2.5,3.45,2.92,4.06666666666667,1.25
"ENSG00000197150","ABCB8",0.8,0.391666666666667,0.28,0.133333333333333,0.1
"ENSG00000150967","ABCB9",0.1,0.308333333333333,0.1,0.1,0.1
"ENSG00000278183","ABCC1",1.1,0.316666666666667,0.1,0.7,0.15
"ENSG00000124574","ABCC10",0.3,0.25,0.14,0.166666666666667,0.1
"ENSG00000121270","ABCC11",0.1,0.183333333333333,0.1,0.1,0.1
"ENSG00000140798","ABCC12",0.1,0.1,0.1,0.1,0.1
"ENSG00000243064","ABCC13",0.1,0.1,0.1,0.266666666666667,0.1
"ENSG00000023839","ABCC2",0.1,0.1,0.1,0.166666666666667,0.1
"ENSG00000108846","ABCC3",0.1,0.1,0.1,0.1,0.1
"ENSG00000125257","ABCC4",0.3,0.583333333333333,1.02,15.6,0.35
"ENSG00000114770","ABCC5",11.3,1.81666666666667,4.02,2,0.85
"ENSG00000091262","ABCC6",0.5,0.675,0.1,0.1,0.4
"ENSG00000256340","ABCC6P1",0.1,0.1,0.14,0.1,0.3
"ENSG00000273808","ABCC6P2",0.1,0.4,0.1,0.1,0.1
"ENSG00000006071","ABCC8",0.5,0.875,0.26,0.1,0.1
"ENSG00000069431","ABCC9",0.6,10.275,0.2,0.1,6.55
"ENSG00000101986","ABCD1",0.1,0.1,0.1,0.1,0.1
"ENSG00000173208","ABCD2",2.4,9.28333333333333,0.22,0.1,0.15
"ENSG00000117528","ABCD3",6.2,8.19166666666667,6.24,2.1,4.55
"ENSG00000119688","ABCD4",1.1,2.9,1.28,1.36666666666667,0.7
"ENSG00000164163","ABCE1",5.9,3.23333333333333,5.48,8.3,0.85
"ENSG00000236342","ABCF1",0.4,0.425,0.46,0.466666666666667,0.2
"ENSG00000033050","ABCF2",1.7,2.575,1.8,1.56666666666667,0.7
"ENSG00000161204","ABCF3",0.8,1.2,0.4,0.7,0.9
"ENSG00000160179","ABCG1",1.4,0.483333333333333,6.84,3.66666666666667,2.3
"ENSG00000118777","ABCG2",0.6,0.241666666666667,0.62,6.6,48.2
"ENSG00000172350","ABCG4",0.3,0.166666666666667,0.1,0.1,0.15
"ENSG00000138075","ABCG5",0.3,0.116666666666667,0.1,0.1,0.1
"ENSG00000143921","ABCG8",0.1,0.1,0.1,0.1,0.1
"ENSG00000143994","ABHD1",0.1,0.158333333333333,0.1,0.1,0.15
"ENSG00000144827","ABHD10",11.7,6.46666666666667,7.4,1.86666666666667,1.35
"ENSG00000106077","ABHD11",0.6,1.48333333333333,0.48,1.96666666666667,0.7
"ENSG00000225969","ABHD11-AS1",0.1,0.108333333333333,0.1,0.1,0.1
"ENSG00000100997","ABHD12",2.1,1.49166666666667,2,2.3,1.15
"ENSG00000131969","ABHD12B",0.1,0.175,1.6,0.333333333333333,0.1
"ENSG00000139826","ABHD13",2.4,0.85,1.2,2.03333333333333,0.75
"ENSG00000248487","ABHD14A",0.3,1.18333333333333,0.22,0.233333333333333,0.5
"ENSG00000114786","ABHD14A-ACY1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114779","ABHD14B",0.1,0.908333333333333,0.62,1.53333333333333,2.4
"ENSG00000168792","ABHD15",0.1,1.20833333333333,0.5,2.46666666666667,0.1
"ENSG00000224552","ABHD16A",0.3,0.308333333333333,0.24,0.266666666666667,0.1
"ENSG00000183260","ABHD16B",0.1,0.1,0.1,0.133333333333333,0.1
"ENSG00000140526","ABHD2",9.3,19.375,18.8,4,5.1
"ENSG00000158201","ABHD3",2.7,8.74166666666667,1.82,7.83333333333333,0.4
"ENSG00000100439","ABHD4",1.2,6.21666666666667,2.6,1.16666666666667,2.05
"ENSG00000011198","ABHD5",2.1,3.24166666666667,1.96,2.1,0.7
"ENSG00000163686","ABHD6",2.6,2.43333333333333,5.26,0.466666666666667,0.75
"ENSG00000127220","ABHD8",0.1,0.1,0.1,0.1,0.1
"ENSG00000136754","ABI1",20.1,24.8583333333333,6.04,22.1666666666667,4.85
"ENSG00000138443","ABI2",19.9,24.5083333333333,11.54,4.36666666666667,5.2
"ENSG00000108798","ABI3",0.1,0.116666666666667,0.42,3.6,0.45
"ENSG00000154175","ABI3BP",2.5,0.35,0.1,0.2,0.65
"ENSG00000097007","ABL1",0.6,2.16666666666667,1.58,1.13333333333333,1.35
"ENSG00000143322","ABL2",3.5,1.95,3,26.9666666666667,1.25
"ENSG00000099204","ABLIM1",18.8,39.95,1.88,0.233333333333333,25
"ENSG00000163995","ABLIM2",1.5,0.283333333333333,0.32,0.133333333333333,0.45
"ENSG00000173210","ABLIM3",2.5,1.83333333333333,0.98,0.166666666666667,4.4
"ENSG00000175164","ABO",0.1,0.1,0.1,0.1,0.1
"ENSG00000278741","ABR",4.2,11.675,1.02,7.46666666666667,3.5
"ENSG00000174429","ABRA",0.8,0.1,0.1,0.966666666666667,0.1
"ENSG00000146109","ABT1",1,0.625,1.18,1.56666666666667,0.3
"ENSG00000114626","ABTB1",0.1,0.166666666666667,0.14,0.233333333333333,0.35
"ENSG00000166016","ABTB2",0.2,1.15,1.02,0.1,0.2
"ENSG00000060971","ACAA1",3.4,5.4,3.42,2.56666666666667,1.05
"ENSG00000167315","ACAA2",5.2,56.0166666666667,12.06,11.7,5.35
"ENSG00000275176","ACACA",6.8,6.08333333333333,4.6,1.63333333333333,1.6
"ENSG00000076555","ACACB",0.1,4.81666666666667,0.48,0.166666666666667,1.05
"ENSG00000111271","ACAD10",0.5,0.75,0.3,0.3,0.15
"ENSG00000240303","ACAD11",1.6,2.58333333333333,2.52,1.33333333333333,0.35
"ENSG00000151498","ACAD8",6,4.8,3.04,1.43333333333333,0.75
"ENSG00000177646","ACAD9",2,1.31666666666667,0.76,0.766666666666667,0.25
"ENSG00000115361","ACADL",1.9,0.916666666666667,0.28,0.1,0.15
"ENSG00000117054","ACADM",13.7,17.425,9.86,6.83333333333333,3.35
"ENSG00000122971","ACADS",0.1,0.141666666666667,0.1,0.1,0.1
"ENSG00000196177","ACADSB",7.6,6.43333333333333,3.14,1.5,0.75
"ENSG00000072778","ACADVL",1.7,13.15,1.58,1.96666666666667,4.75
"ENSG00000157766","ACAN",0.1,0.1,0.1,0.1,0.1
"ENSG00000072818","ACAP1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114331","ACAP2",2.1,6.375,3.22,5.56666666666667,1.7
"ENSG00000131584","ACAP3",0.1,0.1,0.1,0.1,0.1
"ENSG00000075239","ACAT1",17,13.05,7.68,4.2,3.4
"ENSG00000120437","ACAT2",11.9,7.90833333333333,7.82,2.13333333333333,0.1
"ENSG00000182827","ACBD3",6.7,4.525,4.66,6.03333333333333,2.2
"ENSG00000181513","ACBD4",0.1,0.208333333333333,0.1,0.1,0.1
"ENSG00000107897","ACBD5",11.3,21.0083333333333,18.22,5.56666666666667,3.75
"ENSG00000230124","ACBD6",4.8,2.86666666666667,2.9,1.83333333333333,2.9
"ENSG00000176244","ACBD7",1.7,21.6416666666667,0.62,0.133333333333333,0.65
"ENSG00000262505","ACCN5",0.2,0.1,0.1,0.1,0.1
"ENSG00000110455","ACCS",0.1,0.45,0.12,0.333333333333333,0.1
"ENSG00000205126","ACCSL",0.1,0.1,0.1,0.1,0.1
