Gene Symbol,Affymetrix ID,Module Assigned
06/01/06,1420502_at,blue
9.83E+11,1427722_at,NA
4.93E+026,1434868_at,NA
0610005C13Rik,1434906_at,NA
0610006F02Rik,1416980_at,NA
0610006I08Rik,1416628_at,NA
0610007A15Rik,1452132_at,NA
0610007A15Rik,1426616_at,NA
0610007C21Rik,1428380_at,NA
0610007H07Rik,1428050_a_at,grey
0610007P06Rik,1419352_at,NA
0610007P06Rik,1419351_a_at,NA
0610007P08Rik,1453985_at,NA
0610007P08Rik,1452447_at,NA
0610007P14Rik,1454161_s_at,NA
0610007P22Rik,1437969_s_at,purple
0610007P22Rik /// Gm937,1427509_at,red
0610007P22Rik /// LOC546103,1431132_x_at,NA
0610008F07Rik,1425246_at,NA
0610008L10Rik,1425025_at,NA
0610009A07Rik,1451547_at,NA
0610009B22Rik,1418083_at,NA
0610009D07Rik,1417054_a_at,NA
0610009D07Rik,1417055_at,NA
0610009D07Rik,1435508_x_at,NA
0610009D07Rik,1436681_x_at,NA
0610009E20Rik,1448882_at,NA
0610009E20Rik,1417912_at,NA
0610009H04Rik,1451412_a_at,NA
0610009K11Rik,1451401_a_at,grey
0610009K11Rik,1434118_at,purple
0610009O03Rik,1416358_at,NA
0610009O20Rik,1421049_at,NA
0610009O20Rik,1452685_at,NA
0610010D20Rik,1450098_at,NA
0610010D24Rik,1427138_at,orange
0610010E21Rik,1433936_at,NA
0610010K06Rik,1433463_at,NA
0610010K06Rik,1430671_a_at,NA
0610010K14Rik,1428679_s_at,NA
0610010K14Rik,1429252_at,NA
0610010O12Rik,1427878_at,NA
0610011I04Rik,1423909_at,NA
0610011I04Rik,1425603_at,lightyellow
0610011L14Rik,1437836_x_at,NA
0610011L14Rik,1426017_a_at,NA
0610011L14Rik,1437835_a_at,grey
0610011N22Rik,1449096_at,NA
0610012D09Rik,1417711_at,NA
0610012D09Rik,1438171_x_at,NA
0610012D09Rik,1417710_at,NA
0610012D14Rik,1425117_at,NA
0610012G03Rik,1417002_at,NA
0610012G03Rik,1448540_a_at,NA
0610012G03Rik,1417003_at,NA
0610013E23Rik,1428078_at,NA
0610016J10Rik,1420339_at,NA
0610016J10Rik,1449821_a_at,NA
0610025L06Rik,1456377_x_at,blue
0610025L06Rik,1460738_at,NA
0610025L06Rik,1429104_at,pink
0610025L06Rik,1436522_at,NA
0610025P10Rik,1430417_s_at,grey
0610031J06Rik,1416830_at,NA
0610033I05Rik,1451321_a_at,NA
0610037D15Rik,1425043_s_at,NA
0610037L13Rik,1456370_s_at,NA
0610037L13Rik,1438343_at,NA
0610037L13Rik,1426467_s_at,NA
0610037L13Rik,1426468_at,NA
0610037M15Rik,1431008_at,NA
0610037P05Rik,1451187_at,NA
0610038D11Rik,1425299_s_at,red
0610038D11Rik,1460375_at,NA
0610038F07Rik,1428880_at,NA
0610038F07Rik,1452941_at,NA
0610038K03Rik,1425057_at,NA
0610039A15Rik,1451145_s_at,NA
0610039D01Rik,1451387_s_at,grey
0610039J04Rik,1428798_s_at,NA
