Genotyping_Sample_ID	Cluster	EV.1	EV.2	EV.3	EV.4	EV.5
MSSM_1	E	0.02112	0.021886	0.004743	0.018983	-0.020529
MSSM_10	C	-0.017305	0.002913	-0.327463	-0.014998	0.07432
MSSM_100	F	0.019061	-0.043151	0.005808	0.131348	-0.019458
MSSM_101	F	0.019767	-0.028841	0.003917	0.102125	-0.010702
MSSM_102	B	0.018539	-0.086015	0.006477	-0.03729	0.030423
MSSM_106	D	-0.082774	0.000918	0.01996	-0.004903	-0.022186
MSSM_108	A	0.021318	0.033951	0.00643	-0.034878	0.026355
MSSM_109	B	0.018522	-0.075963	0.001134	-0.040639	-0.03946
MSSM_11	D	-0.082551	0.001047	0.029506	-0.007406	-0.005409
MSSM_110	C	-0.054153	-0.002756	-0.039666	0.036013	0.086289
MSSM_111	A	0.02146	0.021849	0.00384	-0.004739	-0.002738
MSSM_112	A	0.022396	0.031451	0.007673	-0.021889	0.023363
MSSM_113	B	0.017852	-0.078146	0.003648	-0.066039	-0.010947
MSSM_114	E	0.021767	0.031596	0.005511	-0.002424	-0.007977
MSSM_116	G	0.021144	0.005194	0.003298	0.043013	-0.014195
MSSM_117	E	0.022208	0.023308	0.005612	0.024191	0.005535
MSSM_118	B	0.01858	-0.092336	0.008192	-0.064607	-0.021485
MSSM_119	A	0.021164	0.023172	0.00263	0.010179	0.000461
MSSM_12	B	0.017775	-0.085704	0.003242	-0.033872	-0.023737
MSSM_120	A	0.021643	0.023938	0.002523	-0.013282	0.024134
MSSM_121	C	-0.003459	0.016513	-0.207525	-0.084035	-0.217961
MSSM_122	D	-0.081664	0.000792	0.025661	-0.000713	-0.014939
MSSM_123	B	0.018819	-0.08148	0.006598	-0.016675	-0.016786
MSSM_124	A	0.021175	0.031674	0.002587	-0.023752	0.01869
MSSM_125	B	0.017374	-0.089607	-0.001491	-0.034526	-0.023832
MSSM_126	A	0.020298	0.018617	-0.001543	-0.010232	0.00214
MSSM_127	A	0.020853	0.030543	-0.006878	-0.011283	0.009727
MSSM_128	D	-0.083202	0.000697	0.021565	0.001934	0.002214
MSSM_129	C	-0.035733	-0.003456	-0.061836	0.022834	0.011225
MSSM_13	A	0.021185	0.03739	-0.00186	-0.003698	0.00303
MSSM_130	D	-0.087448	0.000925	0.027652	-0.001639	-0.013863
MSSM_131	C	-0.029571	-0.00378	-0.128319	0.037208	0.117539
MSSM_132	B	0.019707	-0.023124	-0.000255	-0.030146	0.032844
MSSM_133	G	0.02081	-0.010395	0.001832	0.038164	-0.018054
MSSM_134	F	0.018372	-0.03027	0.000958	0.101779	0.018862
MSSM_135	C	-0.019136	-0.007033	-0.247952	-0.014592	0.10484
MSSM_136	D	-0.088931	0.000881	0.023351	-0.003005	-0.010469
MSSM_137	G	-0.017328	-0.016969	-0.000933	0.17736	0.081719
