"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PCT_CHIMERAS","CODING_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_Dropout","GC_Dropout","Read_Pair_Duplicates","Read_Pair_Optical_Duplicates"
"MSSM_RNA_BP_PFC_10",69099512,69099512,67029463,0.018911,610190884,0.40813,0.543044,0.871559,0.632855,4.626125,2.985792,3008447,1947777
"MSSM_RNA_BP_PFC_11",89294712,89294712,86303161,0.015482,1299741038,0.363199,0.723365,0.882505,0.828377,20.038811,0.611209,7804088,6331654
"MSSM_RNA_BP_PFC_12",84014909,84014909,81055114,0.0165,1041168696,0.422659,0.600933,0.812494,0.745457,10.587564,2.326394,8636662,5113413
"MSSM_RNA_BP_PFC_13",84693397,84693397,81915166,0.015058,995370652,0.388002,0.586266,0.911025,0.65484,10.459701,1.980256,5156705,3819129
"MSSM_RNA_BP_PFC_14",76702466,76702466,74196581,0.01637,955293921,0.427705,0.58368,0.806905,0.728669,5.285144,2.645928,4036229,1763148
"MSSM_RNA_BP_PFC_15",81201872,81201872,78653012,0.015714,1101804485,0.386568,0.585907,0.923893,0.634824,13.239489,1.173744,5493980,4121325
"MSSM_RNA_BP_PFC_16",88323344,88323344,86038261,0.016717,1072232328,0.360196,0.628556,0.911603,0.680901,9.338421,0.878276,4278987,2495370
"MSSM_RNA_BP_PFC_17",76044902,76044902,72411167,0.014039,1175169505,0.38046,0.663248,0.890003,0.746109,20.812174,1.526685,6849752,5655684
"MSSM_RNA_BP_PFC_18",79931267,79931267,76583137,0.014863,1521638863,0.421504,0.552885,0.791362,0.722292,11.382102,1.666203,5722390,3865272
"MSSM_RNA_BP_PFC_19",98561213,98561213,94746174,0.011323,1887024136,0.485173,0.466539,0.760376,0.613155,6.189326,4.092898,7700118,4048397
"MSSM_RNA_BP_PFC_20",88033549,88033549,84436192,0.016685,1591023736,0.396814,0.697769,0.830169,0.814327,17.507835,0.440521,6212813,4503703
"MSSM_RNA_BP_PFC_23",67183666,67183666,64697813,0.014239,851771489,0.397921,0.599208,0.943403,0.634011,14.975826,2.72542,6249574,4921233
"MSSM_RNA_BP_PFC_24",156692872,156692872,150682528,0.012922,2937570752,0.481976,0.514806,0.766673,0.687143,7.80367,2.285192,12906385,5686438
"MSSM_RNA_BP_PFC_2",98261133,98261133,95457097,0.017745,978810067,0.421884,0.517308,0.828332,0.616071,4.897886,3.755613,4879221,2529399
"MSSM_RNA_BP_PFC_4",60836638,60836638,58633075,0.015534,696262520,0.440694,0.590267,0.794847,0.734119,11.703123,1.220112,3231850,2522727
"MSSM_RNA_BP_PFC_5",82140641,82140641,79660070,0.019409,761684480,0.413423,0.513965,0.88053,0.600837,7.297003,3.158587,4549490,3277299
"MSSM_RNA_BP_PFC_6",58390745,58390745,56799972,0.021723,527386980,0.396629,0.564254,0.905547,0.615521,6.478782,3.01589,3054249,2154427
"MSSM_RNA_BP_PFC_7",73297513,73297513,70945889,0.016786,1123724686,0.384892,0.606362,0.863125,0.6958,10.364999,1.087497,3967954,2510380
"MSSM_RNA_BP_PFC_8",93113275,93113275,89923896,0.012293,1565022636,0.514762,0.434742,0.767096,0.578903,5.029182,4.46813,4907186,2654551
"MSSM_RNA_BP_PFC_9",108765428,108765428,104052511,0.017663,1357318036,0.462898,0.45065,0.779091,0.608559,8.047707,2.743614,5938086,4043379
"MSSM_RNA_PFC_100",111594226,111594226,108302619,0.013932,1720357724,0.449996,0.491021,0.790828,0.632085,4.326431,2.446605,4671351,2263887
"MSSM_RNA_PFC_101",52754369,52754369,51105585,0.016748,602380296,0.476302,0.447463,0.78196,0.570893,4.198427,3.655108,2129809,939704
"MSSM_RNA_PFC_102",68565407,68565407,66773138,0.024573,86518936,0.575177,0.458623,0.801005,0.575988,4.90075,5.253598,4128512,1378780
"MSSM_RNA_PFC_106",69458555,69458555,67432783,0.0175,554167561,0.45697,0.447539,0.80915,0.567953,5.625448,4.063845,4422546,2633367
"MSSM_RNA_PFC_108",81336495,81336495,78160323,0.013062,1785161221,0.396647,0.713717,0.831992,0.823611,25.762344,0.265029,7472986,5901290
"MSSM_RNA_PFC_109",78349744,78349744,76203352,0.014963,693152094,0.537637,0.350809,0.74656,0.480683,5.275527,5.559307,6603549,2509361
"MSSM_RNA_PFC_10",76939393,76939393,75221967,0.017104,1043695687,0.449672,0.559424,0.790671,0.708929,4.275615,1.309156,4103294,1429482
"MSSM_RNA_PFC_110",118257220,118257220,114415410,0.013746,1777082895,0.429787,0.554246,0.803116,0.700744,7.863911,1.725257,6845938,4028425
"MSSM_RNA_PFC_111",72745678,72745678,70069659,0.020558,674853037,0.403766,0.601704,0.834473,0.720619,10.760752,1.470969,3231158,2219742
"MSSM_RNA_PFC_112",75884892,75884892,74161191,0.016239,806501978,0.439014,0.368535,0.890745,0.420544,4.794564,5.648632,7595277,2853583
"MSSM_RNA_PFC_113",88052973,88052973,84656957,0.014612,1255781322,0.401027,0.621387,0.834699,0.758144,12.456524,1.48084,5444704,3955882
"MSSM_RNA_PFC_114",78764116,78764116,76767125,0.019467,892351112,0.388075,0.550825,0.87564,0.631277,4.889407,2.636252,3174641,1657109
"MSSM_RNA_PFC_116",63992237,63992237,62204657,0.023989,172006674,0.479319,0.459526,0.827611,0.568652,3.98806,4.220839,2966306,956004
"MSSM_RNA_PFC_117",52417001,52417001,50953234,0.015897,631895573,0.533161,0.601293,0.719798,0.827126,4.006728,2.184678,6579644,2366853
"MSSM_RNA_PFC_118",76124168,76124168,74142432,0.018167,617975969,0.431599,0.522636,0.929131,0.575546,8.449264,3.628152,6199539,4230987
"MSSM_RNA_PFC_119",85485580,85485580,81944392,0.013802,1734874993,0.447818,0.536539,0.807724,0.696051,9.198295,2.351944,11432168,5380104
"MSSM_RNA_PFC_11",69881277,69881277,67769553,0.015114,735100242,0.429152,0.673793,0.908132,0.745724,20.04285,1.872735,8049738,6448833
"MSSM_RNA_PFC_120",86083911,86083911,80787790,0.014844,1614558128,0.419631,0.610753,0.817954,0.736441,14.78669,2.748097,7278510,4902194
"MSSM_RNA_PFC_121",57918744,57918744,56234917,0.016355,756205008,0.415394,0.574516,0.81699,0.707766,6.161129,2.147373,5837095,2244208
"MSSM_RNA_PFC_122",72513989,72513989,70597817,0.016282,622776785,0.476323,0.468898,0.798176,0.610093,5.451885,3.034342,5024701,2671972
"MSSM_RNA_PFC_123",57030664,57030664,55031486,0.015956,861804166,0.377517,0.777626,0.860593,0.878568,24.428868,0.520029,5454367,4552516
"MSSM_RNA_PFC_124",100433571,100433571,97215909,0.016728,1065540765,0.441777,0.449693,0.811046,0.570595,8.919201,2.213005,5273038,3992438
"MSSM_RNA_PFC_125",110739875,110739875,107502857,0.026619,358779964,0.486034,0.559358,0.822127,0.696628,3.302387,3.129175,12313507,4582627
"MSSM_RNA_PFC_126",50654737,50654737,49040098,0.015257,653080457,0.375895,0.64801,0.846766,0.763413,8.90903,2.393353,4600931,2274024
"MSSM_RNA_PFC_127",64834476,64834476,63081900,0.014724,1279433947,0.509393,0.467299,0.741732,0.615347,5.175896,1.443187,8702936,3240577
"MSSM_RNA_PFC_128",69441594,69441594,67958811,0.015168,606518134,0.486683,0.396547,1.048134,0.386419,4.158584,3.381876,5782575,2016215
"MSSM_RNA_PFC_129",75194072,75194072,73377869,0.013228,1123553338,0.445025,0.465541,0.806402,0.590448,4.874556,4.79969,5439558,1945582
"MSSM_RNA_PFC_12",61724206,61724206,58271764,0.01411,889749171,0.437007,0.582572,0.850989,0.678347,15.575819,2.426181,4697774,3727881
"MSSM_RNA_PFC_130",52543373,52543373,50989881,0.014157,372418428,0.582584,0.241394,0.85984,0.266255,8.297672,6.436976,5028950,1909144
"MSSM_RNA_PFC_131",46440848,46440848,45044995,0.016701,474448193,0.536268,0.604439,0.700318,0.826081,5.319735,2.290727,4418301,1920745
"MSSM_RNA_PFC_132",56999814,56999814,55147938,0.0193,550483007,0.394371,0.585356,0.856963,0.705902,9.013971,3.187863,3900837,2544585
"MSSM_RNA_PFC_133",69771850,69771850,67322173,0.015436,794458169,0.5546,0.367172,0.714188,0.505652,3.28891,3.540952,11091438,4480796
"MSSM_RNA_PFC_134",87833455,87833455,84088407,0.01722,1396641179,0.406853,0.631504,0.8505,0.752445,17.125835,1.100693,7653806,5941893
"MSSM_RNA_PFC_135",56945778,56945778,55743955,0.015671,463879012,0.479695,0.378601,0.824857,0.468702,3.614189,4.14189,3574827,1259720
"MSSM_RNA_PFC_136",62104957,62104957,60686629,0.014856,718727557,0.430789,0.439957,0.858382,0.522781,5.15576,4.830843,6356340,2404017
"MSSM_RNA_PFC_137",91077017,91077017,87769866,0.014124,1166118569,0.438639,0.493031,0.846201,0.574619,7.500486,3.148822,4497672,3133295
"MSSM_RNA_PFC_139",63343308,63343308,61088771,0.017165,1053754001,0.632125,0.293552,0.703728,0.442035,3.867598,1.953732,10833602,4358786
"MSSM_RNA_PFC_13",64018343,64018343,61491703,0.014197,953514175,0.517989,0.541702,0.750427,0.745537,7.208905,2.473966,4386129,2240207
"MSSM_RNA_PFC_140",61618998,61618998,59398573,0.016482,774605515,0.412244,0.608101,0.801458,0.773529,11.405438,1.80537,3229687,2360575
"MSSM_RNA_PFC_141",75711496,75711496,74235177,0.015072,781872819,0.49759,0.446943,1.084307,0.419572,4.076462,3.35123,6490079,2336708
"MSSM_RNA_PFC_142",47834734,47834734,46617594,0.015128,761441637,0.486046,0.556884,0.725422,0.777282,9.064082,0.210105,6564731,2519103
"MSSM_RNA_PFC_143",86487720,86487720,84657022,0.015586,903243915,0.468906,0.431915,0.974589,0.451601,4.10811,3.411334,7137626,2506834
"MSSM_RNA_PFC_144",78620961,78620961,76212719,0.019763,677915166,0.444057,0.54759,0.86969,0.639712,8.839975,3.61468,6540636,4559827
"MSSM_RNA_PFC_145",79440919,79440919,76573013,0.017628,909718896,0.430861,0.510929,0.852795,0.621335,11.495792,2.019325,5582911,4439131
"MSSM_RNA_PFC_146",63077377,63077377,61411027,0.013552,637372305,0.547449,0.362249,0.759905,0.500084,6.184954,5.688599,3775251,1501981
"MSSM_RNA_PFC_147",66644622,66644622,64697416,0.013372,873037933,0.64029,0.375685,0.71773,0.510577,5.931417,5.373308,8303725,3153630
"MSSM_RNA_PFC_148",75564759,75564759,73821169,0.016263,889705877,0.466957,0.53179,1.090089,0.451762,5.861303,2.118686,5725877,2835258
"MSSM_RNA_PFC_149",68234881,68234881,66179280,0.01673,790833482,0.403744,0.561341,0.867924,0.679491,11.911914,1.130919,3346423,2622241
"MSSM_RNA_PFC_151",67803119,67803119,65845287,0.014438,1098721976,0.380179,0.623635,0.83779,0.740607,8.941849,1.302387,4425138,1897348
"MSSM_RNA_PFC_152",60114546,60114546,58580953,0.01558,881287346,0.389944,0.587884,0.817367,0.705641,5.799315,2.045494,7876765,2845319
"MSSM_RNA_PFC_153",68259014,68259014,66439725,0.01754,604772665,0.445677,0.561044,0.829305,0.677761,6.88085,4.028154,4881011,3057713
"MSSM_RNA_PFC_154",57936948,57936948,55746598,0.014637,879688761,0.475264,0.511473,0.739595,0.713571,8.379297,1.211967,1976093,1056513
"MSSM_RNA_PFC_155",75962101,75962101,74382533,0.014592,1138250868,0.426238,0.571173,0.917274,0.63711,4.506124,1.382892,6949635,2372124
"MSSM_RNA_PFC_156",61988104,61988104,60032586,0.020098,557128348,0.411883,0.501755,0.887168,0.572626,6.058234,2.274301,2167183,1545553
"MSSM_RNA_PFC_157",53747242,53747242,52390841,0.023203,172897064,0.449505,0.467487,0.839254,0.559915,4.920765,4.55451,2285296,801085
"MSSM_RNA_PFC_158",78852997,78852997,75586090,0.016458,743604580,0.435633,0.490314,0.837974,0.614571,12.762551,2.569722,5672440,4389300
"MSSM_RNA_PFC_15",61947600,61947600,60244019,0.015434,512552346,0.494216,0.432599,0.805961,0.536921,7.397848,5.351245,8575295,4232277
"MSSM_RNA_PFC_160",96150601,96150601,93312494,0.018904,878786509,0.408464,0.543594,0.893937,0.630457,6.310228,3.759788,5494135,3356870
"MSSM_RNA_PFC_161",112095191,112095191,109250327,0.015382,1127524061,0.508688,0.456701,1.022099,0.446789,6.03365,4.142253,11495099,4959510
