"","m","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"67","yellow",1,TRUE,1.27e-10,203,781,45,0.058,0.222,"GO:0042063","BP",130,"gliogenesis",1,"ENSG00000007372,ENSG00000026025,ENSG00000071127,ENSG00000084207,ENSG00000092621,ENSG00000092969,ENSG00000100300,ENSG00000103260,ENSG00000105894,ENSG00000106278,ENSG00000106571,ENSG00000112333,ENSG00000114315,ENSG00000120885,ENSG00000123080,ENSG00000125398,ENSG00000132970,ENSG00000134352,ENSG00000135919,ENSG00000136869,ENSG00000137033,ENSG00000139352,ENSG00000141736,ENSG00000146648,ENSG00000147862,ENSG00000148053,ENSG00000148400,ENSG00000148498,ENSG00000162407,ENSG00000163884,ENSG00000168610,ENSG00000169860,ENSG00000170075,ENSG00000172037,ENSG00000172201,ENSG00000173039,ENSG00000173402,ENSG00000177807,ENSG00000180900,ENSG00000181449,ENSG00000182054,ENSG00000184486,ENSG00000184634,ENSG00000205336,ENSG00000254087"
"9","yellow",1,TRUE,3.71e-09,1828,781,199,0.255,0.109,"GO:0009653","BP",105,"anatomical structure morphogenesis",1,"ENSG00000007372,ENSG00000010810,ENSG00000011201,ENSG00000018408,ENSG00000041982,ENSG00000046889,ENSG00000047634,ENSG00000053254,ENSG00000064655,ENSG00000068078,ENSG00000069702,ENSG00000071127,ENSG00000073712,ENSG00000073792,ENSG00000076716,ENSG00000077942,ENSG00000078114,ENSG00000078246,ENSG00000078401,ENSG00000079337,ENSG00000079691,ENSG00000082781,ENSG00000083857,ENSG00000091409,ENSG00000092820,ENSG00000092969,ENSG00000099204,ENSG00000099250,ENSG00000100644,ENSG00000101144,ENSG00000101439,ENSG00000101605,ENSG00000103260,ENSG00000103811,ENSG00000104313,ENSG00000105894,ENSG00000106003,ENSG00000106025,ENSG00000106211,ENSG00000106278,ENSG00000106565,ENSG00000106571,ENSG00000106689,ENSG00000106804,ENSG00000107104,ENSG00000108854,ENSG00000109062,ENSG00000109472,ENSG00000111783,ENSG00000111961,ENSG00000112312,ENSG00000112333,ENSG00000112715,ENSG00000113296,ENSG00000113658,ENSG00000113721,ENSG00000113916,ENSG00000114315,ENSG00000114790,ENSG00000115109,ENSG00000115380,ENSG00000115461,ENSG00000116016,ENSG00000116044,ENSG00000116132,ENSG00000116478,ENSG00000116729,ENSG00000117318,ENSG00000117614,ENSG00000117713,ENSG00000119729,ENSG00000120063,ENSG00000120742,ENSG00000120885,ENSG00000124145,ENSG00000124181,ENSG00000124440,ENSG00000124479,ENSG00000124782,ENSG00000125398,ENSG00000125968,ENSG00000126016,ENSG00000127603,ENSG00000128585,ENSG00000129116,ENSG00000130066,ENSG00000130203,ENSG00000131873,ENSG00000132329,ENSG00000132470,ENSG00000132970,ENSG00000133048,ENSG00000133639,ENSG00000134215,ENSG00000134250,ENSG00000134376,ENSG00000134569,ENSG00000135424,ENSG00000135744,ENSG00000135919,ENSG00000135926,ENSG00000137285,ENSG00000137509,ENSG00000137693,ENSG00000137936,ENSG00000138448,ENSG00000138639,ENSG00000138685,ENSG00000138696,ENSG00000141380,ENSG00000141736,ENSG00000144476,ENSG00000144749,ENSG00000145431,ENSG00000145555,ENSG00000146247,ENSG00000146425,ENSG00000146535,ENSG00000146648,ENSG00000147065,ENSG00000147408,ENSG00000147862,ENSG00000148053,ENSG00000148400,ENSG00000148498,ENSG00000149489,ENSG00000150907,ENSG00000151892,ENSG00000152661,ENSG00000152767,ENSG00000152977,ENSG00000153208,ENSG00000153904,ENSG00000154134,ENSG00000154229,ENSG00000154310,ENSG00000154380,ENSG00000154928,ENSG00000155366,ENSG00000155760,ENSG00000157240,ENSG00000158195,ENSG00000161202,ENSG00000162407,ENSG00000162496,ENSG00000162909,ENSG00000163110,ENSG00000163659,ENSG00000164056,ENSG00000164190,ENSG00000164761,ENSG00000164877,ENSG00000165458,ENSG00000166033,ENSG00000166224,ENSG00000166292,ENSG00000166341,ENSG00000167601,ENSG00000168610,ENSG00000169439,ENSG00000169604,ENSG00000169756,ENSG00000170989,ENSG00000171100,ENSG00000171310,ENSG00000171517,ENSG00000171791,ENSG00000172037,ENSG00000172201,ENSG00000173039,ENSG00000173402,ENSG00000173511,ENSG00000174021,ENSG00000174804,ENSG00000179604,ENSG00000180263,ENSG00000180340,ENSG00000180900,ENSG00000181449,ENSG00000184304,ENSG00000184486,ENSG00000184634,ENSG00000185043,ENSG00000185650,ENSG00000185920,ENSG00000186153,ENSG00000186350,ENSG00000186951,ENSG00000187091,ENSG00000196091,ENSG00000196218,ENSG00000196781,ENSG00000198363,ENSG00000204264,ENSG00000205213,ENSG00000205336,ENSG00000213853,ENSG00000239697,ENSG00000240583"
"91","yellow",1,TRUE,3.78e-09,1323,781,155,0.198,0.117,"GO:1901575","BP",102,"organic substance catabolic process",1,"ENSG00000007384,ENSG00000009830,ENSG00000010810,ENSG00000018408,ENSG00000025423,ENSG00000067177,ENSG00000068976,ENSG00000069535,ENSG00000070756,ENSG00000072778,ENSG00000076248,ENSG00000076555,ENSG00000076685,ENSG00000076716,ENSG00000079337,ENSG00000079739,ENSG00000079931,ENSG00000083123,ENSG00000084754,ENSG00000088826,ENSG00000092820,ENSG00000093010,ENSG00000093072,ENSG00000097033,ENSG00000100033,ENSG00000100234,ENSG00000100439,ENSG00000100644,ENSG00000101439,ENSG00000101849,ENSG00000102580,ENSG00000103811,ENSG00000103876,ENSG00000104325,ENSG00000104517,ENSG00000104823,ENSG00000105552,ENSG00000105607,ENSG00000105612,ENSG00000105852,ENSG00000105939,ENSG00000106538,ENSG00000108375,ENSG00000108854,ENSG00000109107,ENSG00000109501,ENSG00000110090,ENSG00000110651,ENSG00000113790,ENSG00000114646,ENSG00000115159,ENSG00000116044,ENSG00000117151,ENSG00000117592,ENSG00000119711,ENSG00000120885,ENSG00000120915,ENSG00000121310,ENSG00000124145,ENSG00000124181,ENSG00000125398,ENSG00000127472,ENSG00000128309,ENSG00000128311,ENSG00000129219,ENSG00000130066,ENSG00000130203,ENSG00000130287,ENSG00000130988,ENSG00000131095,ENSG00000132541,ENSG00000132692,ENSG00000132825,ENSG00000133321,ENSG00000134324,ENSG00000135094,ENSG00000135318,ENSG00000135446,ENSG00000135821,ENSG00000135838,ENSG00000135919,ENSG00000137033,ENSG00000137486,ENSG00000138029,ENSG00000138413,ENSG00000138668,ENSG00000138685,ENSG00000138796,ENSG00000140455,ENSG00000141232,ENSG00000141401,ENSG00000141510,ENSG00000144908,ENSG00000146278,ENSG00000146535,ENSG00000146648,ENSG00000147065,ENSG00000147475,ENSG00000148672,ENSG00000150907,ENSG00000152518,ENSG00000152661,ENSG00000153904,ENSG00000156587,ENSG00000157184,ENSG00000159231,ENSG00000160191,ENSG00000160200,ENSG00000161509,ENSG00000161533,ENSG00000162909,ENSG00000163638,ENSG00000163659,ENSG00000164104,ENSG00000164434,ENSG00000164776,ENSG00000164904,ENSG00000165092,ENSG00000165475,ENSG00000166224,ENSG00000166819,ENSG00000167315,ENSG00000167969,ENSG00000167977,ENSG00000168209,ENSG00000168306,ENSG00000168610,ENSG00000169252,ENSG00000169439,ENSG00000169738,ENSG00000170525,ENSG00000171100,ENSG00000171503,ENSG00000171903,ENSG00000173039,ENSG00000173208,ENSG00000173334,ENSG00000178764,ENSG00000179399,ENSG00000179761,ENSG00000181192,ENSG00000183255,ENSG00000183580,ENSG00000185650,ENSG00000186951,ENSG00000187091,ENSG00000189221,ENSG00000196139,ENSG00000198721,ENSG00000198805,ENSG00000204264,ENSG00000211448,ENSG00000213722,ENSG00000239697,ENSG00000256043"
"87","yellow",1,TRUE,6.01e-09,1709,781,188,0.241,0.11,"GO:0050793","BP",122,"regulation of developmental process",1,"ENSG00000002933,ENSG00000007372,ENSG00000010810,ENSG00000011304,ENSG00000018408,ENSG00000026025,ENSG00000026103,ENSG00000046653,ENSG00000047644,ENSG00000064961,ENSG00000068078,ENSG00000069702,ENSG00000071127,ENSG00000073712,ENSG00000076248,ENSG00000076555,ENSG00000076716,ENSG00000077942,ENSG00000078246,ENSG00000078401,ENSG00000079337,ENSG00000079691,ENSG00000092820,ENSG00000092969,ENSG00000099250,ENSG00000100300,ENSG00000100644,ENSG00000101144,ENSG00000101439,ENSG00000103260,ENSG00000103811,ENSG00000104313,ENSG00000104447,ENSG00000105894,ENSG00000106003,ENSG00000106025,ENSG00000106211,ENSG00000106278,ENSG00000106538,ENSG00000106565,ENSG00000106571,ENSG00000106804,ENSG00000107104,ENSG00000108854,ENSG00000109062,ENSG00000111783,ENSG00000111961,ENSG00000112333,ENSG00000112715,ENSG00000113296,ENSG00000113645,ENSG00000113657,ENSG00000113658,ENSG00000113721,ENSG00000113916,ENSG00000114115,ENSG00000114315,ENSG00000115109,ENSG00000115380,ENSG00000115461,ENSG00000116044,ENSG00000116132,ENSG00000117280,ENSG00000117318,ENSG00000119729,ENSG00000120063,ENSG00000120742,ENSG00000124181,ENSG00000124782,ENSG00000125398,ENSG00000125968,ENSG00000126016,ENSG00000127603,ENSG00000128585,ENSG00000130055,ENSG00000130203,ENSG00000130988,ENSG00000132970,ENSG00000133048,ENSG00000133639,ENSG00000134138,ENSG00000134250,ENSG00000134352,ENSG00000134532,ENSG00000134569,ENSG00000135424,ENSG00000135446,ENSG00000135744,ENSG00000135916,ENSG00000135919,ENSG00000135926,ENSG00000136160,ENSG00000136869,ENSG00000137285,ENSG00000137693,ENSG00000138448,ENSG00000138685,ENSG00000138696,ENSG00000138756,ENSG00000139352,ENSG00000140299,ENSG00000141232,ENSG00000141736,ENSG00000142611,ENSG00000143772,ENSG00000143970,ENSG00000144579,ENSG00000145555,ENSG00000146247,ENSG00000146425,ENSG00000146535,ENSG00000146648,ENSG00000147065,ENSG00000147862,ENSG00000148053,ENSG00000148400,ENSG00000148498,ENSG00000148671,ENSG00000148737,ENSG00000149485,ENSG00000150907,ENSG00000152518,ENSG00000152661,ENSG00000153904,ENSG00000154229,ENSG00000154310,ENSG00000154928,ENSG00000155760,ENSG00000156076,ENSG00000157240,ENSG00000160712,ENSG00000161021,ENSG00000161202,ENSG00000162733,ENSG00000163110,ENSG00000163638,ENSG00000164038,ENSG00000164056,ENSG00000164104,ENSG00000164190,ENSG00000164342,ENSG00000164761,ENSG00000165029,ENSG00000166224,ENSG00000166292,ENSG00000167601,ENSG00000168610,ENSG00000169252,ENSG00000169439,ENSG00000169756,ENSG00000170075,ENSG00000170989,ENSG00000171100,ENSG00000171517,ENSG00000171791,ENSG00000172201,ENSG00000173039,ENSG00000173334,ENSG00000173402,ENSG00000173511,ENSG00000174021,ENSG00000174306,ENSG00000174804,ENSG00000176046,ENSG00000178764,ENSG00000179604,ENSG00000180263,ENSG00000180340,ENSG00000181449,ENSG00000182054,ENSG00000183864,ENSG00000184304,ENSG00000184486,ENSG00000184634,ENSG00000185043,ENSG00000185650,ENSG00000185920,ENSG00000186350,ENSG00000186951,ENSG00000198805,ENSG00000204264,ENSG00000204632,ENSG00000205213,ENSG00000205336,ENSG00000213853,ENSG00000239697,ENSG00000240583,ENSG00000254087"
"57","yellow",1,TRUE,6.03e-09,187,781,40,0.051,0.214,"GO:0016054","BP",9,"organic acid catabolic process",1,"ENSG00000072778,ENSG00000076555,ENSG00000083123,ENSG00000084754,ENSG00000100033,ENSG00000103876,ENSG00000104325,ENSG00000104823,ENSG00000105552,ENSG00000105607,ENSG00000105852,ENSG00000110090,ENSG00000113790,ENSG00000119711,ENSG00000121310,ENSG00000134324,ENSG00000135094,ENSG00000135821,ENSG00000135838,ENSG00000138029,ENSG00000138685,ENSG00000138796,ENSG00000144908,ENSG00000148672,ENSG00000153904,ENSG00000157184,ENSG00000160200,ENSG00000161533,ENSG00000164904,ENSG00000165475,ENSG00000167315,ENSG00000167969,ENSG00000168306,ENSG00000169738,ENSG00000171503,ENSG00000173208,ENSG00000179761,ENSG00000186951,ENSG00000198721,ENSG00000213722"
"95","yellow",1,TRUE,9.09e-09,765,781,102,0.131,0.133,"GO:0072359","BP",117,"circulatory system development",1,"ENSG00000007372,ENSG00000049323,ENSG00000055208,ENSG00000069702,ENSG00000075142,ENSG00000076555,ENSG00000078114,ENSG00000078401,ENSG00000079337,ENSG00000092969,ENSG00000099250,ENSG00000100644,ENSG00000101144,ENSG00000103811,ENSG00000104313,ENSG00000104812,ENSG00000105855,ENSG00000105894,ENSG00000106025,ENSG00000106211,ENSG00000106571,ENSG00000106804,ENSG00000109472,ENSG00000111961,ENSG00000112333,ENSG00000112715,ENSG00000113296,ENSG00000113721,ENSG00000114315,ENSG00000116016,ENSG00000116044,ENSG00000116132,ENSG00000117318,ENSG00000117713,ENSG00000120063,ENSG00000124181,ENSG00000124440,ENSG00000124479,ENSG00000125398,ENSG00000125968,ENSG00000126016,ENSG00000130066,ENSG00000130203,ENSG00000132329,ENSG00000133048,ENSG00000133639,ENSG00000134215,ENSG00000134250,ENSG00000135744,ENSG00000137509,ENSG00000137693,ENSG00000138448,ENSG00000138639,ENSG00000138685,ENSG00000141736,ENSG00000144476,ENSG00000146648,ENSG00000148053,ENSG00000148400,ENSG00000148737,ENSG00000149489,ENSG00000150907,ENSG00000152661,ENSG00000153904,ENSG00000154229,ENSG00000154553,ENSG00000154928,ENSG00000155760,ENSG00000157240,ENSG00000158195,ENSG00000161021,ENSG00000162407,ENSG00000162496,ENSG00000163110,ENSG00000163659,ENSG00000164056,ENSG00000164190,ENSG00000165806,ENSG00000166224,ENSG00000166292,ENSG00000166341,ENSG00000167693,ENSG00000169604,ENSG00000170624,ENSG00000170989,ENSG00000173511,ENSG00000174021,ENSG00000174804,ENSG00000180340,ENSG00000184304,ENSG00000184634,ENSG00000185043,ENSG00000185650,ENSG00000185920,ENSG00000186350,ENSG00000186951,ENSG00000187091,ENSG00000196218,ENSG00000205336,ENSG00000213853,ENSG00000239697,ENSG00000240583"
"68","yellow",1,TRUE,2.28e-08,685,781,93,0.119,0.136,"GO:0055114","BP",54,"oxidation-reduction process",1,"ENSG00000004799,ENSG00000025423,ENSG00000053371,ENSG00000067177,ENSG00000068976,ENSG00000069535,ENSG00000071967,ENSG00000072778,ENSG00000076555,ENSG00000079739,ENSG00000079931,ENSG00000083123,ENSG00000084754,ENSG00000087842,ENSG00000088826,ENSG00000089472,ENSG00000092621,ENSG00000095637,ENSG00000100033,ENSG00000100243,ENSG00000100644,ENSG00000104325,ENSG00000104812,ENSG00000104823,ENSG00000105607,ENSG00000109107,ENSG00000110090,ENSG00000113790,ENSG00000115159,ENSG00000116157,ENSG00000117592,ENSG00000119471,ENSG00000119711,ENSG00000119938,ENSG00000120733,ENSG00000121310,ENSG00000121691,ENSG00000122729,ENSG00000122884,ENSG00000129151,ENSG00000129521,ENSG00000131781,ENSG00000132825,ENSG00000134352,ENSG00000134716,ENSG00000134824,ENSG00000137198,ENSG00000138029,ENSG00000138413,ENSG00000138796,ENSG00000139531,ENSG00000142611,ENSG00000144908,ENSG00000145284,ENSG00000148450,ENSG00000148672,ENSG00000149485,ENSG00000152952,ENSG00000157184,ENSG00000159231,ENSG00000160200,ENSG00000161533,ENSG00000162482,ENSG00000162496,ENSG00000164038,ENSG00000164776,ENSG00000164904,ENSG00000165092,ENSG00000165475,ENSG00000167315,ENSG00000167693,ENSG00000167969,ENSG00000168306,ENSG00000169738,ENSG00000170525,ENSG00000171503,ENSG00000171903,ENSG00000172340,ENSG00000173208,ENSG00000179761,ENSG00000181019,ENSG00000181192,ENSG00000182054,ENSG00000182551,ENSG00000186153,ENSG00000186951,ENSG00000189221,ENSG00000196139,ENSG00000197724,ENSG00000198363,ENSG00000198721,ENSG00000198736,ENSG00000211448"
"78","yellow",1,TRUE,3.23e-08,1993,781,209,0.268,0.105,"GO:0007166","BP",55,"cell surface receptor signaling pathway",1,"ENSG00000000003,ENSG00000004468,ENSG00000004799,ENSG00000007372,ENSG00000007384,ENSG00000010810,ENSG00000011201,ENSG00000011304,ENSG00000011405,ENSG00000016402,ENSG00000018408,ENSG00000026025,ENSG00000026103,ENSG00000049323,ENSG00000055208,ENSG00000056736,ENSG00000064655,ENSG00000068078,ENSG00000068079,ENSG00000069702,ENSG00000073712,ENSG00000076716,ENSG00000078246,ENSG00000078401,ENSG00000078549,ENSG00000082781,ENSG00000084207,ENSG00000085719,ENSG00000091409,ENSG00000092820,ENSG00000092969,ENSG00000095637,ENSG00000099250,ENSG00000100234,ENSG00000100644,ENSG00000101144,ENSG00000101849,ENSG00000101871,ENSG00000101938,ENSG00000101955,ENSG00000102935,ENSG00000104213,ENSG00000104313,ENSG00000104517,ENSG00000104870,ENSG00000105855,ENSG00000105894,ENSG00000106003,ENSG00000106025,ENSG00000106211,ENSG00000106571,ENSG00000106804,ENSG00000107104,ENSG00000108375,ENSG00000108854,ENSG00000109062,ENSG00000109472,ENSG00000110651,ENSG00000111783,ENSG00000111961,ENSG00000112715,ENSG00000113594,ENSG00000113658,ENSG00000113721,ENSG00000113732,ENSG00000113916,ENSG00000114166,ENSG00000114315,ENSG00000114738,ENSG00000115380,ENSG00000115461,ENSG00000116132,ENSG00000116478,ENSG00000116729,ENSG00000116747,ENSG00000117280,ENSG00000117362,ENSG00000119729,ENSG00000119737,ENSG00000119917,ENSG00000122756,ENSG00000124181,ENSG00000124479,ENSG00000125398,ENSG00000125968,ENSG00000127603,ENSG00000129219,ENSG00000130203,ENSG00000130303,ENSG00000131873,ENSG00000131981,ENSG00000132470,ENSG00000134215,ENSG00000134250,ENSG00000134352,ENSG00000134569,ENSG00000135272,ENSG00000135404,ENSG00000135424,ENSG00000135446,ENSG00000135744,ENSG00000135916,ENSG00000135919,ENSG00000135926,ENSG00000136160,ENSG00000136869,ENSG00000137033,ENSG00000137070,ENSG00000137076,ENSG00000137693,ENSG00000138448,ENSG00000138685,ENSG00000138696,ENSG00000138756,ENSG00000139352,ENSG00000139946,ENSG00000141232,ENSG00000141380,ENSG00000141736,ENSG00000142611,ENSG00000143384,ENSG00000143772,ENSG00000144476,ENSG00000145431,ENSG00000145555,ENSG00000146247,ENSG00000146648,ENSG00000148053,ENSG00000148400,ENSG00000148498,ENSG00000148730,ENSG00000148737,ENSG00000149489,ENSG00000150907,ENSG00000151892,ENSG00000151929,ENSG00000152284,ENSG00000152977,ENSG00000152990,ENSG00000153208,ENSG00000154134,ENSG00000154229,ENSG00000154310,ENSG00000154928,ENSG00000155760,ENSG00000156076,ENSG00000157110,ENSG00000157240,ENSG00000158195,ENSG00000160712,ENSG00000161021,ENSG00000161202,ENSG00000161509,ENSG00000162407,ENSG00000162733,ENSG00000162734,ENSG00000162889,ENSG00000163083,ENSG00000163430,ENSG00000163659,ENSG00000164056,ENSG00000164104,ENSG00000164342,ENSG00000164761,ENSG00000164949,ENSG00000165029,ENSG00000165795,ENSG00000166033,ENSG00000166224,ENSG00000166292,ENSG00000167601,ENSG00000167693,ENSG00000168209,ENSG00000168385,ENSG00000168610,ENSG00000169006,ENSG00000169252,ENSG00000169439,ENSG00000169756,ENSG00000169860,ENSG00000170075,ENSG00000170425,ENSG00000171206,ENSG00000171310,ENSG00000171444,ENSG00000171791,ENSG00000172936,ENSG00000173039,ENSG00000173334,ENSG00000173511,ENSG00000174804,ENSG00000176105,ENSG00000180340,ENSG00000180447,ENSG00000181449,ENSG00000184304,ENSG00000184634,ENSG00000185043,ENSG00000185920,ENSG00000186153,ENSG00000188313,ENSG00000196781,ENSG00000204264,ENSG00000204632,ENSG00000205213,ENSG00000205336,ENSG00000213853,ENSG00000239697,ENSG00000254087"
"96","yellow",1,TRUE,5.9e-08,60,781,20,0.026,0.333,"GO:0006635","BP",87,"fatty acid beta-oxidation",1,"ENSG00000072778,ENSG00000076555,ENSG00000084754,ENSG00000104325,ENSG00000104823,ENSG00000105607,ENSG00000110090,ENSG00000113790,ENSG00000121310,ENSG00000138029,ENSG00000138796,ENSG00000157184,ENSG00000161533,ENSG00000167315,ENSG00000167969,ENSG00000168306,ENSG00000171503,ENSG00000173208,ENSG00000186951,ENSG00000198721"
"98","yellow",1,TRUE,2.18e-07,261,781,46,0.059,0.176,"GO:0001655","BP",116,"urogenital system development",1,"ENSG00000018408,ENSG00000041982,ENSG00000058262,ENSG00000091409,ENSG00000092969,ENSG00000099250,ENSG00000101144,ENSG00000103811,ENSG00000104313,ENSG00000106571,ENSG00000109501,ENSG00000111077,ENSG00000112715,ENSG00000113658,ENSG00000113721,ENSG00000114315,ENSG00000117318,ENSG00000117362,ENSG00000121691,ENSG00000124145,ENSG00000125398,ENSG00000128309,ENSG00000130988,ENSG00000132470,ENSG00000132541,ENSG00000134569,ENSG00000135744,ENSG00000137693,ENSG00000138685,ENSG00000148400,ENSG00000154928,ENSG00000163659,ENSG00000163884,ENSG00000164056,ENSG00000164190,ENSG00000166224,ENSG00000166341,ENSG00000170370,ENSG00000171791,ENSG00000172037,ENSG00000172201,ENSG00000185920,ENSG00000186350,ENSG00000198914,ENSG00000205213,ENSG00000240583"
