Gene Id
ENSG00000000003 En
ENSG00000000005 En
ENSG00000000419 En
ENSG00000000457 En
ENSG00000000460 En
ENSG00000000938 En
ENSG00000000971 En
ENSG00000001084 En
ENSG00000001167 En
ENSG00000001461 En
ENSG00000001497 En
ENSG00000001561 En
ENSG00000001617 En
ENSG00000001626 En
ENSG00000001630 En
ENSG00000002016 En
ENSG00000002330 En
ENSG00000002549 En
ENSG00000002586 En
ENSG00000002587 En
ENSG00000002726 En
ENSG00000002745 En
ENSG00000002746 En
ENSG00000002822 En
ENSG00000002834 En
ENSG00000002919 En
ENSG00000002933 En
ENSG00000003056 En
ENSG00000003137 En
ENSG00000003147 En
ENSG00000003249 En
ENSG00000003400 En
ENSG00000003402 En
ENSG00000003436 En
ENSG00000003509 En
ENSG00000003756 En
ENSG00000003987 En
ENSG00000003989 En
ENSG00000004059 En
ENSG00000004139 En
ENSG00000004142 En
ENSG00000004399 En
ENSG00000004455 En
ENSG00000004468 En
ENSG00000004478 En
ENSG00000004487 En
ENSG00000004534 En
ENSG00000004700 En
ENSG00000004766 En
ENSG00000004776 En
ENSG00000004777 En
ENSG00000004779 En
ENSG00000004799 En
ENSG00000004838 En
ENSG00000004864 En
ENSG00000004866 En
ENSG00000004897 En
ENSG00000004939 En
ENSG00000004948 En
ENSG00000004961 En
ENSG00000004975 En
ENSG00000005001 En
ENSG00000005007 En
ENSG00000005020 En
ENSG00000005022 En
ENSG00000005059 En
ENSG00000005073 En
ENSG00000005102 En
ENSG00000005156 En
ENSG00000005175 En
ENSG00000005187 En
ENSG00000005189 En
ENSG00000005194 En
ENSG00000005206 En
ENSG00000005238 En
ENSG00000005243 En
ENSG00000005249 En
ENSG00000005302 En
ENSG00000005339 En
ENSG00000005381 En
ENSG00000005421 En
ENSG00000005436 En
ENSG00000005469 En
ENSG00000005471 En
ENSG00000005700 En
ENSG00000005801 En
ENSG00000005810 En
ENSG00000005844 En
ENSG00000005882 En
ENSG00000005889 En
ENSG00000005893 En
ENSG00000005955 En
ENSG00000005961 En
ENSG00000005981 En
ENSG00000006007 En
ENSG00000006015 En
ENSG00000006016 En
ENSG00000006025 En
ENSG00000006047 En
ENSG00000006059 En
ENSG00000006062 En
ENSG00000006071 En
ENSG00000006074 En
ENSG00000006075 En
