Gene Id
ENSG00000001561 En
ENSG00000001630 En
ENSG00000004700 En
ENSG00000005700 En
ENSG00000006576 En
ENSG00000006652 En
ENSG00000008952 En
ENSG00000014123 En
ENSG00000018510 En
ENSG00000021574 En
ENSG00000029363 En
ENSG00000032219 En
ENSG00000033178 En
ENSG00000034713 En
ENSG00000036549 En
ENSG00000042429 En
ENSG00000043093 En
ENSG00000044574 En
ENSG00000052723 En
ENSG00000052802 En
ENSG00000053770 En
ENSG00000054267 En
ENSG00000056097 En
ENSG00000058063 En
ENSG00000058729 En
ENSG00000059758 En
ENSG00000061987 En
ENSG00000062725 En
ENSG00000065615 En
ENSG00000066583 En
ENSG00000067248 En
ENSG00000069248 En
ENSG00000071189 En
ENSG00000071537 En
ENSG00000071794 En
ENSG00000072042 En
ENSG00000073584 En
ENSG00000074266 En
ENSG00000074696 En
ENSG00000075223 En
ENSG00000075239 En
ENSG00000075711 En
ENSG00000076043 En
ENSG00000077147 En
ENSG00000077721 En
ENSG00000078142 En
ENSG00000079459 En
ENSG00000080345 En
ENSG00000080371 En
ENSG00000082153 En
ENSG00000082258 En
ENSG00000082898 En
ENSG00000083290 En
ENSG00000083937 En
ENSG00000084073 En
ENSG00000085274 En
ENSG00000085491 En
ENSG00000085721 En
ENSG00000086589 En
ENSG00000086598 En
ENSG00000088387 En
ENSG00000089335 En
ENSG00000090060 En
ENSG00000090989 En
ENSG00000092964 En
ENSG00000093144 En
ENSG00000094880 En
ENSG00000095564 En
ENSG00000095574 En
ENSG00000100528 En
ENSG00000100883 En
ENSG00000101166 En
ENSG00000101310 En
ENSG00000101343 En
ENSG00000101745 En
ENSG00000101751 En
ENSG00000101782 En
ENSG00000102024 En
ENSG00000102531 En
ENSG00000102753 En
ENSG00000104131 En
ENSG00000104320 En
ENSG00000104549 En
ENSG00000104671 En
ENSG00000104695 En
ENSG00000104763 En
ENSG00000105176 En
ENSG00000105879 En
ENSG00000105968 En
ENSG00000106355 En
ENSG00000106460 En
ENSG00000106546 En
ENSG00000107581 En
ENSG00000107938 En
ENSG00000108406 En
ENSG00000108443 En
ENSG00000108582 En
ENSG00000108588 En
ENSG00000109332 En
ENSG00000109445 En
ENSG00000109466 En
ENSG00000109572 En
ENSG00000109606 En
ENSG00000109654 En
ENSG00000109775 En
ENSG00000110321 En
ENSG00000110330 En
ENSG00000110344 En
ENSG00000110696 En
ENSG00000111011 En
ENSG00000111231 En
ENSG00000111276 En
ENSG00000111554 En
ENSG00000111596 En
ENSG00000111727 En
ENSG00000112081 En
ENSG00000112110 En
ENSG00000112249 En
ENSG00000112282 En
ENSG00000112697 En
ENSG00000112701 En
ENSG00000112739 En
ENSG00000113240 En
ENSG00000113407 En
ENSG00000113460 En
ENSG00000113583 En
ENSG00000113593 En
ENSG00000114354 En
ENSG00000114520 En
ENSG00000115020 En
ENSG00000115271 En
ENSG00000115295 En
ENSG00000115364 En
ENSG00000115365 En
ENSG00000115392 En
ENSG00000115446 En
ENSG00000115524 En
ENSG00000115942 En
ENSG00000116171 En
ENSG00000116209 En
ENSG00000116266 En
ENSG00000116906 En
ENSG00000117054 En
ENSG00000117133 En
ENSG00000117174 En
ENSG00000117335 En
ENSG00000117569 En
ENSG00000117620 En
ENSG00000118518 En
ENSG00000118564 En
ENSG00000118579 En
ENSG00000118855 En
ENSG00000119041 En
ENSG00000119541 En
ENSG00000119616 En
ENSG00000119878 En
ENSG00000119929 En
ENSG00000119953 En
ENSG00000120008 En
ENSG00000120253 En
ENSG00000120685 En
ENSG00000120686 En
ENSG00000120697 En
ENSG00000120699 En
ENSG00000120784 En
ENSG00000121749 En
ENSG00000122299 En
ENSG00000122545 En
ENSG00000123131 En
ENSG00000123268 En
ENSG00000123505 En
ENSG00000124380 En
ENSG00000124406 En
ENSG00000124596 En
ENSG00000124789 En
ENSG00000124795 En
ENSG00000125686 En
ENSG00000125870 En
ENSG00000125944 En
ENSG00000126821 En
ENSG00000127955 En
ENSG00000127980 En
ENSG00000127993 En
ENSG00000128513 En
ENSG00000128534 En
ENSG00000128708 En
ENSG00000129083 En
ENSG00000129460 En
ENSG00000130935 En
ENSG00000131171 En
ENSG00000131375 En
ENSG00000131725 En
ENSG00000132356 En
ENSG00000132388 En
ENSG00000132640 En
ENSG00000132646 En
ENSG00000133731 En
ENSG00000133858 En
ENSG00000134153 En
ENSG00000134294 En
ENSG00000134308 En
ENSG00000134313 En
ENSG00000134758 En
ENSG00000134884 En
ENSG00000135341 En
ENSG00000136021 En
ENSG00000136144 En
ENSG00000136156 En
ENSG00000136161 En
ENSG00000136450 En
ENSG00000136527 En
ENSG00000136536 En
ENSG00000136824 En
ENSG00000136925 En
ENSG00000136937 En
ENSG00000136986 En
ENSG00000137500 En
ENSG00000137504 En
ENSG00000137575 En
ENSG00000137776 En
ENSG00000137845 En
ENSG00000137871 En
ENSG00000137941 En
ENSG00000137955 En
ENSG00000138032 En
ENSG00000138386 En
ENSG00000138459 En
ENSG00000138592 En
ENSG00000138750 En
ENSG00000138785 En
ENSG00000138802 En
ENSG00000139163 En
ENSG00000139684 En
ENSG00000139687 En
ENSG00000139746 En
ENSG00000139793 En
ENSG00000140307 En
ENSG00000140319 En
ENSG00000140391 En
ENSG00000141424 En
ENSG00000141646 En
ENSG00000142892 En
ENSG00000143162 En
ENSG00000143653 En
ENSG00000143753 En
ENSG00000143771 En
ENSG00000143870 En
ENSG00000144034 En
ENSG00000144451 En
ENSG00000144566 En
ENSG00000144674 En
ENSG00000144747 En
ENSG00000144815 En
ENSG00000144848 En
ENSG00000145439 En
ENSG00000145723 En
ENSG00000145868 En
ENSG00000147592 En
ENSG00000147649 En
ENSG00000148634 En
ENSG00000148943 En
ENSG00000149100 En
ENSG00000150459 En
ENSG00000150540 En
ENSG00000150593 En
ENSG00000150764 En
ENSG00000151332 En
ENSG00000151665 En
ENSG00000151881 En
ENSG00000152291 En
ENSG00000152601 En
ENSG00000152778 En
ENSG00000152795 En
ENSG00000153006 En
ENSG00000153147 En
ENSG00000153827 En
ENSG00000153914 En
ENSG00000154153 En
ENSG00000154473 En
ENSG00000154608 En
ENSG00000154654 En
ENSG00000155189 En
ENSG00000155508 En
ENSG00000156256 En
ENSG00000157869 En
ENSG00000158092 En
ENSG00000159140 En
ENSG00000159256 En
ENSG00000159921 En
ENSG00000160218 En
ENSG00000161813 En
ENSG00000162604 En
ENSG00000162607 En
ENSG00000162616 En
ENSG00000162704 En
ENSG00000163291 En
ENSG00000163320 En
ENSG00000163539 En
ENSG00000163714 En
ENSG00000164022 En
ENSG00000164162 En
ENSG00000164331 En
ENSG00000165219 En
ENSG00000165322 En
ENSG00000165487 En
ENSG00000165525 En
ENSG00000165650 En
ENSG00000165672 En
ENSG00000166181 En
ENSG00000166471 En
ENSG00000166478 En
ENSG00000166575 En
ENSG00000166855 En
ENSG00000168036 En
ENSG00000168216 En
ENSG00000168564 En
ENSG00000168615 En
ENSG00000169045 En
ENSG00000169251 En
ENSG00000169564 En
ENSG00000169714 En
ENSG00000169826 En
ENSG00000170142 En
ENSG00000170381 En
ENSG00000170954 En
ENSG00000171867 En
ENSG00000171928 En
ENSG00000171988 En
ENSG00000172172 En
ENSG00000172469 En
ENSG00000172845 En
ENSG00000172869 En
ENSG00000173812 En
ENSG00000174106 En
ENSG00000174373 En
ENSG00000174485 En
ENSG00000174606 En
ENSG00000174977 En
ENSG00000177613 En
ENSG00000178691 En
ENSG00000178878 En
ENSG00000179295 En
ENSG00000179941 En
