Gene Id
ENSG00000000005 En
ENSG00000002726 En
ENSG00000003400 En
ENSG00000004776 En
ENSG00000004939 En
ENSG00000004948 En
ENSG00000005073 En
ENSG00000005187 En
ENSG00000005421 En
ENSG00000006047 En
ENSG00000006074 En
ENSG00000006534 En
ENSG00000006555 En
ENSG00000006659 En
ENSG00000007038 En
ENSG00000007129 En
ENSG00000007216 En
ENSG00000007314 En
ENSG00000007350 En
ENSG00000007952 En
ENSG00000007968 En
ENSG00000008226 En
ENSG00000008323 En
ENSG00000008438 En
ENSG00000009724 En
ENSG00000010310 En
ENSG00000010704 En
ENSG00000010932 En
ENSG00000011009 En
ENSG00000011478 En
ENSG00000012504 En
ENSG00000013573 En
ENSG00000013588 En
ENSG00000015285 En
ENSG00000015520 En
ENSG00000016490 En
ENSG00000021461 En
ENSG00000021852 En
ENSG00000023839 En
ENSG00000027644 En
ENSG00000027869 En
ENSG00000034971 En
ENSG00000036828 En
ENSG00000037965 En
ENSG00000039537 En
ENSG00000039987 En
ENSG00000042832 En
ENSG00000043039 En
ENSG00000044012 En
ENSG00000048545 En
ENSG00000049249 En
ENSG00000050555 En
ENSG00000051341 En
ENSG00000052344 En
ENSG00000052850 En
ENSG00000053918 En
ENSG00000055732 En
ENSG00000057149 En
ENSG00000058085 En
ENSG00000064201 En
ENSG00000064205 En
ENSG00000064932 En
ENSG00000066230 En
ENSG00000066405 En
ENSG00000066923 En
ENSG00000068137 En
ENSG00000068985 En
ENSG00000069206 En
ENSG00000069812 En
ENSG00000070190 En
ENSG00000070731 En
ENSG00000070748 En
ENSG00000070915 En
ENSG00000071203 En
ENSG00000072571 En
ENSG00000073282 En
ENSG00000073861 En
ENSG00000074370 En
ENSG00000074660 En
ENSG00000075073 En
ENSG00000075275 En
ENSG00000075429 En
ENSG00000075461 En
ENSG00000075673 En
ENSG00000075891 En
ENSG00000076944 En
ENSG00000077984 En
ENSG00000078967 En
ENSG00000079393 En
ENSG00000080293 En
ENSG00000080511 En
ENSG00000080644 En
ENSG00000081248 En
ENSG00000081277 En
ENSG00000084110 En
ENSG00000084674 En
ENSG00000085741 En
ENSG00000085999 En
ENSG00000086159 En
ENSG00000086696 En
ENSG00000087116 En
ENSG00000087237 En
ENSG00000088340 En
ENSG00000088827 En
ENSG00000089225 En
ENSG00000089356 En
ENSG00000089685 En
ENSG00000089692 En
ENSG00000090339 En
ENSG00000090534 En
ENSG00000090659 En
ENSG00000091128 En
ENSG00000091181 En
ENSG00000091262 En
ENSG00000091583 En
ENSG00000091831 En
ENSG00000092200 En
ENSG00000092345 En
ENSG00000093009 En
ENSG00000093134 En
ENSG00000095539 En
ENSG00000095752 En
ENSG00000095777 En
ENSG00000096088 En
ENSG00000096264 En
ENSG00000096395 En
ENSG00000099338 En
ENSG00000099721 En
ENSG00000099812 En
ENSG00000099849 En
ENSG00000099866 En
ENSG00000099957 En
ENSG00000100012 En
ENSG00000100078 En
ENSG00000100290 En
ENSG00000100448 En
ENSG00000100450 En
ENSG00000100453 En
ENSG00000100558 En
ENSG00000100652 En
ENSG00000100665 En
ENSG00000100721 En
ENSG00000101017 En
ENSG00000101057 En
ENSG00000101194 En
ENSG00000101213 En
ENSG00000101280 En
ENSG00000101307 En
ENSG00000101405 En
ENSG00000101890 En
ENSG00000101986 En
ENSG00000102001 En
ENSG00000102010 En
ENSG00000102021 En
ENSG00000102034 En
ENSG00000102043 En
ENSG00000102055 En
ENSG00000102104 En
ENSG00000102145 En
ENSG00000102174 En
ENSG00000102195 En
ENSG00000102239 En
ENSG00000102243 En
ENSG00000102245 En
ENSG00000102962 En
ENSG00000103310 En
ENSG00000103375 En
ENSG00000103522 En
ENSG00000104055 En
ENSG00000104415 En
ENSG00000104499 En
ENSG00000104611 En
ENSG00000104783 En
ENSG00000104804 En
ENSG00000104814 En
ENSG00000104879 En
ENSG00000104941 En
ENSG00000104972 En
ENSG00000105011 En
ENSG00000105137 En
ENSG00000105146 En
ENSG00000105205 En
ENSG00000105219 En
ENSG00000105321 En
ENSG00000105352 En
ENSG00000105369 En
ENSG00000105383 En
ENSG00000105388 En
ENSG00000105428 En
ENSG00000105467 En
ENSG00000105492 En
ENSG00000105501 En
ENSG00000105507 En
ENSG00000105549 En
ENSG00000105610 En
ENSG00000105641 En
ENSG00000105668 En
ENSG00000105675 En
ENSG00000105679 En
ENSG00000105723 En
ENSG00000105991 En
ENSG00000105996 En
ENSG00000106004 En
ENSG00000106100 En
ENSG00000106113 En
ENSG00000106128 En
ENSG00000106304 En
ENSG00000106328 En
ENSG00000106331 En
ENSG00000106404 En
ENSG00000106541 En
ENSG00000106952 En
ENSG00000107159 En
ENSG00000107187 En
ENSG00000107485 En
ENSG00000107611 En
ENSG00000107821 En
ENSG00000108244 En
ENSG00000108255 En
ENSG00000108405 En
ENSG00000108417 En
ENSG00000108576 En
ENSG00000108702 En
ENSG00000108753 En
ENSG00000108813 En
ENSG00000108821 En
ENSG00000108839 En
ENSG00000108878 En
ENSG00000109072 En
ENSG00000109101 En
ENSG00000109208 En
ENSG00000109667 En
ENSG00000109674 En
ENSG00000109705 En
ENSG00000109758 En
ENSG00000110169 En
ENSG00000110195 En
ENSG00000110245 En
ENSG00000110347 En
ENSG00000110375 En
ENSG00000110448 En
ENSG00000110680 En
ENSG00000110887 En
ENSG00000110921 En
ENSG00000111012 En
ENSG00000111241 En
ENSG00000111245 En
ENSG00000111291 En
ENSG00000111665 En
ENSG00000111701 En
ENSG00000111886 En
ENSG00000111981 En
ENSG00000112115 En
ENSG00000112164 En
ENSG00000112212 En
ENSG00000112246 En
ENSG00000112462 En
ENSG00000112499 En
ENSG00000112818 En
ENSG00000113088 En
ENSG00000113196 En
ENSG00000113262 En
ENSG00000113303 En
ENSG00000113722 En
ENSG00000113905 En
ENSG00000114349 En
ENSG00000114638 En
ENSG00000114654 En
ENSG00000114737 En
ENSG00000115112 En
ENSG00000115163 En
ENSG00000115590 En
ENSG00000115607 En
ENSG00000115648 En
ENSG00000115665 En
ENSG00000115850 En
ENSG00000115884 En
ENSG00000116031 En
ENSG00000116176 En
ENSG00000116183 En
ENSG00000116218 En
ENSG00000116726 En
ENSG00000116748 En
ENSG00000116785 En
ENSG00000116824 En
ENSG00000116990 En
ENSG00000117090 En
ENSG00000117091 En
ENSG00000117148 En
ENSG00000117215 En
ENSG00000117281 En
ENSG00000117407 En
ENSG00000117425 En
ENSG00000117472 En
ENSG00000117595 En
ENSG00000118017 En
ENSG00000118137 En
ENSG00000118557 En
ENSG00000118972 En
ENSG00000119686 En
ENSG00000120054 En
ENSG00000120068 En
ENSG00000120094 En
ENSG00000120210 En
ENSG00000120211 En
ENSG00000120215 En
ENSG00000120337 En
ENSG00000120436 En
ENSG00000120500 En
ENSG00000120659 En
ENSG00000120903 En
ENSG00000120937 En
ENSG00000121053 En
ENSG00000121068 En
ENSG00000121152 En
ENSG00000121377 En
ENSG00000121380 En
ENSG00000121594 En
ENSG00000121764 En
ENSG00000122121 En
ENSG00000122133 En
ENSG00000122136 En
ENSG00000122194 En
ENSG00000122223 En
ENSG00000122224 En
ENSG00000122711 En
ENSG00000122718 En
ENSG00000122735 En
ENSG00000123171 En
ENSG00000123307 En
