Gene Id
ENSG00000001084 En
ENSG00000001461 En
ENSG00000002549 En
ENSG00000003402 En
ENSG00000004455 En
ENSG00000004864 En
ENSG00000005893 En
ENSG00000006114 En
ENSG00000006607 En
ENSG00000006611 En
ENSG00000006831 En
ENSG00000007944 En
ENSG00000008282 En
ENSG00000008294 En
ENSG00000008311 En
ENSG00000010278 En
ENSG00000010292 En
ENSG00000011198 En
ENSG00000012124 En
ENSG00000012171 En
ENSG00000012983 En
ENSG00000013364 En
ENSG00000013375 En
ENSG00000013441 En
ENSG00000013523 En
ENSG00000013583 En
ENSG00000018699 En
ENSG00000019144 En
ENSG00000021300 En
ENSG00000021355 En
ENSG00000021826 En
ENSG00000023191 En
ENSG00000023697 En
ENSG00000026508 En
ENSG00000026652 En
ENSG00000028116 En
ENSG00000028528 En
ENSG00000030066 En
ENSG00000031691 En
ENSG00000032742 En
ENSG00000033170 En
ENSG00000033327 En
ENSG00000035664 En
ENSG00000035928 En
ENSG00000038002 En
ENSG00000038427 En
ENSG00000039068 En
ENSG00000039319 En
ENSG00000039560 En
ENSG00000040531 En
ENSG00000044115 En
ENSG00000046647 En
ENSG00000046651 En
ENSG00000047230 En
ENSG00000047365 En
ENSG00000049089 En
ENSG00000049245 En
ENSG00000050405 En
ENSG00000051128 En
ENSG00000053702 En
ENSG00000054983 En
ENSG00000058673 En
ENSG00000060237 En
ENSG00000060762 En
ENSG00000064042 En
ENSG00000064102 En
ENSG00000064393 En
ENSG00000064651 En
ENSG00000064787 En
ENSG00000065361 En
ENSG00000065534 En
ENSG00000065600 En
ENSG00000065675 En
ENSG00000066322 En
ENSG00000066468 En
ENSG00000066855 En
ENSG00000066926 En
ENSG00000067113 En
ENSG00000067141 En
ENSG00000067167 En
ENSG00000067560 En
ENSG00000067900 En
ENSG00000067955 En
ENSG00000068650 En
ENSG00000068878 En
ENSG00000068903 En
ENSG00000070214 En
ENSG00000070759 En
ENSG00000071054 En
ENSG00000071991 En
ENSG00000072134 En
ENSG00000072310 En
ENSG00000072415 En
ENSG00000072422 En
ENSG00000072501 En
ENSG00000072864 En
ENSG00000073350 En
ENSG00000073417 En
ENSG00000073711 En
ENSG00000073921 En
ENSG00000074356 En
ENSG00000074695 En
ENSG00000075539 En
ENSG00000075651 En
ENSG00000076053 En
ENSG00000076706 En
ENSG00000077380 En
ENSG00000078269 En
ENSG00000078674 En
ENSG00000078747 En
ENSG00000079134 En
ENSG00000079435 En
ENSG00000079805 En
ENSG00000079819 En
ENSG00000079999 En
ENSG00000080031 En
ENSG00000080200 En
ENSG00000080815 En
ENSG00000080822 En
ENSG00000081377 En
ENSG00000081479 En
ENSG00000081913 En
ENSG00000082996 En
ENSG00000083168 En
ENSG00000083896 En
ENSG00000084453 En
ENSG00000084636 En
ENSG00000084652 En
ENSG00000085117 En
ENSG00000085998 En
ENSG00000087884 En
ENSG00000088451 En
ENSG00000088970 En
ENSG00000089041 En
ENSG00000089177 En
ENSG00000090054 En
ENSG00000090097 En
ENSG00000091513 En
ENSG00000092531 En
ENSG00000092758 En
ENSG00000093167 En
ENSG00000094975 En
ENSG00000095209 En
ENSG00000095383 En
ENSG00000095397 En
ENSG00000096717 En
ENSG00000096746 En
ENSG00000097007 En
ENSG00000099219 En
ENSG00000099251 En
ENSG00000099282 En
ENSG00000099331 En
ENSG00000100075 En
ENSG00000100139 En
ENSG00000100146 En
ENSG00000100201 En
ENSG00000100225 En
ENSG00000100227 En
ENSG00000100242 En
ENSG00000100297 En
ENSG00000100364 En
ENSG00000100485 En
ENSG00000100596 En
ENSG00000100650 En
ENSG00000100697 En
ENSG00000100784 En
ENSG00000100842 En
ENSG00000100890 En
ENSG00000100941 En
ENSG00000101049 En
ENSG00000101158 En
ENSG00000101190 En
ENSG00000101265 En
ENSG00000101868 En
ENSG00000101972 En
ENSG00000102218 En
ENSG00000102221 En
ENSG00000102271 En
ENSG00000102699 En
ENSG00000102760 En
ENSG00000102805 En
ENSG00000102934 En
ENSG00000103089 En
ENSG00000103091 En
ENSG00000103381 En
ENSG00000103449 En
ENSG00000103479 En
ENSG00000103540 En
ENSG00000103544 En
ENSG00000103978 En
ENSG00000104067 En
ENSG00000104133 En
ENSG00000104267 En
ENSG00000104324 En
ENSG00000104332 En
ENSG00000104365 En
ENSG00000104375 En
ENSG00000104412 En
ENSG00000104419 En
ENSG00000104529 En
ENSG00000104728 En
ENSG00000105135 En
ENSG00000105254 En
ENSG00000105290 En
ENSG00000105355 En
ENSG00000105499 En
ENSG00000105695 En
ENSG00000105707 En
ENSG00000105767 En
ENSG00000105810 En
ENSG00000105856 En
ENSG00000106078 En
ENSG00000106261 En
ENSG00000106392 En
ENSG00000106397 En
ENSG00000106780 En
ENSG00000106799 En
ENSG00000107020 En
ENSG00000107164 En
ENSG00000107186 En
ENSG00000107331 En
ENSG00000107362 En
ENSG00000107672 En
ENSG00000107731 En
ENSG00000107798 En
ENSG00000107902 En
ENSG00000107957 En
ENSG00000108055 En
ENSG00000108179 En
ENSG00000108187 En
ENSG00000108298 En
ENSG00000108349 En
ENSG00000108381 En
ENSG00000108387 En
ENSG00000108465 En
ENSG00000108510 En
