Gene Id
ENSG00000000419 En
ENSG00000004779 En
ENSG00000004961 En
ENSG00000005020 En
ENSG00000005175 En
ENSG00000005249 En
ENSG00000006128 En
ENSG00000006530 En
ENSG00000006715 En
ENSG00000007168 En
ENSG00000010017 En
ENSG00000010165 En
ENSG00000011260 En
ENSG00000011295 En
ENSG00000011566 En
ENSG00000013275 En
ENSG00000013392 En
ENSG00000013561 En
ENSG00000014641 En
ENSG00000014824 En
ENSG00000015479 En
ENSG00000017260 En
ENSG00000018189 En
ENSG00000018236 En
ENSG00000022355 En
ENSG00000023330 En
ENSG00000023516 En
ENSG00000023572 En
ENSG00000023734 En
ENSG00000025156 En
ENSG00000025293 En
ENSG00000025796 En
ENSG00000028839 En
ENSG00000031003 En
ENSG00000035687 En
ENSG00000036257 En
ENSG00000038274 En
ENSG00000039123 En
ENSG00000040341 En
ENSG00000040933 En
ENSG00000041357 En
ENSG00000042317 En
ENSG00000047188 En
ENSG00000047315 En
ENSG00000047597 En
ENSG00000047621 En
ENSG00000048544 En
ENSG00000050748 En
ENSG00000051382 En
ENSG00000055130 En
ENSG00000056050 En
ENSG00000057663 En
ENSG00000060140 En
ENSG00000061676 En
ENSG00000061794 En
ENSG00000061918 En
ENSG00000062716 En
ENSG00000064199 En
ENSG00000064225 En
ENSG00000064726 En
ENSG00000064763 En
ENSG00000065150 En
ENSG00000065154 En
ENSG00000065548 En
ENSG00000065559 En
ENSG00000066382 En
ENSG00000066422 En
ENSG00000066557 En
ENSG00000066651 En
ENSG00000066654 En
ENSG00000066777 En
ENSG00000067704 En
ENSG00000068366 En
ENSG00000068438 En
ENSG00000068615 En
ENSG00000069345 En
ENSG00000069956 En
ENSG00000070061 En
ENSG00000070087 En
ENSG00000070501 En
ENSG00000070669 En
ENSG00000070761 En
ENSG00000070831 En
ENSG00000072041 En
ENSG00000072401 En
ENSG00000072657 En
ENSG00000072803 En
ENSG00000073464 En
ENSG00000073969 En
ENSG00000074603 En
ENSG00000075089 En
ENSG00000075303 En
ENSG00000075415 En
ENSG00000075790 En
ENSG00000075945 En
ENSG00000076554 En
ENSG00000077097 En
ENSG00000077232 En
ENSG00000077254 En
ENSG00000078053 En
