Gene Id
ENSG00000010327 En
ENSG00000010610 En
ENSG00000011600 En
ENSG00000012779 En
ENSG00000019582 En
ENSG00000026297 En
ENSG00000030582 En
ENSG00000042980 En
ENSG00000051523 En
ENSG00000059377 En
ENSG00000066294 En
ENSG00000068793 En
ENSG00000073737 En
ENSG00000073849 En
ENSG00000075884 En
ENSG00000077420 En
ENSG00000082074 En
ENSG00000090920 En
ENSG00000095303 En
ENSG00000095970 En
ENSG00000100055 En
ENSG00000101336 En
ENSG00000103490 En
ENSG00000104043 En
ENSG00000104894 En
ENSG00000105967 En
ENSG00000106034 En
ENSG00000106066 En
ENSG00000109861 En
ENSG00000110077 En
ENSG00000110446 En
ENSG00000110848 En
ENSG00000110934 En
ENSG00000111145 En
ENSG00000111348 En
ENSG00000111679 En
ENSG00000112799 En
ENSG00000114013 En
ENSG00000115956 En
ENSG00000116701 En
ENSG00000118640 En
ENSG00000119535 En
ENSG00000121316 En
ENSG00000121933 En
ENSG00000123338 En
ENSG00000125257 En
ENSG00000125730 En
ENSG00000127951 En
ENSG00000129667 En
ENSG00000131724 En
ENSG00000132274 En
ENSG00000132965 En
ENSG00000133561 En
ENSG00000133574 En
ENSG00000133800 En
ENSG00000134516 En
ENSG00000136167 En
ENSG00000137491 En
ENSG00000137752 En
ENSG00000137841 En
ENSG00000138185 En
ENSG00000139679 En
ENSG00000140030 En
ENSG00000140678 En
ENSG00000140749 En
ENSG00000140968 En
ENSG00000142583 En
ENSG00000143119 En
ENSG00000145287 En
ENSG00000145569 En
ENSG00000145685 En
ENSG00000148908 En
ENSG00000150337 En
ENSG00000150782 En
ENSG00000151702 En
ENSG00000152804 En
ENSG00000155307 En
ENSG00000155465 En
ENSG00000155659 En
ENSG00000155926 En
ENSG00000158869 En
ENSG00000159399 En
ENSG00000160255 En
ENSG00000162511 En
ENSG00000163106 En
ENSG00000163131 En
ENSG00000163191 En
ENSG00000163513 En
ENSG00000163563 En
ENSG00000163823 En
ENSG00000165025 En
ENSG00000165457 En
ENSG00000167851 En
ENSG00000168329 En
ENSG00000168918 En
ENSG00000168961 En
ENSG00000169403 En
ENSG00000169413 En
ENSG00000169508 En
ENSG00000169896 En
ENSG00000170458 En
ENSG00000171051 En
ENSG00000171860 En
ENSG00000172243 En
ENSG00000173369 En
ENSG00000173372 En
ENSG00000173391 En
ENSG00000174125 En
ENSG00000175567 En
ENSG00000178573 En
ENSG00000180353 En
ENSG00000181631 En
ENSG00000182578 En
ENSG00000183748 En
ENSG00000184060 En
ENSG00000187554 En
ENSG00000196126 En
ENSG00000196664 En
ENSG00000196735 En
ENSG00000197093 En
ENSG00000197249 En
ENSG00000197943 En
ENSG00000198223 En
ENSG00000203747 En
ENSG00000204257 En
ENSG00000204287 En
ENSG00000204472 En
ENSG00000204482 En
ENSG00000223865 En
ENSG00000224916 En
ENSG00000231389 En
ENSG00000242574 En
ENSG00000262149 En
ENSG00000268173 En
