Gene Id
ENSG00000000457 En
ENSG00000000460 En
ENSG00000000938 En
ENSG00000001167 En
ENSG00000001617 En
ENSG00000001626 En
ENSG00000002016 En
ENSG00000002587 En
ENSG00000002745 En
ENSG00000002834 En
ENSG00000002919 En
ENSG00000003056 En
ENSG00000003137 En
ENSG00000003147 En
ENSG00000003436 En
ENSG00000003509 En
ENSG00000003756 En
ENSG00000003987 En
ENSG00000004478 En
ENSG00000004487 En
ENSG00000004534 En
ENSG00000004766 En
ENSG00000004866 En
ENSG00000004897 En
ENSG00000004975 En
ENSG00000005022 En
ENSG00000005059 En
ENSG00000005156 En
ENSG00000005189 En
ENSG00000005206 En
ENSG00000005243 En
ENSG00000005302 En
ENSG00000005339 En
ENSG00000005381 En
ENSG00000005436 En
ENSG00000005469 En
ENSG00000005801 En
ENSG00000005844 En
ENSG00000005889 En
ENSG00000005955 En
ENSG00000005981 En
ENSG00000006007 En
ENSG00000006016 En
ENSG00000006059 En
ENSG00000006062 En
ENSG00000006075 En
ENSG00000006125 En
ENSG00000006194 En
ENSG00000006283 En
ENSG00000006377 En
ENSG00000006451 En
ENSG00000006468 En
ENSG00000006634 En
ENSG00000006695 En
ENSG00000006704 En
ENSG00000006747 En
ENSG00000006756 En
ENSG00000006757 En
ENSG00000006837 En
ENSG00000007062 En
ENSG00000007174 En
ENSG00000007255 En
ENSG00000007306 En
ENSG00000007341 En
ENSG00000007392 En
ENSG00000007541 En
ENSG00000007866 En
ENSG00000007908 En
ENSG00000007933 En
ENSG00000008018 En
ENSG00000008083 En
ENSG00000008086 En
ENSG00000008196 En
ENSG00000008324 En
ENSG00000008405 En
ENSG00000008517 En
ENSG00000009307 En
ENSG00000009413 En
ENSG00000009694 En
ENSG00000009709 En
ENSG00000009780 En
ENSG00000009790 En
ENSG00000010219 En
ENSG00000010244 En
ENSG00000010318 En
ENSG00000010404 En
ENSG00000010438 En
ENSG00000010539 En
ENSG00000010626 En
ENSG00000011007 En
ENSG00000011021 En
ENSG00000011105 En
ENSG00000011114 En
ENSG00000011275 En
ENSG00000011376 En
ENSG00000011422 En
ENSG00000011454 En
ENSG00000011485 En
ENSG00000011523 En
ENSG00000011638 En
ENSG00000011677 En
ENSG00000012048 En
ENSG00000012174 En
ENSG00000012223 En
ENSG00000012817 En
ENSG00000013288 En
ENSG00000013503 En
ENSG00000013563 En
ENSG00000013619 En
ENSG00000014138 En
ENSG00000014257 En
ENSG00000014919 En
ENSG00000015153 En
ENSG00000015475 En
ENSG00000015532 En
ENSG00000015592 En
ENSG00000016864 En
ENSG00000017427 En
ENSG00000017621 En
ENSG00000017797 En
ENSG00000018280 En
ENSG00000018610 En
ENSG00000019186 En
ENSG00000019485 En
ENSG00000019505 En
ENSG00000019549 En
ENSG00000019991 En
ENSG00000020256 En
ENSG00000020426 En
ENSG00000020577 En
ENSG00000020922 En
ENSG00000021488 En
ENSG00000021776 En
ENSG00000022267 En
ENSG00000022277 En
ENSG00000022556 En
ENSG00000022976 En
ENSG00000023041 En
ENSG00000023228 En
ENSG00000023287 En
ENSG00000023318 En
ENSG00000023445 En
ENSG00000023608 En
ENSG00000023902 En
ENSG00000023909 En
ENSG00000024048 En
ENSG00000024422 En
ENSG00000024862 En
ENSG00000025039 En
ENSG00000025434 En
ENSG00000025772 En
ENSG00000026559 En
ENSG00000026950 En
ENSG00000027001 En
ENSG00000028137 En
ENSG00000028203 En
ENSG00000028310 En
ENSG00000029153 En
ENSG00000029364 En
ENSG00000029534 En
ENSG00000029639 En
ENSG00000029725 En
ENSG00000029993 En
ENSG00000030304 En
ENSG00000033030 En
ENSG00000033050 En
ENSG00000033800 En
ENSG00000033867 En
ENSG00000034239 En
ENSG00000034533 En
ENSG00000034677 En
ENSG00000034693 En
ENSG00000035115 En
ENSG00000035141 En
ENSG00000035681 En
ENSG00000035720 En
ENSG00000035862 En
ENSG00000036473 En
ENSG00000036565 En
ENSG00000036672 En
ENSG00000037637 En
ENSG00000037749 En
ENSG00000037897 En
ENSG00000038295 En
ENSG00000038945 En
ENSG00000039600 En
ENSG00000040199 En
ENSG00000040275 En
ENSG00000040731 En
ENSG00000041353 En
ENSG00000041802 En
ENSG00000041880 En
ENSG00000042088 En
ENSG00000042304 En
ENSG00000042781 En
ENSG00000042813 En
ENSG00000043462 En
ENSG00000043514 En
ENSG00000043591 En
ENSG00000044446 En
ENSG00000044459 En
ENSG00000044524 En
ENSG00000046604 En
ENSG00000046774 En
ENSG00000047056 En
ENSG00000047410 En
ENSG00000047457 En
ENSG00000047578 En
ENSG00000047617 En
ENSG00000047648 En
ENSG00000047849 En
ENSG00000047936 En
ENSG00000048052 En
ENSG00000048162 En
ENSG00000048462 En
ENSG00000048649 En
ENSG00000048707 En
ENSG00000048740 En
ENSG00000049130 En
ENSG00000049167 En
ENSG00000049192 En
ENSG00000049239 En
ENSG00000049247 En
ENSG00000049283 En
ENSG00000049540 En
ENSG00000049541 En
ENSG00000049860 En
ENSG00000049883 En
ENSG00000050165 En
ENSG00000050344 En
ENSG00000050393 En
ENSG00000050426 En
ENSG00000050438 En
ENSG00000050628 En
ENSG00000050730 En
ENSG00000051108 En
ENSG00000051180 En
ENSG00000052126 En
ENSG00000052841 En
ENSG00000053108 En
ENSG00000053372 En
ENSG00000053438 En
ENSG00000053501 En
ENSG00000053524 En
ENSG00000053747 En
ENSG00000054116 En
ENSG00000054118 En
ENSG00000054392 En
ENSG00000054523 En
ENSG00000054611 En
ENSG00000054654 En
ENSG00000054793 En
ENSG00000054796 En
ENSG00000054965 En
ENSG00000055147 En
ENSG00000055332 En
ENSG00000055917 En
ENSG00000055955 En
ENSG00000056558 En
ENSG00000056586 En
ENSG00000056998 En
ENSG00000057019 En
ENSG00000057252 En
ENSG00000057294 En
ENSG00000057468 En
ENSG00000057608 En
ENSG00000057657 En
ENSG00000058056 En
ENSG00000058335 En
ENSG00000058668 En
ENSG00000058799 En
ENSG00000058804 En
ENSG00000058866 En
ENSG00000059145 En
ENSG00000059378 En
ENSG00000059588 En
ENSG00000059691 En
ENSG00000059728 En
ENSG00000059769 En
ENSG00000060138 En
ENSG00000060558 En
ENSG00000060642 En
ENSG00000060688 En
ENSG00000060718 En
ENSG00000060971 En
ENSG00000060982 En
ENSG00000061656 En
ENSG00000062038 En
ENSG00000062370 En
ENSG00000062598 En
ENSG00000062650 En
ENSG00000062822 En
ENSG00000063127 En
ENSG00000063169 En
ENSG00000063177 En
ENSG00000063241 En
ENSG00000063244 En
ENSG00000063601 En
ENSG00000063978 En
ENSG00000064012 En
ENSG00000064115 En
ENSG00000064270 En
ENSG00000064300 En
ENSG00000064309 En
ENSG00000064313 En
ENSG00000064545 En
ENSG00000064652 En
ENSG00000064666 En
ENSG00000064835 En
ENSG00000064886 En
ENSG00000064933 En
ENSG00000064989 En
ENSG00000064995 En
ENSG00000064999 En
ENSG00000065183 En
ENSG00000065268 En
ENSG00000065308 En
ENSG00000065320 En
ENSG00000065325 En
ENSG00000065328 En
ENSG00000065371 En
ENSG00000065427 En
ENSG00000065457 En
ENSG00000065485 En
ENSG00000065518 En
ENSG00000065526 En
ENSG00000065613 En
ENSG00000065665 En
ENSG00000065802 En
ENSG00000065833 En
ENSG00000065882 En
ENSG00000065883 En
ENSG00000065911 En
ENSG00000065923 En
ENSG00000065970 En
ENSG00000066032 En
ENSG00000066044 En
ENSG00000066056 En
ENSG00000066135 En
ENSG00000066136 En
ENSG00000066279 En
ENSG00000066427 En
ENSG00000066629 En
ENSG00000066739 En
ENSG00000066933 En
ENSG00000067064 En
ENSG00000067066 En
ENSG00000067082 En
ENSG00000067182 En
ENSG00000067334 En
ENSG00000067369 En
ENSG00000067533 En
ENSG00000067596 En
ENSG00000067646 En
ENSG00000067798 En
ENSG00000067992 En
ENSG00000068001 En
ENSG00000068024 En
ENSG00000068097 En
ENSG00000068305 En
ENSG00000068323 En
ENSG00000068394 En
ENSG00000068489 En
ENSG00000068745 En
ENSG00000069018 En
ENSG00000069275 En
ENSG00000069399 En
ENSG00000069482 En
ENSG00000069493 En
ENSG00000069667 En
ENSG00000069869 En
ENSG00000069943 En
ENSG00000069974 En
ENSG00000069998 En
ENSG00000070010 En
ENSG00000070018 En
ENSG00000070019 En
ENSG00000070081 En
ENSG00000070159 En
ENSG00000070269 En
ENSG00000070371 En
ENSG00000070388 En
ENSG00000070423 En
ENSG00000070476 En
ENSG00000070495 En
ENSG00000070601 En
ENSG00000070614 En
ENSG00000070808 En
ENSG00000070882 En
ENSG00000071051 En
ENSG00000071073 En
ENSG00000071082 En
ENSG00000071205 En
ENSG00000071242 En
ENSG00000071243 En
ENSG00000071282 En
ENSG00000071462 En
ENSG00000071539 En
ENSG00000071575 En
ENSG00000071626 En
ENSG00000071994 En
ENSG00000072080 En
ENSG00000072133 En
ENSG00000072135 En
ENSG00000072210 En
ENSG00000072315 En
ENSG00000072364 En
ENSG00000072609 En
ENSG00000072682 En
ENSG00000072694 En
ENSG00000072736 En
ENSG00000072786 En
ENSG00000072840 En
ENSG00000072849 En
ENSG00000072858 En
ENSG00000073008 En
ENSG00000073111 En
ENSG00000073331 En
ENSG00000073756 En
ENSG00000073803 En
ENSG00000074047 En
ENSG00000074201 En
ENSG00000074319 En
ENSG00000074582 En
ENSG00000074590 En
ENSG00000074621 En
ENSG00000074706 En
ENSG00000074755 En
ENSG00000074771 En
ENSG00000074800 En
ENSG00000074803 En
ENSG00000074842 En
ENSG00000074966 En
ENSG00000075131 En
ENSG00000075151 En
ENSG00000075213 En
ENSG00000075407 En
ENSG00000075413 En
ENSG00000075426 En
ENSG00000075643 En
ENSG00000075785 En
ENSG00000075856 En
ENSG00000075914 En
ENSG00000075975 En
ENSG00000076003 En
ENSG00000076242 En
ENSG00000076258 En
ENSG00000076321 En
ENSG00000076650 En
ENSG00000076662 En
ENSG00000076770 En
ENSG00000076924 En
ENSG00000076928 En
ENSG00000076984 En
ENSG00000077044 En
ENSG00000077092 En
ENSG00000077150 En
ENSG00000077157 En
ENSG00000077238 En
ENSG00000077312 En
ENSG00000077327 En
ENSG00000077454 En
ENSG00000077463 En
ENSG00000077514 En
ENSG00000077522 En
ENSG00000077549 En
ENSG00000077616 En
ENSG00000077684 En
ENSG00000077782 En
ENSG00000077809 En
ENSG00000078043 En
ENSG00000078070 En
ENSG00000078081 En
ENSG00000078098 En
ENSG00000078304 En
ENSG00000078369 En
ENSG00000078403 En
ENSG00000078487 En
ENSG00000078579 En
ENSG00000078589 En
ENSG00000078618 En
ENSG00000078699 En
ENSG00000078725 En
ENSG00000078795 En
ENSG00000078814 En
ENSG00000079101 En
ENSG00000079112 En
ENSG00000079257 En
ENSG00000079263 En
ENSG00000079332 En
ENSG00000079335 En
ENSG00000079385 En
ENSG00000079462 En
ENSG00000079689 En
ENSG00000079841 En
ENSG00000080007 En
ENSG00000080166 En
ENSG00000080189 En
ENSG00000080298 En
ENSG00000080503 En
ENSG00000080561 En
ENSG00000080608 En
ENSG00000080618 En
ENSG00000080709 En
ENSG00000080802 En
ENSG00000080823 En
ENSG00000080824 En
ENSG00000080839 En
ENSG00000080910 En
ENSG00000080986 En
ENSG00000081014 En
ENSG00000081019 En
ENSG00000081041 En
ENSG00000081051 En
ENSG00000081052 En
ENSG00000081059 En
ENSG00000081138 En
ENSG00000081148 En
ENSG00000081177 En
ENSG00000081181 En
ENSG00000081189 En
ENSG00000081386 En
ENSG00000081791 En
ENSG00000081800 En
ENSG00000081870 En
ENSG00000081923 En
ENSG00000081985 En
ENSG00000082068 En
ENSG00000082175 En
ENSG00000082212 En
ENSG00000082269 En
ENSG00000082293 En
ENSG00000082482 En
ENSG00000082512 En
ENSG00000082515 En
ENSG00000082556 En
ENSG00000082701 En
ENSG00000082805 En
ENSG00000082929 En
ENSG00000083067 En
ENSG00000083093 En
ENSG00000083097 En
ENSG00000083099 En
ENSG00000083223 En
ENSG00000083312 En
ENSG00000083444 En
ENSG00000083457 En
ENSG00000083520 En
ENSG00000083535 En
ENSG00000083544 En
ENSG00000083635 En
ENSG00000083782 En
ENSG00000083799 En
ENSG00000083814 En
ENSG00000083828 En
ENSG00000083842 En
ENSG00000083845 En
ENSG00000084072 En
ENSG00000084090 En
ENSG00000084093 En
ENSG00000084112 En
ENSG00000084623 En
ENSG00000084628 En
ENSG00000084676 En
ENSG00000084734 En
ENSG00000085185 En
ENSG00000085224 En
ENSG00000085265 En
ENSG00000085465 En
ENSG00000085514 En
ENSG00000085733 En
ENSG00000085831 En
ENSG00000085840 En
ENSG00000085871 En
ENSG00000085872 En
ENSG00000085978 En
ENSG00000086102 En
ENSG00000086189 En
ENSG00000086232 En
ENSG00000086288 En
ENSG00000086475 En
ENSG00000086544 En
ENSG00000086548 En
ENSG00000086570 En
ENSG00000086619 En
ENSG00000086717 En
ENSG00000086730 En
ENSG00000086827 En
ENSG00000086848 En
ENSG00000086967 En
ENSG00000086991 En
ENSG00000087053 En
ENSG00000087074 En
ENSG00000087087 En
ENSG00000087088 En
ENSG00000087157 En
ENSG00000087191 En
ENSG00000087206 En
ENSG00000087245 En
ENSG00000087263 En
ENSG00000087266 En
ENSG00000087269 En
ENSG00000087274 En
ENSG00000087303 En
ENSG00000087338 En
ENSG00000087494 En
ENSG00000087510 En
ENSG00000087586 En
ENSG00000087903 En
ENSG00000087916 En
ENSG00000087995 En
ENSG00000088035 En
ENSG00000088053 En
ENSG00000088179 En
ENSG00000088205 En
ENSG00000088298 En
ENSG00000088305 En
ENSG00000088325 En
ENSG00000088448 En
ENSG00000088726 En
ENSG00000088756 En
ENSG00000088833 En
ENSG00000089012 En
ENSG00000089022 En
ENSG00000089048 En
ENSG00000089050 En
ENSG00000089053 En
ENSG00000089060 En
ENSG00000089091 En
ENSG00000089127 En
ENSG00000089154 En
ENSG00000089163 En
ENSG00000089248 En
ENSG00000089250 En
ENSG00000089280 En
ENSG00000089327 En
ENSG00000089597 En
ENSG00000089682 En
ENSG00000089723 En
ENSG00000089775 En
ENSG00000089876 En
ENSG00000089902 En
ENSG00000089916 En
ENSG00000090013 En
ENSG00000090104 En
ENSG00000090376 En
ENSG00000090382 En
ENSG00000090402 En
ENSG00000090432 En
ENSG00000090487 En
ENSG00000090512 En
ENSG00000090530 En
ENSG00000090612 En
ENSG00000090674 En
ENSG00000090686 En
ENSG00000090857 En
ENSG00000090863 En
ENSG00000090889 En
ENSG00000091010 En
ENSG00000091039 En
ENSG00000091073 En
ENSG00000091127 En
ENSG00000091129 En
ENSG00000091136 En
ENSG00000091137 En
ENSG00000091138 En
ENSG00000091428 En
