Gene Id
ENSG00000001497 En
ENSG00000004399 En
ENSG00000005007 En
ENSG00000006282 En
ENSG00000008441 En
ENSG00000009954 En
ENSG00000010361 En
ENSG00000011132 En
ENSG00000011243 En
ENSG00000012822 En
ENSG00000014164 En
ENSG00000060069 En
ENSG00000060656 En
ENSG00000061936 En
ENSG00000065717 En
ENSG00000070366 En
ENSG00000071246 En
ENSG00000071859 En
ENSG00000071889 En
ENSG00000073060 En
ENSG00000073605 En
ENSG00000076344 En
ENSG00000078808 En
ENSG00000079277 En
ENSG00000084774 En
ENSG00000088247 En
ENSG00000094914 En
ENSG00000099949 En
ENSG00000100083 En
ENSG00000100319 En
ENSG00000100425 En
ENSG00000100813 En
ENSG00000100918 En
ENSG00000101442 En
ENSG00000103024 En
ENSG00000103168 En
ENSG00000103199 En
ENSG00000103202 En
ENSG00000103257 En
ENSG00000103653 En
ENSG00000103932 En
ENSG00000104915 En
ENSG00000104936 En
ENSG00000104969 En
ENSG00000105397 En
ENSG00000105618 En
ENSG00000105663 En
ENSG00000105771 En
ENSG00000108175 En
ENSG00000108773 En
ENSG00000109065 En
ENSG00000110080 En
ENSG00000110274 En
ENSG00000110917 En
ENSG00000112511 En
ENSG00000112667 En
ENSG00000114650 En
ENSG00000115568 En
ENSG00000116871 En
ENSG00000117385 En
ENSG00000118058 En
ENSG00000123159 En
ENSG00000123191 En
ENSG00000123384 En
ENSG00000123933 En
ENSG00000124587 En
ENSG00000125386 En
ENSG00000125534 En
ENSG00000126107 En
ENSG00000126254 En
ENSG00000126456 En
ENSG00000126705 En
ENSG00000126767 En
ENSG00000127663 En
ENSG00000129932 En
ENSG00000130005 En
ENSG00000130254 En
ENSG00000130313 En
ENSG00000130402 En
ENSG00000130684 En
ENSG00000130827 En
ENSG00000131446 En
ENSG00000131748 En
ENSG00000132182 En
ENSG00000132323 En
ENSG00000132906 En
ENSG00000133069 En
ENSG00000133315 En
ENSG00000133624 En
ENSG00000135596 En
ENSG00000139722 En
ENSG00000140400 En
ENSG00000140553 En
ENSG00000141084 En
ENSG00000141503 En
ENSG00000141696 En
ENSG00000142156 En
ENSG00000142599 En
ENSG00000143321 En
ENSG00000143368 En
ENSG00000148219 En
ENSG00000148308 En
ENSG00000153395 En
ENSG00000155287 En
ENSG00000157637 En
ENSG00000157933 En
ENSG00000160211 En
ENSG00000160613 En
ENSG00000161010 En
ENSG00000162191 En
ENSG00000162413 En
ENSG00000163348 En
ENSG00000163516 En
ENSG00000163870 En
ENSG00000166228 En
ENSG00000167074 En
ENSG00000167118 En
ENSG00000167393 En
ENSG00000167978 En
ENSG00000168066 En
ENSG00000168268 En
ENSG00000169188 En
ENSG00000169635 En
ENSG00000169925 En
ENSG00000169926 En
ENSG00000171163 En
ENSG00000171298 En
ENSG00000172534 En
ENSG00000172663 En
ENSG00000173404 En
ENSG00000173546 En
ENSG00000173599 En
ENSG00000173992 En
ENSG00000174915 En
ENSG00000175221 En
ENSG00000175334 En
ENSG00000175467 En
ENSG00000175727 En
ENSG00000175826 En
ENSG00000176533 En
ENSG00000177051 En
ENSG00000178188 En
ENSG00000178209 En
ENSG00000178605 En
ENSG00000182087 En
ENSG00000182979 En
ENSG00000183479 En
ENSG00000183495 En
ENSG00000184481 En
ENSG00000185122 En
ENSG00000185615 En
ENSG00000196361 En
ENSG00000197956 En
ENSG00000198276 En
ENSG00000198909 En
ENSG00000198952 En
ENSG00000204209 En
ENSG00000204301 En
ENSG00000204569 En
ENSG00000214655 En
ENSG00000221968 En
ENSG00000225190 En
ENSG00000229809 En
ENSG00000230259 En
ENSG00000254206 En
ENSG00000254870 En
ENSG00000255990 En
ENSG00000272752 En
