Gene Id
ENSG00000004139 En
ENSG00000004777 En
ENSG00000005102 En
ENSG00000005238 En
ENSG00000006025 En
ENSG00000009950 En
ENSG00000010803 En
ENSG00000013810 En
ENSG00000025708 En
ENSG00000034152 En
ENSG00000037280 En
ENSG00000044090 En
ENSG00000058453 En
ENSG00000060491 En
ENSG00000064687 En
ENSG00000065029 En
ENSG00000065054 En
ENSG00000066117 En
ENSG00000066336 En
ENSG00000069020 En
ENSG00000069188 En
ENSG00000069696 En
ENSG00000070031 En
ENSG00000070814 En
ENSG00000072195 En
ENSG00000074964 En
ENSG00000075043 En
ENSG00000079432 En
ENSG00000080573 En
ENSG00000080603 En
ENSG00000083838 En
ENSG00000086015 En
ENSG00000087076 En
ENSG00000090006 En
ENSG00000090932 En
ENSG00000092841 En
ENSG00000095321 En
ENSG00000099381 En
ENSG00000099625 En
ENSG00000099899 En
ENSG00000100034 En
ENSG00000100207 En
ENSG00000100299 En
ENSG00000100311 En
ENSG00000100726 En
ENSG00000101180 En
ENSG00000101204 En
ENSG00000101246 En
ENSG00000102870 En
ENSG00000102878 En
ENSG00000102904 En
ENSG00000102996 En
ENSG00000104524 En
ENSG00000104897 En
ENSG00000105204 En
ENSG00000105298 En
ENSG00000105325 En
ENSG00000105426 En
ENSG00000105556 En
ENSG00000105655 En
ENSG00000105662 En
ENSG00000105676 En
ENSG00000105698 En
ENSG00000105737 En
ENSG00000105738 En
ENSG00000106330 En
ENSG00000108262 En
ENSG00000108379 En
ENSG00000108784 En
ENSG00000109736 En
ENSG00000110400 En
ENSG00000110811 En
ENSG00000111186 En
ENSG00000111271 En
ENSG00000111676 En
ENSG00000112280 En
ENSG00000112658 En
ENSG00000113739 En
ENSG00000119714 En
ENSG00000122515 En
ENSG00000122678 En
ENSG00000123411 En
ENSG00000123815 En
ENSG00000124302 En
ENSG00000124766 En
ENSG00000125449 En
ENSG00000125458 En
ENSG00000125648 En
ENSG00000125755 En
ENSG00000125966 En
ENSG00000126215 En
ENSG00000127191 En
ENSG00000127415 En
ENSG00000129038 En
ENSG00000129194 En
ENSG00000129925 En
ENSG00000130054 En
ENSG00000130309 En
ENSG00000130382 En
ENSG00000130751 En
ENSG00000130758 En
ENSG00000130829 En
ENSG00000131094 En
ENSG00000131116 En
ENSG00000131398 En
ENSG00000131591 En
ENSG00000132005 En
ENSG00000132507 En
ENSG00000133519 En
ENSG00000134815 En
ENSG00000135116 En
ENSG00000135722 En
ENSG00000136630 En
ENSG00000136840 En
ENSG00000137218 En
ENSG00000138172 En
ENSG00000140398 En
ENSG00000140519 En
ENSG00000140564 En
ENSG00000141744 En
ENSG00000141905 En
ENSG00000141985 En
ENSG00000142173 En
ENSG00000142330 En
ENSG00000142694 En
ENSG00000142784 En
ENSG00000143320 En
ENSG00000143434 En
ENSG00000143793 En
ENSG00000147804 En
ENSG00000147955 En
ENSG00000148291 En
ENSG00000148680 En
ENSG00000149091 En
ENSG00000149527 En
ENSG00000149930 En
ENSG00000151067 En
ENSG00000151651 En
ENSG00000152784 En
ENSG00000154099 En
ENSG00000157350 En
ENSG00000158458 En
ENSG00000158815 En
ENSG00000160323 En
ENSG00000161091 En
ENSG00000161681 En
ENSG00000162009 En
ENSG00000162063 En
ENSG00000162302 En
ENSG00000162572 En
ENSG00000163273 En
ENSG00000163499 En
ENSG00000163520 En
ENSG00000163586 En
ENSG00000163734 En
ENSG00000163794 En
ENSG00000164896 En
ENSG00000165804 En
ENSG00000165886 En
ENSG00000166169 En
ENSG00000167508 En
ENSG00000167680 En
ENSG00000167685 En
ENSG00000167968 En
ENSG00000168067 En
ENSG00000168453 En
ENSG00000168488 En
ENSG00000169575 En
ENSG00000169884 En
ENSG00000169957 En
ENSG00000170604 En
ENSG00000170616 En
ENSG00000170866 En
ENSG00000171303 En
ENSG00000171346 En
ENSG00000171570 En
ENSG00000171587 En
ENSG00000171700 En
ENSG00000171873 En
ENSG00000172232 En
ENSG00000172346 En
ENSG00000173153 En
ENSG00000173581 En
ENSG00000173638 En
ENSG00000173653 En
ENSG00000174276 En
ENSG00000174669 En
ENSG00000174791 En
ENSG00000174951 En
ENSG00000175634 En
ENSG00000176155 En
ENSG00000177697 En
ENSG00000177732 En
ENSG00000178773 En
ENSG00000178922 En
ENSG00000178951 En
ENSG00000179134 En
ENSG00000179477 En
ENSG00000179965 En
ENSG00000180448 En
ENSG00000181026 En
ENSG00000181790 En
ENSG00000182580 En
ENSG00000182841 En
ENSG00000183770 En
ENSG00000184451 En
ENSG00000184470 En
ENSG00000184489 En
ENSG00000185236 En
ENSG00000185504 En
ENSG00000185633 En
ENSG00000185800 En
ENSG00000185803 En
ENSG00000186654 En
ENSG00000186765 En
ENSG00000186832 En
ENSG00000187609 En
ENSG00000187796 En
ENSG00000196189 En
ENSG00000197122 En
ENSG00000197150 En
ENSG00000197165 En
ENSG00000197599 En
ENSG00000197785 En
ENSG00000198089 En
ENSG00000198598 En
ENSG00000198728 En
ENSG00000198798 En
ENSG00000198933 En
ENSG00000204160 En
ENSG00000204231 En
ENSG00000204498 En
ENSG00000205309 En
ENSG00000205560 En
ENSG00000213648 En
ENSG00000213918 En
ENSG00000213923 En
ENSG00000215788 En
ENSG00000234616 En
ENSG00000243207 En
ENSG00000261215 En
ENSG00000261487 En
ENSG00000261606 En
ENSG00000262660 En
ENSG00000272949 En
