Gene Id
ENSG00000005194 En
ENSG00000010256 En
ENSG00000031698 En
ENSG00000032389 En
ENSG00000042753 En
ENSG00000047249 En
ENSG00000067057 En
ENSG00000067829 En
ENSG00000070718 En
ENSG00000071553 En
ENSG00000077080 En
ENSG00000085662 En
ENSG00000090266 En
ENSG00000090861 En
ENSG00000095059 En
ENSG00000095380 En
ENSG00000097021 En
ENSG00000099341 En
ENSG00000100294 En
ENSG00000100296 En
ENSG00000100347 En
ENSG00000100804 En
ENSG00000101365 En
ENSG00000101473 En
ENSG00000102078 En
ENSG00000102103 En
ENSG00000103316 En
ENSG00000103415 En
ENSG00000104872 En
ENSG00000105393 En
ENSG00000105402 En
ENSG00000105443 En
ENSG00000106105 En
ENSG00000106603 En
ENSG00000106605 En
ENSG00000107874 En
ENSG00000108294 En
ENSG00000108825 En
ENSG00000109016 En
ENSG00000109832 En
ENSG00000110148 En
ENSG00000110442 En
ENSG00000111218 En
ENSG00000111640 En
ENSG00000111652 En
ENSG00000112130 En
ENSG00000112514 En
ENSG00000115234 En
ENSG00000115317 En
ENSG00000117410 En
ENSG00000119421 En
ENSG00000119705 En
ENSG00000121073 En
ENSG00000122705 En
ENSG00000124194 En
ENSG00000124688 En
ENSG00000125166 En
ENSG00000125354 En
ENSG00000125445 En
ENSG00000125835 En
ENSG00000125971 En
ENSG00000126088 En
ENSG00000126267 En
ENSG00000126602 En
ENSG00000127445 En
ENSG00000127824 En
ENSG00000128626 En
ENSG00000128739 En
ENSG00000129484 En
ENSG00000129691 En
ENSG00000130520 En
ENSG00000130764 En
ENSG00000130956 En
ENSG00000132305 En
ENSG00000132386 En
ENSG00000135624 En
ENSG00000136261 En
ENSG00000136827 En
ENSG00000136950 En
ENSG00000138095 En
ENSG00000140105 En
ENSG00000141002 En
ENSG00000141385 En
ENSG00000141759 En
ENSG00000142230 En
ENSG00000142507 En
ENSG00000142686 En
ENSG00000143420 En
ENSG00000144120 En
ENSG00000144567 En
ENSG00000144834 En
ENSG00000147123 En
ENSG00000149179 En
ENSG00000149925 En
ENSG00000151376 En
ENSG00000153233 En
ENSG00000155876 En
ENSG00000157064 En
ENSG00000157881 En
ENSG00000158019 En
ENSG00000159720 En
ENSG00000161203 En
ENSG00000161980 En
ENSG00000161981 En
ENSG00000162188 En
ENSG00000162517 En
ENSG00000163161 En
ENSG00000163956 En
ENSG00000164062 En
ENSG00000164405 En
ENSG00000164885 En
ENSG00000165152 En
ENSG00000165283 En
ENSG00000167283 En
ENSG00000167468 En
ENSG00000167642 En
ENSG00000167792 En
ENSG00000168090 En
ENSG00000168496 En
ENSG00000168701 En
ENSG00000168785 En
ENSG00000170091 En
ENSG00000171960 En
ENSG00000172336 En
ENSG00000172500 En
ENSG00000173692 En
ENSG00000173867 En
ENSG00000174684 En
ENSG00000175166 En
ENSG00000175203 En
ENSG00000176340 En
ENSG00000178105 En
ENSG00000178982 En
ENSG00000179091 En
ENSG00000179115 En
ENSG00000179222 En
ENSG00000179958 En
ENSG00000180957 En
ENSG00000181191 En
ENSG00000181852 En
ENSG00000181991 En
ENSG00000182013 En
ENSG00000182636 En
ENSG00000183207 En
ENSG00000183978 En
ENSG00000184056 En
ENSG00000185721 En
ENSG00000187094 En
ENSG00000189159 En
ENSG00000196419 En
ENSG00000196976 En
ENSG00000197620 En
ENSG00000197872 En
ENSG00000205629 En
ENSG00000213246 En
ENSG00000213619 En
ENSG00000214113 En
ENSG00000227057 En
ENSG00000241468 En
ENSG00000241685 En
ENSG00000243279 En
