Gene Id
ENSG00000005001 En
ENSG00000005961 En
ENSG00000006327 En
ENSG00000006638 En
ENSG00000006788 En
ENSG00000007312 En
ENSG00000008516 En
ENSG00000011028 En
ENSG00000011590 En
ENSG00000012211 En
ENSG00000013725 En
ENSG00000015413 En
ENSG00000019169 En
ENSG00000020633 En
ENSG00000026751 En
ENSG00000028277 En
ENSG00000029559 En
ENSG00000031544 En
ENSG00000049319 En
ENSG00000049768 En
ENSG00000054179 En
ENSG00000055957 En
ENSG00000057593 En
ENSG00000061273 En
ENSG00000062524 En
ENSG00000063515 En
ENSG00000064489 En
ENSG00000064547 En
ENSG00000065618 En
ENSG00000069011 En
ENSG00000070404 En
ENSG00000071677 En
ENSG00000072182 En
ENSG00000072818 En
ENSG00000073067 En
ENSG00000073598 En
ENSG00000074276 En
ENSG00000075290 En
ENSG00000075702 En
ENSG00000076108 En
ENSG00000077009 En
ENSG00000077800 En
ENSG00000078399 En
ENSG00000078900 En
ENSG00000088002 En
ENSG00000088320 En
ENSG00000088926 En
ENSG00000089116 En
ENSG00000090447 En
ENSG00000090776 En
ENSG00000092067 En
ENSG00000092295 En
ENSG00000095917 En
ENSG00000096996 En
ENSG00000099769 En
ENSG00000099834 En
ENSG00000099869 En
ENSG00000099889 En
ENSG00000099953 En
ENSG00000100024 En
ENSG00000100053 En
ENSG00000100065 En
ENSG00000100079 En
ENSG00000100147 En
ENSG00000100263 En
ENSG00000100351 En
ENSG00000100373 En
ENSG00000100867 En
ENSG00000100968 En
ENSG00000100987 En
ENSG00000101076 En
ENSG00000101412 En
ENSG00000101440 En
ENSG00000102076 En
ENSG00000102970 En
ENSG00000103067 En
ENSG00000103326 En
ENSG00000103546 En
ENSG00000104826 En
ENSG00000104827 En
ENSG00000104901 En
ENSG00000104918 En
ENSG00000104953 En
ENSG00000104976 En
ENSG00000105227 En
ENSG00000105281 En
ENSG00000105289 En
ENSG00000105392 En
ENSG00000105523 En
ENSG00000105550 En
ENSG00000105609 En
ENSG00000105664 En
ENSG00000105997 En
ENSG00000106006 En
ENSG00000106038 En
ENSG00000106336 En
ENSG00000106436 En
ENSG00000106631 En
ENSG00000106927 En
ENSG00000107618 En
ENSG00000107831 En
ENSG00000107859 En
ENSG00000108342 En
ENSG00000108556 En
ENSG00000108602 En
ENSG00000108688 En
ENSG00000108759 En
ENSG00000108823 En
ENSG00000110203 En
ENSG00000110244 En
ENSG00000110944 En
ENSG00000111087 En
ENSG00000111199 En
ENSG00000111319 En
ENSG00000111424 En
ENSG00000112041 En
ENSG00000112077 En
ENSG00000112195 En
ENSG00000112559 En
ENSG00000114270 En
ENSG00000115085 En
ENSG00000115138 En
ENSG00000115297 En
ENSG00000115325 En
ENSG00000115488 En
ENSG00000115596 En
ENSG00000115718 En
ENSG00000116017 En
ENSG00000116035 En
ENSG00000116151 En
ENSG00000116329 En
ENSG00000116882 En
ENSG00000117560 En
ENSG00000118245 En
ENSG00000118707 En
ENSG00000120055 En
ENSG00000120057 En
ENSG00000120075 En
ENSG00000120093 En
ENSG00000120457 En
ENSG00000120498 En
ENSG00000120949 En
ENSG00000121075 En
ENSG00000121634 En
ENSG00000121743 En
ENSG00000121853 En
ENSG00000122180 En
ENSG00000122386 En
ENSG00000122592 En
ENSG00000124159 En
ENSG00000124232 En
ENSG00000124256 En
ENSG00000124429 En
ENSG00000124493 En
ENSG00000125207 En
ENSG00000125319 En
ENSG00000125726 En
ENSG00000125731 En
ENSG00000125878 En
ENSG00000125879 En
ENSG00000126218 En
ENSG00000126233 En
ENSG00000126460 En
ENSG00000126467 En
ENSG00000126778 En
ENSG00000126890 En
ENSG00000126895 En
ENSG00000128322 En
ENSG00000128714 En
ENSG00000128802 En
ENSG00000129195 En
ENSG00000129221 En
ENSG00000129455 En
ENSG00000129910 En
ENSG00000130173 En
ENSG00000130270 En
ENSG00000130300 En
ENSG00000130427 En
ENSG00000130529 En
ENSG00000130595 En
ENSG00000130598 En
ENSG00000130675 En
ENSG00000131037 En
ENSG00000131668 En
ENSG00000131746 En
ENSG00000131759 En
ENSG00000131808 En
ENSG00000131914 En
ENSG00000132130 En
ENSG00000132514 En
ENSG00000132746 En
ENSG00000133149 En
ENSG00000133488 En
ENSG00000133980 En
ENSG00000134259 En
ENSG00000135097 En
ENSG00000135480 En
ENSG00000136352 En
ENSG00000136378 En
ENSG00000136383 En
ENSG00000136490 En
ENSG00000136573 En
ENSG00000136931 En
ENSG00000137077 En
ENSG00000137204 En
ENSG00000137496 En
ENSG00000137731 En
ENSG00000137875 En
ENSG00000138080 En
ENSG00000138136 En
ENSG00000139219 En
ENSG00000139515 En
ENSG00000139626 En
ENSG00000139835 En
ENSG00000140093 En
ENSG00000140859 En
ENSG00000140961 En
ENSG00000141527 En
ENSG00000142102 En
ENSG00000142273 En
ENSG00000142327 En
ENSG00000142409 En
ENSG00000142484 En
ENSG00000142798 En
ENSG00000143105 En
ENSG00000143627 En
ENSG00000144481 En
ENSG00000145192 En
ENSG00000145217 En
ENSG00000145384 En
ENSG00000147081 En
ENSG00000147883 En
ENSG00000149418 En
ENSG00000150281 En
ENSG00000156127 En
ENSG00000156150 En
ENSG00000156453 En
ENSG00000156860 En
ENSG00000156885 En
ENSG00000157060 En
ENSG00000158488 En
ENSG00000158813 En
ENSG00000159173 En
ENSG00000159216 En
ENSG00000159261 En
ENSG00000159640 En
ENSG00000159961 En
ENSG00000160051 En
ENSG00000160233 En
ENSG00000160339 En
ENSG00000160683 En
ENSG00000160883 En
ENSG00000161270 En
ENSG00000161905 En
ENSG00000162068 En
ENSG00000163254 En
ENSG00000163283 En
ENSG00000163295 En
ENSG00000163623 En
ENSG00000164045 En
ENSG00000164107 En
ENSG00000164362 En
ENSG00000164920 En
ENSG00000165125 En
ENSG00000165140 En
ENSG00000165462 En
ENSG00000165556 En
ENSG00000166126 En
ENSG00000166166 En
ENSG00000166743 En
ENSG00000167395 En
ENSG00000167656 En
ENSG00000167711 En
ENSG00000167748 En
ENSG00000167791 En
ENSG00000167900 En
ENSG00000168477 En
ENSG00000168505 En
ENSG00000168875 En
ENSG00000169026 En
ENSG00000169059 En
ENSG00000169071 En
ENSG00000169194 En
ENSG00000169418 En
ENSG00000170122 En
ENSG00000170128 En
ENSG00000170476 En
ENSG00000170498 En
ENSG00000170523 En
ENSG00000170638 En
ENSG00000170689 En
ENSG00000171564 En
ENSG00000171611 En
ENSG00000171956 En
ENSG00000172000 En
ENSG00000172016 En
ENSG00000173535 En
ENSG00000173991 En
ENSG00000174562 En
ENSG00000174807 En
ENSG00000175084 En
ENSG00000175505 En
ENSG00000175564 En
ENSG00000175832 En
ENSG00000176692 En
ENSG00000176728 En
ENSG00000176920 En
ENSG00000177047 En
ENSG00000178372 En
ENSG00000178401 En
ENSG00000178919 En
ENSG00000178999 En
ENSG00000179142 En
ENSG00000179348 En
ENSG00000179526 En
ENSG00000180549 En
ENSG00000181856 En
ENSG00000181965 En
ENSG00000182107 En
ENSG00000183010 En
ENSG00000183473 En
ENSG00000183678 En
ENSG00000183840 En
ENSG00000183853 En
ENSG00000184058 En
ENSG00000184160 En
ENSG00000184292 En
ENSG00000184302 En
ENSG00000184343 En
ENSG00000185130 En
ENSG00000185499 En
ENSG00000185668 En
ENSG00000185730 En
ENSG00000185972 En
ENSG00000185974 En
ENSG00000186442 En
ENSG00000186652 En
ENSG00000186810 En
ENSG00000186895 En
ENSG00000186994 En
ENSG00000187714 En
ENSG00000188037 En
ENSG00000188064 En
ENSG00000188937 En
ENSG00000189334 En
ENSG00000189409 En
ENSG00000196092 En
ENSG00000196296 En
ENSG00000196411 En
ENSG00000196415 En
ENSG00000196544 En
ENSG00000197245 En
ENSG00000197406 En
ENSG00000197463 En
ENSG00000197540 En
ENSG00000197561 En
ENSG00000197901 En
ENSG00000198400 En
ENSG00000198445 En
ENSG00000204252 En
ENSG00000204305 En
ENSG00000204338 En
ENSG00000204382 En
ENSG00000204420 En
ENSG00000204424 En
ENSG00000204439 En
ENSG00000204577 En
ENSG00000204610 En
ENSG00000204616 En
ENSG00000205426 En
ENSG00000205923 En
ENSG00000206549 En
ENSG00000213654 En
ENSG00000213937 En
ENSG00000214193 En
ENSG00000215704 En
ENSG00000216193 En
ENSG00000222040 En
ENSG00000224807 En
ENSG00000226979 En
ENSG00000227507 En
ENSG00000237624 En
ENSG00000237941 En
ENSG00000238074 En
ENSG00000239713 En
ENSG00000239961 En
ENSG00000240505 En
ENSG00000248290 En
ENSG00000253293 En
ENSG00000254126 En
ENSG00000254995 En
ENSG00000256390 En
ENSG00000260105 En
ENSG00000265060 En
ENSG00000267534 En
ENSG00000273154 En
ENSG00000273433 En
