Gene Id
ENSG00000002746 En
ENSG00000005810 En
ENSG00000008277 En
ENSG00000010818 En
ENSG00000021645 En
ENSG00000054277 En
ENSG00000058091 En
ENSG00000065609 En
ENSG00000067715 En
ENSG00000068383 En
ENSG00000069966 En
ENSG00000070961 En
ENSG00000073910 En
ENSG00000078328 En
ENSG00000081803 En
ENSG00000084444 En
ENSG00000085377 En
ENSG00000085788 En
ENSG00000088812 En
ENSG00000089737 En
ENSG00000091157 En
ENSG00000092201 En
ENSG00000100285 En
ENSG00000100362 En
ENSG00000101079 En
ENSG00000101654 En
ENSG00000101846 En
ENSG00000102466 En
ENSG00000102678 En
ENSG00000103657 En
ENSG00000104490 En
ENSG00000104722 En
ENSG00000104725 En
ENSG00000107295 En
ENSG00000107518 En
ENSG00000108924 En
ENSG00000110427 En
ENSG00000111674 En
ENSG00000112186 En
ENSG00000112290 En
ENSG00000112367 En
ENSG00000114948 En
ENSG00000115419 En
ENSG00000116106 En
ENSG00000117152 En
ENSG00000121871 En
ENSG00000123352 En
ENSG00000124785 En
ENSG00000125851 En
ENSG00000130540 En
ENSG00000130830 En
ENSG00000131711 En
ENSG00000133026 En
ENSG00000133318 En
ENSG00000134318 En
ENSG00000134684 En
ENSG00000135119 En
ENSG00000135423 En
ENSG00000136531 En
ENSG00000137821 En
ENSG00000138378 En
ENSG00000138814 En
ENSG00000139190 En
ENSG00000143499 En
ENSG00000143502 En
ENSG00000144645 En
ENSG00000145362 En
ENSG00000145526 En
ENSG00000147642 En
ENSG00000148798 En
ENSG00000149575 En
ENSG00000150995 En
ENSG00000151320 En
ENSG00000153558 En
ENSG00000154027 En
ENSG00000154162 En
ENSG00000154822 En
ENSG00000157445 En
ENSG00000157693 En
ENSG00000157895 En
ENSG00000160145 En
ENSG00000162374 En
ENSG00000162694 En
ENSG00000163032 En
ENSG00000163399 En
ENSG00000165868 En
ENSG00000165995 En
ENSG00000166411 En
ENSG00000166579 En
ENSG00000166908 En
ENSG00000168032 En
ENSG00000168824 En
ENSG00000169933 En
ENSG00000171735 En
ENSG00000172020 En
ENSG00000172292 En
ENSG00000172348 En
ENSG00000174437 En
ENSG00000178974 En
ENSG00000182621 En
ENSG00000183036 En
ENSG00000183715 En
ENSG00000187730 En
ENSG00000188352 En
ENSG00000196876 En
ENSG00000197043 En
ENSG00000197217 En
ENSG00000197381 En
ENSG00000198626 En
ENSG00000198689 En
