Gene Id
ENSG00000000971 En
ENSG00000005471 En
ENSG00000010319 En
ENSG00000010379 En
ENSG00000011465 En
ENSG00000020181 En
ENSG00000027075 En
ENSG00000035403 En
ENSG00000054598 En
ENSG00000069122 En
ENSG00000072163 En
ENSG00000074181 En
ENSG00000077943 En
ENSG00000078596 En
ENSG00000082438 En
ENSG00000085276 En
ENSG00000085563 En
ENSG00000096696 En
ENSG00000099998 En
ENSG00000101000 En
ENSG00000101335 En
ENSG00000105699 En
ENSG00000105974 En
ENSG00000106809 En
ENSG00000106819 En
ENSG00000106823 En
ENSG00000106991 En
ENSG00000107562 En
ENSG00000107796 En
ENSG00000111341 En
ENSG00000112214 En
ENSG00000112936 En
ENSG00000115165 En
ENSG00000115414 En
ENSG00000118729 En
ENSG00000118777 En
ENSG00000120279 En
ENSG00000120708 En
ENSG00000121858 En
ENSG00000123243 En
ENSG00000124212 En
ENSG00000124491 En
ENSG00000126458 En
ENSG00000127329 En
ENSG00000127528 En
ENSG00000127920 En
ENSG00000128052 En
ENSG00000128284 En
ENSG00000128606 En
ENSG00000130176 En
ENSG00000131097 En
ENSG00000131471 En
ENSG00000131477 En
ENSG00000133392 En
ENSG00000135842 En
ENSG00000137273 En
ENSG00000137834 En
ENSG00000138061 En
ENSG00000138119 En
ENSG00000138821 En
ENSG00000140092 En
ENSG00000140682 En
ENSG00000144810 En
ENSG00000149591 En
ENSG00000150630 En
ENSG00000151617 En
ENSG00000151655 En
ENSG00000153071 En
ENSG00000153162 En
ENSG00000156265 En
ENSG00000157873 En
ENSG00000158270 En
ENSG00000162551 En
ENSG00000162692 En
ENSG00000162998 En
ENSG00000163017 En
ENSG00000163132 En
ENSG00000163359 En
ENSG00000163431 En
ENSG00000164035 En
ENSG00000164692 En
ENSG00000164707 En
ENSG00000164850 En
ENSG00000165949 En
ENSG00000166482 En
ENSG00000167244 En
ENSG00000168542 En
ENSG00000170955 En
ENSG00000172724 En
ENSG00000173269 En
ENSG00000173376 En
ENSG00000174059 En
ENSG00000175899 En
ENSG00000182492 En
ENSG00000182718 En
ENSG00000182871 En
ENSG00000183900 En
ENSG00000185339 En
ENSG00000185551 En
ENSG00000185585 En
ENSG00000196154 En
ENSG00000196924 En
ENSG00000197256 En
ENSG00000197321 En
ENSG00000198467 En
ENSG00000198523 En
ENSG00000203883 En
ENSG00000204291 En
ENSG00000205403 En
ENSG00000213145 En
ENSG00000213934 En
ENSG00000223609 En
ENSG00000244734 En
