Gene Id
ENSG00000002330 En
ENSG00000002822 En
ENSG00000003249 En
ENSG00000004059 En
ENSG00000004142 En
ENSG00000004838 En
ENSG00000005882 En
ENSG00000006015 En
ENSG00000006071 En
ENSG00000006116 En
ENSG00000006118 En
ENSG00000006210 En
ENSG00000006432 En
ENSG00000006712 En
ENSG00000006740 En
ENSG00000006744 En
ENSG00000007047 En
ENSG00000007171 En
ENSG00000007202 En
ENSG00000007237 En
ENSG00000007264 En
ENSG00000007402 En
ENSG00000007516 En
ENSG00000007520 En
ENSG00000007923 En
ENSG00000008056 En
ENSG00000008118 En
ENSG00000008256 En
ENSG00000008283 En
ENSG00000008300 En
ENSG00000008513 En
ENSG00000008710 En
ENSG00000008735 En
ENSG00000008838 En
ENSG00000008853 En
ENSG00000010295 En
ENSG00000010322 En
ENSG00000011083 En
ENSG00000011332 En
ENSG00000012061 En
ENSG00000012232 En
ENSG00000013016 En
ENSG00000014216 En
ENSG00000015676 En
ENSG00000020129 En
ENSG00000022840 En
ENSG00000025770 En
ENSG00000025800 En
ENSG00000027847 En
ENSG00000031823 En
ENSG00000032444 En
ENSG00000034053 En
ENSG00000034510 En
ENSG00000036448 En
ENSG00000036530 En
ENSG00000037042 En
ENSG00000038358 En
ENSG00000038382 En
ENSG00000038532 En
ENSG00000039523 En
ENSG00000039650 En
ENSG00000041515 En
ENSG00000043143 En
ENSG00000048540 En
ENSG00000048991 En
ENSG00000049759 En
ENSG00000052749 En
ENSG00000054356 En
ENSG00000055118 En
ENSG00000055163 En
ENSG00000056661 En
ENSG00000058404 En
ENSG00000059915 En
ENSG00000060709 En
ENSG00000061337 En
ENSG00000061938 En
ENSG00000062485 En
ENSG00000063176 En
ENSG00000063180 En
ENSG00000063660 En
ENSG00000063854 En
ENSG00000064419 En
ENSG00000064601 En
ENSG00000064607 En
ENSG00000065000 En
ENSG00000065057 En
ENSG00000065357 En
ENSG00000065491 En
ENSG00000065989 En
ENSG00000067191 En
ENSG00000067221 En
ENSG00000067225 En
ENSG00000067365 En
ENSG00000067445 En
ENSG00000067606 En
ENSG00000067836 En
ENSG00000067842 En
ENSG00000068120 En
ENSG00000068831 En
ENSG00000068971 En
ENSG00000069424 En
ENSG00000070182 En
ENSG00000070413 En
ENSG00000070444 En
ENSG00000070770 En
ENSG00000071655 En
ENSG00000072062 En
ENSG00000072110 En
ENSG00000072518 En
ENSG00000072832 En
ENSG00000073050 En
ENSG00000073536 En
ENSG00000073670 En
ENSG00000074054 En
ENSG00000074071 En
ENSG00000074317 En
ENSG00000074416 En
ENSG00000075240 En
ENSG00000075340 En
