Gene Id
ENSG00000000003 En
ENSG00000002586 En
ENSG00000002933 En
ENSG00000003989 En
ENSG00000004468 En
ENSG00000004799 En
ENSG00000007372 En
ENSG00000007384 En
ENSG00000009830 En
ENSG00000010810 En
ENSG00000011201 En
ENSG00000011304 En
ENSG00000011405 En
ENSG00000012660 En
ENSG00000016402 En
ENSG00000018408 En
ENSG00000018625 En
ENSG00000025423 En
ENSG00000026025 En
ENSG00000026103 En
ENSG00000030419 En
ENSG00000041982 En
ENSG00000042493 En
ENSG00000046653 En
ENSG00000046889 En
ENSG00000047634 En
ENSG00000047644 En
ENSG00000048828 En
ENSG00000049323 En
ENSG00000051620 En
ENSG00000053254 En
ENSG00000053371 En
ENSG00000055070 En
ENSG00000055208 En
ENSG00000056736 En
ENSG00000056972 En
ENSG00000058262 En
ENSG00000060749 En
ENSG00000062096 En
ENSG00000064490 En
ENSG00000064655 En
ENSG00000064692 En
ENSG00000064961 En
ENSG00000065135 En
ENSG00000065243 En
ENSG00000066027 En
ENSG00000067177 En
ENSG00000068078 En
ENSG00000068079 En
ENSG00000068697 En
ENSG00000068976 En
ENSG00000069431 En
ENSG00000069535 En
ENSG00000069702 En
ENSG00000070540 En
ENSG00000070756 En
ENSG00000070778 En
ENSG00000071127 En
ENSG00000071967 En
ENSG00000072121 En
ENSG00000072778 En
ENSG00000073712 En
ENSG00000073792 En
ENSG00000074410 En
ENSG00000074657 En
ENSG00000075142 En
ENSG00000075188 En
ENSG00000075234 En
ENSG00000076248 En
ENSG00000076555 En
ENSG00000076604 En
ENSG00000076685 En
ENSG00000076716 En
ENSG00000077585 En
ENSG00000077942 En
ENSG00000078114 En
ENSG00000078246 En
ENSG00000078295 En
ENSG00000078401 En
ENSG00000078549 En
ENSG00000079308 En
ENSG00000079337 En
ENSG00000079691 En
ENSG00000079739 En
ENSG00000079931 En
ENSG00000080493 En
ENSG00000081320 En
ENSG00000082781 En
ENSG00000083123 En
ENSG00000083857 En
ENSG00000084207 En
ENSG00000084754 En
ENSG00000085719 En
ENSG00000087077 En
ENSG00000087842 En
ENSG00000088280 En
ENSG00000088826 En
ENSG00000089006 En
ENSG00000089472 En
ENSG00000090061 En
ENSG00000091409 En
ENSG00000091490 En
ENSG00000091656 En
ENSG00000092036 En
ENSG00000092621 En
ENSG00000092820 En
ENSG00000092969 En
ENSG00000093010 En
ENSG00000093072 En
ENSG00000095637 En
ENSG00000096060 En
ENSG00000097033 En
ENSG00000099204 En
ENSG00000099250 En
ENSG00000100033 En
ENSG00000100100 En
ENSG00000100105 En
ENSG00000100234 En
ENSG00000100243 En
ENSG00000100300 En
ENSG00000100325 En
ENSG00000100330 En
ENSG00000100427 En
ENSG00000100439 En
ENSG00000100441 En
ENSG00000100644 En
ENSG00000100711 En
ENSG00000100852 En
ENSG00000100979 En
ENSG00000101004 En
ENSG00000101144 En
ENSG00000101367 En
ENSG00000101400 En
ENSG00000101439 En
ENSG00000101542 En
ENSG00000101605 En
ENSG00000101849 En
ENSG00000101850 En
ENSG00000101871 En
ENSG00000101888 En
ENSG00000101938 En
ENSG00000101955 En
ENSG00000102580 En
ENSG00000102935 En
ENSG00000103187 En
ENSG00000103260 En
ENSG00000103710 En
ENSG00000103740 En
ENSG00000103811 En
ENSG00000103852 En
ENSG00000103876 En
ENSG00000103966 En
ENSG00000104213 En
ENSG00000104313 En
ENSG00000104325 En
ENSG00000104447 En
ENSG00000104517 En
ENSG00000104812 En
ENSG00000104823 En
ENSG00000104870 En
ENSG00000105323 En
ENSG00000105483 En
ENSG00000105552 En
ENSG00000105607 En
ENSG00000105612 En
ENSG00000105852 En
ENSG00000105854 En
ENSG00000105855 En
ENSG00000105894 En
ENSG00000105939 En
ENSG00000106003 En
ENSG00000106025 En
ENSG00000106080 En
ENSG00000106211 En
ENSG00000106278 En
ENSG00000106538 En
ENSG00000106565 En
ENSG00000106571 En
ENSG00000106624 En
ENSG00000106689 En
ENSG00000106804 En
ENSG00000107104 En
ENSG00000107551 En
ENSG00000108375 En
ENSG00000108854 En
ENSG00000109062 En
ENSG00000109107 En
ENSG00000109472 En
ENSG00000109501 En
ENSG00000109771 En
ENSG00000109911 En
ENSG00000110090 En
ENSG00000110436 En
ENSG00000110651 En
ENSG00000111058 En
ENSG00000111077 En
ENSG00000111405 En
ENSG00000111666 En
ENSG00000111783 En
ENSG00000111817 En
ENSG00000111875 En
ENSG00000111879 En
ENSG00000111907 En
ENSG00000111961 En
ENSG00000112079 En
ENSG00000112312 En
ENSG00000112333 En
ENSG00000112715 En
ENSG00000112977 En
ENSG00000113296 En
ENSG00000113594 En
ENSG00000113645 En
ENSG00000113657 En
ENSG00000113658 En
ENSG00000113721 En
ENSG00000113732 En
ENSG00000113790 En
ENSG00000113916 En
ENSG00000114115 En
ENSG00000114166 En
ENSG00000114315 En
ENSG00000114646 En
ENSG00000114698 En
ENSG00000114738 En
ENSG00000114790 En
ENSG00000115084 En
ENSG00000115109 En
ENSG00000115159 En
ENSG00000115380 En
ENSG00000115461 En
ENSG00000115825 En
ENSG00000115866 En
ENSG00000115902 En
ENSG00000116016 En
ENSG00000116044 En
ENSG00000116132 En
ENSG00000116157 En
ENSG00000116478 En
ENSG00000116729 En
ENSG00000116747 En
ENSG00000116815 En
ENSG00000117151 En
ENSG00000117280 En
ENSG00000117289 En
ENSG00000117318 En
ENSG00000117362 En
ENSG00000117394 En
ENSG00000117519 En
ENSG00000117592 En
ENSG00000117614 En
ENSG00000117713 En
ENSG00000118418 En
ENSG00000119471 En
ENSG00000119688 En
ENSG00000119711 En
ENSG00000119729 En
ENSG00000119737 En
ENSG00000119900 En
ENSG00000119917 En
ENSG00000119938 En
ENSG00000120063 En
ENSG00000120733 En
ENSG00000120742 En
ENSG00000120885 En
ENSG00000120915 En
ENSG00000121310 En
ENSG00000121691 En
ENSG00000122729 En
ENSG00000122756 En
ENSG00000122863 En
ENSG00000122884 En
ENSG00000123080 En
ENSG00000123094 En
ENSG00000123096 En
ENSG00000123104 En
ENSG00000124067 En
ENSG00000124145 En
ENSG00000124181 En
ENSG00000124440 En
ENSG00000124479 En
ENSG00000124570 En
ENSG00000124615 En
ENSG00000124782 En
ENSG00000124942 En
ENSG00000125144 En
ENSG00000125398 En
ENSG00000125462 En
ENSG00000125520 En
ENSG00000125968 En
ENSG00000126016 En
ENSG00000127022 En
ENSG00000127472 En
ENSG00000127603 En
ENSG00000128050 En
ENSG00000128309 En
ENSG00000128311 En
ENSG00000128585 En
ENSG00000129116 En
ENSG00000129151 En
ENSG00000129219 En
ENSG00000129244 En
ENSG00000129270 En
ENSG00000129521 En
ENSG00000129566 En
ENSG00000129657 En
ENSG00000129675 En
ENSG00000130024 En
ENSG00000130055 En
ENSG00000130066 En
ENSG00000130203 En
ENSG00000130287 En
ENSG00000130303 En
ENSG00000130699 En
ENSG00000130876 En
ENSG00000130988 En
ENSG00000131095 En
ENSG00000131626 En
ENSG00000131730 En
ENSG00000131781 En
ENSG00000131873 En
ENSG00000131981 En
ENSG00000132164 En
ENSG00000132321 En
ENSG00000132329 En
ENSG00000132470 En
ENSG00000132541 En
ENSG00000132669 En
ENSG00000132692 En
ENSG00000132825 En
ENSG00000132840 En
ENSG00000132970 En
ENSG00000133048 En
ENSG00000133321 En
ENSG00000133639 En
ENSG00000133789 En
ENSG00000134138 En
ENSG00000134201 En
ENSG00000134215 En
ENSG00000134250 En
ENSG00000134324 En
ENSG00000134352 En
ENSG00000134376 En
ENSG00000134532 En
ENSG00000134548 En
ENSG00000134569 En
ENSG00000134716 En
ENSG00000134755 En
ENSG00000134769 En
ENSG00000134824 En
ENSG00000134873 En
ENSG00000135063 En
ENSG00000135069 En
ENSG00000135094 En
ENSG00000135272 En
ENSG00000135318 En
ENSG00000135365 En
ENSG00000135404 En
ENSG00000135424 En
ENSG00000135446 En
ENSG00000135744 En
ENSG00000135821 En
ENSG00000135838 En
ENSG00000135899 En
ENSG00000135912 En
ENSG00000135916 En
ENSG00000135919 En
ENSG00000135926 En
ENSG00000136044 En
ENSG00000136048 En
ENSG00000136147 En
ENSG00000136160 En
ENSG00000136205 En
ENSG00000136436 En
ENSG00000136869 En
ENSG00000137033 En
ENSG00000137070 En
ENSG00000137076 En
ENSG00000137145 En
ENSG00000137198 En
ENSG00000137285 En
ENSG00000137486 En
ENSG00000137509 En
ENSG00000137628 En
ENSG00000137693 En
ENSG00000137936 En
ENSG00000138029 En
ENSG00000138413 En
ENSG00000138448 En
ENSG00000138639 En
ENSG00000138646 En
ENSG00000138668 En
ENSG00000138685 En
ENSG00000138696 En
ENSG00000138756 En
ENSG00000138796 En
ENSG00000139155 En
ENSG00000139352 En
ENSG00000139508 En
ENSG00000139531 En
ENSG00000139644 En
ENSG00000139734 En
ENSG00000139946 En
ENSG00000140264 En
ENSG00000140299 En
ENSG00000140455 En
ENSG00000140497 En
ENSG00000140522 En
ENSG00000140948 En
ENSG00000141179 En
ENSG00000141232 En
ENSG00000141380 En
ENSG00000141401 En
ENSG00000141510 En
ENSG00000141639 En
ENSG00000141736 En
ENSG00000142227 En
ENSG00000142611 En
ENSG00000143171 En
ENSG00000143190 En
ENSG00000143337 En
ENSG00000143384 En
ENSG00000143401 En
ENSG00000143416 En
ENSG00000143514 En
ENSG00000143603 En
ENSG00000143622 En
ENSG00000143772 En
ENSG00000143797 En
ENSG00000143819 En
ENSG00000143919 En
ENSG00000143970 En
ENSG00000144028 En
ENSG00000144476 En
ENSG00000144579 En
ENSG00000144677 En
ENSG00000144749 En
ENSG00000144908 En
ENSG00000144909 En
ENSG00000145012 En
ENSG00000145246 En
ENSG00000145284 En
ENSG00000145390 En
ENSG00000145431 En
ENSG00000145555 En
ENSG00000146247 En
ENSG00000146278 En
ENSG00000146425 En
ENSG00000146535 En
ENSG00000146648 En
ENSG00000146966 En
ENSG00000147027 En
ENSG00000147065 En
ENSG00000147119 En
ENSG00000147255 En
ENSG00000147408 En
ENSG00000147421 En
ENSG00000147475 En
ENSG00000147509 En
ENSG00000147588 En
ENSG00000147862 En
ENSG00000147872 En
ENSG00000148053 En
ENSG00000148175 En
ENSG00000148400 En
ENSG00000148411 En
ENSG00000148450 En
