# MEAN_SAMPLE_SIZE = 10610
# TOTAL_GENES = 45128
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
yellow          779      0.057    0.00743     0.0282     0.021478
blue           1046    -0.0148   -0.00222     0.0245      0.72649
green           709     0.0125    0.00156     0.0289      0.33267
grey           4962    -0.0198    -0.0062      0.012      0.95057
tan             113      -0.15    -0.0075     0.0754      0.97683
brown           812     0.0298    0.00396     0.0279      0.14304
black           388     0.0155    0.00143     0.0399      0.34889
turquoise      1100     0.0189    0.00291     0.0229      0.20434
salmon          110     0.0392    0.00193     0.0781      0.30791
pink            243     0.0551    0.00403     0.0481      0.12585
magenta         164      0.066    0.00397     0.0547      0.11397
red             385   -0.00239   -0.00022     0.0392      0.52432
purple          159    -0.0418   -0.00248     0.0567      0.76956
greenyellow     131    0.00384   0.000206     0.0697      0.47807
