# MEAN_SAMPLE_SIZE = 7000
# TOTAL_GENES = 41504
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           666     0.0739    0.00929     0.0308    0.0082396
grey           4682    0.00292   0.000924     0.0128      0.40949
tan             106     -0.108   -0.00545     0.0804      0.91032
brown           780    -0.0284   -0.00386     0.0291      0.83605
black           380     0.0128    0.00122     0.0415      0.37905
turquoise      1033    0.00872    0.00136     0.0246      0.36142
blue            980     0.0159    0.00242     0.0258      0.26903
salmon          106     0.0408    0.00206     0.0808      0.30688
yellow          743   -0.00372  -0.000493     0.0295      0.55016
pink            237     0.0162    0.00122     0.0496      0.37192
magenta         151      0.095    0.00572     0.0591      0.05398
red             354    -0.0229   -0.00211     0.0421      0.70699
purple          148    -0.0175   -0.00105     0.0605      0.61401
greenyellow     125     0.0167   0.000913     0.0718      0.40821
