# MEAN_SAMPLE_SIZE = 63766
# TOTAL_GENES = 34844
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           664    0.00863    0.00118     0.0309      0.38994
grey           4568     0.0236    0.00797     0.0134     0.038588
tan             105     0.0888    0.00487     0.0808      0.13574
brown           772     0.0163    0.00241     0.0293      0.28848
black           377     0.0447    0.00462     0.0418      0.14252
turquoise       995    0.00771    0.00128     0.0266       0.3858
blue            938    -0.0495   -0.00802     0.0276      0.96387
salmon          105    0.00731     0.0004     0.0835      0.46513
yellow          730     0.0687    0.00984     0.0307     0.012676
pink            223     0.0883    0.00704     0.0559     0.057133
magenta         147    -0.0481   -0.00312     0.0622      0.78049
red             331     0.0275    0.00267     0.0446      0.26883
purple          138     -0.101   -0.00633     0.0714      0.92092
greenyellow     119     0.0677    0.00395     0.0752      0.18418
