# MEAN_SAMPLE_SIZE = 161460
# TOTAL_GENES = 41936
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           671    -0.0603   -0.00757     0.0304      0.97644
grey           4740     0.0111    0.00352     0.0125      0.18746
tan             110     0.0087   0.000445     0.0803      0.45687
brown           788     -0.023   -0.00312     0.0287      0.78836
black           382     0.0185    0.00176     0.0412      0.32645
turquoise      1062     0.0041   0.000644     0.0243      0.43291
blue           1001      0.012    0.00183     0.0254      0.31816
salmon          106     0.0571    0.00287     0.0782      0.23281
yellow          743     0.0097    0.00128     0.0292      0.36988
pink            238     0.0173     0.0013     0.0493      0.36297
magenta         155     0.0258    0.00157     0.0598      0.33312
red             369    -0.0334   -0.00312     0.0401       0.7975
purple          148    -0.0191   -0.00113     0.0619      0.62118
greenyellow     128   -0.00374  -0.000206     0.0733      0.52033
