# MEAN_SAMPLE_SIZE = 160000
# TOTAL_GENES = 43409
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           671     0.0087    0.00107      0.035      0.40194
grey           4755     0.0253     0.0079     0.0144     0.039039
tan             110     -0.118   -0.00593     0.0911      0.90217
brown           788     0.0524      0.007     0.0329     0.055337
black           382     0.0594    0.00554     0.0466      0.10118
turquoise      1064     0.0787     0.0122     0.0274    0.0020107
blue           1006    -0.0383   -0.00576     0.0291      0.90605
salmon          106      0.206     0.0102     0.0948     0.014863
yellow          746    -0.0443   -0.00576     0.0339      0.90451
pink            237      0.044    0.00324     0.0571      0.22056
magenta         155     0.0381    0.00227     0.0686      0.28963
red             372    -0.0296   -0.00273     0.0453      0.74365
purple          150     0.0132   0.000776      0.069      0.42405
greenyellow     128    -0.0716   -0.00388     0.0832      0.80546
