# MEAN_SAMPLE_SIZE = 23347
# TOTAL_GENES = 45158
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           673   0.000234   2.84e-05     0.0328      0.49715
grey           4771     0.0256    0.00786     0.0136     0.029834
tan             110   -0.00627  -0.000309     0.0856      0.52919
brown           789     0.0181    0.00238     0.0308      0.27795
black           382     0.0257    0.00236      0.044      0.27933
turquoise      1064     0.0332    0.00504     0.0258     0.099081
blue           1012     0.0771     0.0114     0.0282    0.0031184
salmon          106     0.0725    0.00351     0.0903      0.21107
yellow          748    0.00632   0.000806     0.0324       0.4228
pink            241     0.0753    0.00549     0.0529     0.077349
magenta         155     0.0151   0.000884     0.0628      0.40488
red             373     0.0773      0.007      0.044     0.039558
purple          150     0.0597    0.00344     0.0665      0.18458
greenyellow     129      0.293     0.0156     0.0795   0.00011701
