# MEAN_SAMPLE_SIZE = 18759
# TOTAL_GENES = 31844
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           663     0.0575     0.0082     0.0294     0.025143
grey           4563    -0.0195   -0.00685     0.0127      0.93736
tan             107       0.03    0.00173      0.078      0.35049
brown           774    -0.0203   -0.00312     0.0278      0.76718
black           376      0.021    0.00227     0.0385      0.29248
turquoise      1020     0.0137    0.00241     0.0257      0.29693
blue            949   -0.00588     -0.001     0.0262      0.58894
salmon          106     0.0857    0.00494     0.0786      0.13781
yellow          736     0.0432    0.00649      0.029     0.068288
pink            224     0.0114   0.000955     0.0511      0.41148
magenta         145    -0.0262   -0.00176     0.0617      0.66437
red             333    -0.0174   -0.00177     0.0427      0.65796
purple          142    0.00191   0.000127     0.0619      0.48769
greenyellow     120     0.0528    0.00324      0.077      0.24615
