# MEAN_SAMPLE_SIZE = 160000
# TOTAL_GENES = 41938
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
green           671     0.0678    0.00851      0.032      0.01701
grey           4740     -0.018    -0.0057     0.0132      0.91348
tan             110     0.0935    0.00478     0.0846       0.1344
brown           788     0.0139    0.00188     0.0302      0.32287
black           382    -0.0813   -0.00773     0.0433      0.96981
turquoise      1062     0.0456    0.00716     0.0255     0.037171
blue           1001    -0.0278   -0.00425     0.0268      0.85057
salmon          106      0.158    0.00793     0.0824     0.027656
yellow          743    -0.0271   -0.00357     0.0308      0.81042
pink            238     0.0578    0.00434     0.0518      0.13217
magenta         155      0.123    0.00743      0.063     0.025887
red             369    -0.0558   -0.00521     0.0422       0.9071
purple          148    -0.0783   -0.00464     0.0652      0.88534
greenyellow     128    -0.0927   -0.00511      0.077       0.8857
