# MEAN_SAMPLE_SIZE = 150064
# TOTAL_GENES = 44590
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
SET          NGENES       BETA   BETA_STD         SE            P
yellow          781    -0.0188   -0.00247     0.0341      0.70921
blue           1045     -0.098    -0.0148     0.0297      0.99952
green           711     0.0954     0.0119     0.0354    0.0035085
grey           4953     0.0145    0.00456     0.0145       0.1579
tan             113      0.044    0.00221     0.0914      0.31495
brown           811     0.0838     0.0112     0.0335    0.0062019
magenta         164      0.139    0.00841     0.0664     0.018204
black           388     0.0558    0.00518      0.049      0.12736
turquoise      1097       0.11     0.0171      0.028   3.9033e-05
salmon          110      0.312     0.0155     0.0957   0.00055935
pink            241   -0.00221  -0.000162     0.0582      0.51513
red             384    -0.0644   -0.00595     0.0474      0.91296
purple          161     -0.058   -0.00348     0.0704      0.79507
greenyellow     130    -0.0564   -0.00304      0.085      0.74632
