"","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","GWAS","TotalH2","TotalH2_sem","Module","FDR","p.symbol"
"2","cd_blueL2_0",0.0281137677973,0.0102907773585,0.0659162063661,0.366040490647,2.34462370328,0.783749972617824,-1.15933134717e-09,2.07868312534e-08,-0.0557723942163,"AAD.AlcGen.2011",0.051,0.0204,"blue",0.911203877394219,""
"4","cd_greenL2_0",0.0239559018513,0.0992827758498,0.0646066627788,4.1443973375,2.69689962748,0.171212561518236,2.46982630222e-08,2.07050398195e-08,1.19286237735,"AAD.AlcGen.2011",0.051,0.0204,"green",0.510070756189743,""
"5","cd_greenyellowL2_0",0.0061941100105,-0.0152003880798,0.0360411394769,-2.45400679904,5.8186146865,0.535139990273181,-3.05669828515e-08,4.71166680162e-08,-0.648750943954,"AAD.AlcGen.2011",0.051,0.0204,"greenyellow",0.818858859341241,""
"8","cd_purpleL2_0",0.00389194610466,-0.00728481198842,0.0281450796235,-1.87176589617,7.23162111361,0.689927167069676,-2.86888618731e-08,6.25445251679e-08,-0.458695014409,"AAD.AlcGen.2011",0.051,0.0204,"purple",0.911203877394219,""
"10","cd_salmonL2_0",0.0110967539894,0.0122677647045,0.0374272331117,1.10552732053,3.37280912485,0.974903722987151,-4.61262992037e-09,2.93042341872e-08,-0.157404895514,"AAD.AlcGen.2011",0.051,0.0204,"salmon",0.981967358713726,""
"11","cd_tanL2_0",0.0044684994663,0.0368911018289,0.0352741435435,8.25581430792,7.89395720185,0.326228411629204,6.68766805751e-08,6.36327273553e-08,1.05097932078,"AAD.AlcGen.2011",0.051,0.0204,"tan",0.675281022442701,""
"12","cd_turquoiseL2_0",0.0376566792619,0.133310245734,0.0989710902414,3.54014874246,2.62824795445,0.286955405946302,2.50953884121e-08,2.25677076971e-08,1.11200431824,"AAD.AlcGen.2011",0.051,0.0204,"turquoise",0.672698738529856,""
"13","cd_yellowL2_0",0.0356113237307,0.237546966819,0.105811068161,6.67054582455,2.97127590542,0.0122601159336658,4.72377035763e-08,2.10742197666e-08,2.24149240634,"AAD.AlcGen.2011",0.051,0.0204,"yellow",0.0987222095070524,""
"15","cd_blueL2_0",0.0281137677973,0.0026855079624,0.0195790404941,0.0955228762564,0.696421790036,0.190783609267854,-2.25451191902e-08,1.865035077e-08,-1.20883084014,"ASD.iPSYCH.2017",0.1056,0.0162,"blue",0.517864978204465,""
"17","cd_greenL2_0",0.0239559018513,0.036159720946,0.020600527414,1.50942849785,0.859935373832,0.549723430047267,1.08685317895e-08,2.18282340312e-08,0.497911639303,"ASD.iPSYCH.2017",0.1056,0.0162,"green",0.818858859341241,""
