"","Enrichment.Neuron.FDR","Enrichment.Astrocyte.FDR","Enrichment.Oligodendrocyte.FDR","Enrichment.Microglia.FDR","Enrichment.Endothelial.FDR"
"yellow",1,3.44938201975685e-229,1,0.939188034370988,0.548193367359211
"blue",1,1,1,0.0299374114468932,1
"green",1.420382476487e-26,1,1,1,1
"grey",0.437375922048639,1,1,0.00567464942950915,4.40539964434195e-08
"tan",1,1,1,0.715532915910062,4.9841462112771e-71
"brown",1,1,2.70077872034152e-120,1,1
"magenta",1,1,1,1,1
"black",1,1,1,1,1
"turquoise",3.84287576687223e-11,1,1,1,0.0213910653451086
"salmon",3.74506698787244e-44,1,1,1,1
"pink",1,1,1,1,0.488060549406947
"red",1,1,1,1,1
"purple",0.0299374114468932,1,1,1,1
"greenyellow",1,1,1,4.28429324871583e-136,1
