"","beta","SE","p","fdr"
"ENSG00000000003",-0.187267896422704,0.0968621210812227,0.0633628725123011,0.251829822720456
"ENSG00000000005",-0.017128329806669,0.0406897942652755,0.677005940303303,0.847296479835523
"ENSG00000000419",-0.214780311836198,0.0922658729839937,0.0273705893838641,0.164044872785086
"ENSG00000000457",-0.181456113186989,0.0700528406143743,0.0150538069310103,0.122936657042992
"ENSG00000000460",0.0717048077506381,0.0672656752700496,0.295532361092863,0.567639778359798
"ENSG00000000938",0.260704033296684,0.150597265207275,0.0944350106914269,0.310353700305638
"ENSG00000000971",-0.165984678095245,0.180855320864143,0.366574520113916,0.635039558076816
"ENSG00000001036",0.15424169553087,0.051985555505008,0.00609407609329999,0.0832307712779466
"ENSG00000001084",-0.235594197229274,0.0908177019754194,0.0149185546179079,0.122831795297539
"ENSG00000001167",-0.00603624799519849,0.0566873662496964,0.91595830803044,0.963686404358432
"ENSG00000001460",-0.0456495343284091,0.0491284103724201,0.360733491171684,0.630152864697736
"ENSG00000001461",0.202290035438934,0.0864427707839614,0.0266306555179474,0.161770672789516
"ENSG00000001497",0.191931941115861,0.0766505896227115,0.0183819201900117,0.135477495370564
"ENSG00000001561",-0.226569416579687,0.125576144306785,0.0819621473141918,0.288588318090422
"ENSG00000001617",0.0793814521473267,0.081452227674042,0.338115291971288,0.60710014362548
"ENSG00000001626",0.0188785714171804,0.0426634584249559,0.661527078370837,0.838598505817694
"ENSG00000001630",-0.621511619281675,0.142898995875844,0.000163680005493514,0.0181856670103569
"ENSG00000001631",-0.206760888766431,0.0990172159925536,0.0460015828342127,0.213023908085764
"ENSG00000002016",0.0354339940270456,0.0414464284149722,0.399843613019321,0.663850056872984
"ENSG00000002079",0.0477529940498568,0.0416919242898444,0.261748600493662,0.531753122286494
"ENSG00000002330",0.267735341169703,0.14636145420446,0.0780273517208527,0.281592272500041
"ENSG00000002549",-0.134259723864291,0.10422641910798,0.208236152858395,0.473517760199182
"ENSG00000002586",0.319663706059362,0.159475246899137,0.0547771418876733,0.232657697294191
"ENSG00000002587",0.093851481348091,0.080217155850353,0.25187661225221,0.5215153334285
"ENSG00000002726",-0.0158152483382965,0.0557411518290677,0.77870736469594,0.900997466852824
"ENSG00000002745",-0.0682220732623366,0.0627657193708206,0.286335518959632,0.558471128482577
"ENSG00000002746",-0.115742254688401,0.0574170570313965,0.0535066724102105,0.230741187393778
"ENSG00000002822",0.263553506315966,0.117310098582485,0.0327329474013123,0.17949728185998
"ENSG00000002834",-0.101250899558188,0.111084314936739,0.369824562519399,0.637785921904817
"ENSG00000002919",0.15496199496749,0.0665342487005308,0.0272968112925889,0.163893554943701
"ENSG00000002933",0.0861001702705663,0.0881155020517668,0.336872826070332,0.606052653944497
"ENSG00000003056",0.11138060429981,0.0993428951201325,0.271738048002587,0.543565730455103
"ENSG00000003096",-0.0626246583402542,0.0711159597790338,0.386031070551443,0.652260040902714
"ENSG00000003137",0.145229310689136,0.0997180981897738,0.156405473075013,0.405869269427483
"ENSG00000003147",0.112097656557778,0.165855609687181,0.504664562837561,0.742099138063021
"ENSG00000003249",-0.0990989391499873,0.133641962454263,0.464549384323615,0.714438829771685
"ENSG00000003393",0.0139161252067024,0.0935470952421903,0.882808748942123,0.94872222367915
"ENSG00000003400",0.0939299366714161,0.0475837656938001,0.0583229218461752,0.241429516830078
"ENSG00000003402",-0.0136947276560645,0.101320631059053,0.893450554649795,0.954213437223546
"ENSG00000003436",-0.0372966107901732,0.120645446220347,0.75950201660382,0.891589323839267
"ENSG00000003509",-0.0979881709602604,0.0774031056886444,0.215964432353393,0.482112281627963
"ENSG00000003756",0.193449917133322,0.0851929627536832,0.0310508483912731,0.175077620426917
"ENSG00000003987",-0.142861854794739,0.0937593709140075,0.138797746732355,0.381333423607773
"ENSG00000003989",-0.163514361924774,0.231652128169528,0.486106057008608,0.730095484473692
"ENSG00000004059",0.286319988918722,0.11669397977115,0.0206269873329141,0.1435311506063
"ENSG00000004139",0.0929336325012936,0.0641003097413625,0.15821956766551,0.408118993729006
"ENSG00000004142",-0.0689141550199727,0.0766167720690414,0.376075466488761,0.644017643406809
"ENSG00000004399",0.0236564334359081,0.0687052550293207,0.733180051241449,0.87676572977304
"ENSG00000004455",-0.12276072536826,0.0834852536981936,0.152589544704454,0.401005848564932
"ENSG00000004468",-0.115878873450351,0.0571574206201684,0.0522402075791773,0.228104975471619
"ENSG00000004478",0.0470904736317533,0.0941577669326606,0.620896476598559,0.816233971258895
"ENSG00000004487",0.190746255683992,0.0780462298342213,0.0210813799480779,0.144851374095931
"ENSG00000004534",0.093473086290056,0.0782104788235635,0.242054253853335,0.510913788907772
"ENSG00000004660",0.275749047773646,0.0930166959930738,0.0061317127766691,0.0834371032519069
"ENSG00000004700",-0.156657999047459,0.0799013362428844,0.0599379458527368,0.24415785422432
"ENSG00000004766",-0.120455486682598,0.103005817198764,0.252099532701815,0.521841071299132
"ENSG00000004776",0.23854919141786,0.145001206285283,0.111119975626777,0.339408519368057
"ENSG00000004777",0.0580439450745565,0.104204725037188,0.581940481294041,0.792553287253915
"ENSG00000004779",-0.266223800413231,0.129499379112078,0.0492341877076407,0.220482242049876
"ENSG00000004799",0.2555769479182,0.26930816050255,0.350733724656031,0.619970892974438
"ENSG00000004809",0.0310044863661685,0.0430182815364564,0.477051479646257,0.723291548118141
"ENSG00000004838",0.0362610438150223,0.0342814089166911,0.299211631211317,0.571204040549517
"ENSG00000004846",-0.0262384740747116,0.0389698341414131,0.506275009159102,0.743141179708201
"ENSG00000004848",0.0425992019538926,0.0712762099739375,0.5548677570548,0.773725205545723
"ENSG00000004864",-0.333739000782644,0.175269748736207,0.0672138937470296,0.259028777827392
"ENSG00000004866",-0.14299573628129,0.0676934482173168,0.043700644470754,0.207139675963805
"ENSG00000004897",-0.0147379578889723,0.0559344534813216,0.794105258226566,0.909015708997142
"ENSG00000004939",0.0648006108784561,0.0557394335020257,0.254820044713494,0.524385407860095
"ENSG00000004948",0.0422033272357193,0.0371141360365275,0.265125016311516,0.535674030501746
"ENSG00000004961",-0.0369138305670904,0.0963471957472986,0.704514287610503,0.861676354299141
"ENSG00000004975",0.176897770784637,0.087050608213159,0.0517256557948209,0.227018723566406
"ENSG00000005001",0.0218555266182656,0.0424718844058649,0.610879152155986,0.810446299681383
"ENSG00000005007",0.436671556194927,0.111484508620275,0.000524882742311431,0.0278222580991395
"ENSG00000005020",0.04060857652365,0.0973855763961655,0.679867234631285,0.848964867701139
