"","beta","SE","p","fdr","symbol"
"ENSG00000000003",0.117072682670058,0.0817363293559635,0.157815475835741,0.340576149001744,"TSPAN6"
"ENSG00000000005",0.0820845585305674,0.0584911184286041,0.166231535312871,0.351904592416651,"TNMD"
"ENSG00000000419",0.00461173617500792,0.0456199768390749,0.919853212101657,0.95989670936241,"DPM1"
"ENSG00000000457",-0.0300650799558655,0.0715772572949326,0.676125239896516,0.813522093241537,"SCYL3"
"ENSG00000000460",-0.102754590103121,0.0604707263499715,0.0950276742609848,0.247938776744879,"C1orf112"
"ENSG00000000938",0.31857973573246,0.06976428283132,2.91071621927354e-05,0.0017202860714071,"FGR"
"ENSG00000000971",0.377859564578759,0.095702223071418,0.000229580808537937,0.0056979703125167,"CFH"
"ENSG00000001036",-0.0655153952627625,0.0776783685084801,0.402714935287055,0.602731509694332,"FUCA2"
"ENSG00000001084",-0.0181537715672234,0.0451674867733511,0.689328407633247,0.82338083243946,"GCLC"
"ENSG00000001167",0.0292608919780988,0.0448951383236033,0.517319988238057,0.69912076579825,"NFYA"
"ENSG00000001460",-0.0672742934499233,0.0359385616813259,0.0666369383129095,0.198841773147612,"STPG1"
"ENSG00000001461",-0.0272863547632586,0.0424716252920178,0.523292463068382,0.703485394520866,"NIPAL3"
"ENSG00000001497",-0.125267154320993,0.0363096420723575,0.00109552255397588,0.0149475092482611,"LAS1L"
"ENSG00000001561",-0.131690576101465,0.0938549112890061,0.166302307240948,0.351962324846067,"ENPP4"
"ENSG00000001617",0.11122971510917,0.0842363207430383,0.192254784353363,0.384747331239936,"SEMA3F"
"ENSG00000001626",-0.0972742523167397,0.0356073090286994,0.00849179167452579,0.0535693910237093,"CFTR"
"ENSG00000001630",-0.00450346667633392,0.0547792424768621,0.934782752814192,0.967858116708635,"CYP51A1"
"ENSG00000002016",-0.0322012422824968,0.0424130836156303,0.451017195269853,0.644337757339545,"RAD52"
"ENSG00000002079",0.109569844639547,0.0726076497033547,0.137110778889165,0.311575147308591,"MYH16"
"ENSG00000002330",-0.142598400205651,0.0557277387361282,0.0133379823044426,0.0718732033468165,"BAD"
"ENSG00000002549",0.107641909565973,0.0591219765454113,0.0741991202721466,0.211836782318531,"LAP3"
"ENSG00000002586",0.363226955569692,0.117257767736786,0.00309265571344848,0.0281311718690407,"CD99"
"ENSG00000002587",0.0971378494182386,0.0747082337178234,0.199044649364286,0.39313322543792,"HS3ST1"
"ENSG00000002726",-0.065314457025122,0.041076302300234,0.117655755058545,0.283705958259859,"AOC1"
