"","beta","SE","p","fdr","symbol"
"ENSG00000000003",0.150195422243703,0.0340178205236414,2.24844129502992e-05,0.00635125546181679,"TSPAN6"
"ENSG00000000005",0.0642841813682277,0.0248784905865256,0.0109878239775795,0.117013271910155,"TNMD"
"ENSG00000000419",-0.0481699098232768,0.0452980623807338,0.289772439789076,0.579638520696197,"DPM1"
"ENSG00000000457",0.0157784548743947,0.0211813661718798,0.457800272613772,0.720972824698956,"SCYL3"
"ENSG00000000460",0.0197846495967771,0.0317582885689827,0.534502511140363,0.773366740879835,"C1orf112"
"ENSG00000000938",0.0303426282126481,0.0320254077121881,0.345343302480199,0.630303712915357,"FGR"
"ENSG00000000971",-0.0409006620546573,0.0670609914174275,0.543099156771736,0.777201197645832,"CFH"
"ENSG00000001084",0.00650812362939114,0.040387513067179,0.8722571482106,0.945789212528319,"GCLC"
"ENSG00000001167",0.0899430647376248,0.0246531466050923,0.00039432338022464,0.0206852688439875,"NFYA"
"ENSG00000001461",-0.0482285789337081,0.0382388229720447,0.209707859500858,0.493645590261486,"NIPAL3"
"ENSG00000001497",0.0130694383048486,0.0189456299944919,0.491649774811093,0.744761895688684,"LAS1L"
"ENSG00000001561",0.0344184026416918,0.0410000845718384,0.402902316284726,0.680760294200205,"ENPP4"
"ENSG00000001617",0.0261197531218954,0.0185020283996343,0.160662833826089,0.437967509261959,"SEMA3F"
"ENSG00000001626",-0.00565403614290956,0.0282580799369061,0.841758021385731,0.93149590916063,"CFTR"
"ENSG00000001630",-0.0356987822685087,0.0520558172019034,0.494197684630929,0.746612486468048,"CYP51A1"
"ENSG00000002016",0.0621958494884467,0.0312604909478537,0.0489479070485249,0.238540717076986,"RAD52"
"ENSG00000002330",-0.076128402004739,0.0180384061631021,4.81551787792226e-05,0.00793854075260567,"BAD"
"ENSG00000002549",0.00564072588954821,0.031238038266745,0.857013024656401,0.937815436760884,"LAP3"
"ENSG00000002586",0.124903033139999,0.0439015845740346,0.00523634902757121,0.0790907302199265,"CD99"
"ENSG00000002587",-0.0720544365574225,0.0263535927960219,0.007218451747425,0.0942662791488623,"HS3ST1"
"ENSG00000002726",0.0064397496764774,0.020516526285768,0.754165564437526,0.890536539235919,"AOC1"
"ENSG00000002745",0.0765158431046737,0.0232951906798404,0.00134455927158295,0.0392933265415243,"WNT16"
"ENSG00000002746",-0.0621670278945336,0.0288153583321531,0.032999642801892,0.197933904015224,"HECW1"
"ENSG00000002822",0.0274440410545093,0.0245911149296039,0.266683419887776,0.556840748359622,"MAD1L1"
"ENSG00000002834",-0.0218696831658441,0.0192603927799906,0.258477650299383,0.547627741011394,"LASP1"
"ENSG00000002919",-0.0154578888535767,0.0199270872852275,0.439464814060048,0.706384627118073,"SNX11"
"ENSG00000002933",0.0320131066962433,0.0507688148214569,0.529543437110945,0.769724991362393,"TMEM176A"
"ENSG00000003056",-0.0270966525692737,0.0258924576297164,0.2974656944357,0.588184842215934,"M6PR"
