"","beta","SE","p","fdr"
"ENSG00000000003",-0.387768137597174,0.0533208558033735,3.5237334934798e-12,2.66222754811573e-11
"ENSG00000000005",-0.402829431763725,0.0351131292387841,3.02942565252966e-25,2.27626970353731e-23
"ENSG00000000419",0.0187072253218921,0.0332291937501119,0.573900401094901,0.678794891574724
"ENSG00000000457",-0.107103871597399,0.0289902995413844,0.000264784843352453,0.000749706674108917
"ENSG00000000460",-0.0239962001078843,0.0301415293726122,0.426635766129802,0.541139613142723
"ENSG00000000938",0.978007958223228,0.0717437090287756,7.96692710367776e-33,7.49855565237208e-30
"ENSG00000000971",0.316946001935465,0.073229948424153,2.09340601938263e-05,6.9109063770758e-05
"ENSG00000001036",0.0407863852701945,0.0262743000423465,0.121708788093652,0.195571772619173
"ENSG00000001084",-0.0838441551456117,0.0323133691200489,0.00996366930753756,0.021372232005121
"ENSG00000001167",0.0101569502096424,0.021493930815717,0.636901289251218,0.732272105518102
"ENSG00000001460",-0.00348665913575054,0.0216369091257316,0.872095741566741,0.913363873876312
"ENSG00000001461",-0.158619211275217,0.0321381909025583,1.37184880677896e-06,5.25890079563305e-06
"ENSG00000001497",-0.0315670574192398,0.0216320503410972,0.145607053926811,0.227414056364468
"ENSG00000001561",0.109972072903158,0.026705196984022,5.02986625297926e-05,0.000157584264544548
"ENSG00000001617",0.0764345314846293,0.0204182643330491,0.0002201352620469,0.000630271996667421
"ENSG00000001626",-0.490363001443365,0.056684889722664,4.0096690600928e-16,5.23393516800288e-15
"ENSG00000001631",-0.0563951782338662,0.0247585039767072,0.0234889684067047,0.0462257314864203
"ENSG00000002016",-0.0922009808340543,0.0177723402066243,4.07863271047634e-07,1.66740488648126e-06
"ENSG00000002330",-0.212305534889389,0.0261840976183918,1.6001560495637e-14,1.63424275467434e-13
"ENSG00000002549",0.380632028216561,0.0545047447352758,2.08254502056791e-11,1.42690239857533e-10
"ENSG00000002586",-0.116914446759328,0.0274048692829756,2.72006217061139e-05,8.82810740418211e-05
"ENSG00000002587",0.224914757381279,0.0345196848044964,3.33739406139369e-10,1.96842407651396e-09
"ENSG00000002726",-0.293020202417341,0.0484754288926515,4.74738933483336e-09,2.43888432849253e-08
"ENSG00000002745",-0.0807878574804664,0.0175612647798303,6.38875071205273e-06,2.25389680378061e-05
"ENSG00000002746",-0.0196713290827241,0.0170007618667387,0.248220224843729,0.353126929163749
"ENSG00000002822",0.113433585618575,0.0226233391286448,9.45497472073784e-07,3.707154416377e-06
"ENSG00000002834",-0.0909693629135717,0.0275213936643361,0.00107155449988644,0.0027568132817536
"ENSG00000002919",0.0105452535102735,0.0188441731777781,0.576196117074142,0.68058884819266
"ENSG00000002933",-0.126846149232995,0.0348477831471823,0.000324425329624727,0.000906232141468133
"ENSG00000003056",0.135065392663912,0.0343315351648731,0.000105276106430258,0.000315669451926947
"ENSG00000003096",-0.0777643955728892,0.0289600007773038,0.0076787940234132,0.0169092320552516
"ENSG00000003137",-0.0497612376501951,0.0442294669684992,0.261519517818732,0.367962809827014
"ENSG00000003147",-0.119846080993195,0.0416002721618243,0.00427099303706902,0.00987435920903752
"ENSG00000003249",0.248766141753462,0.0496713214392104,9.71845495674442e-07,3.80129330689983e-06
"ENSG00000003393",0.178870399663781,0.0237574605626225,6.99107749399632e-13,5.79339382878296e-12
"ENSG00000003400",0.165370541257856,0.0372059534004531,1.26780453768762e-05,4.29640866921884e-05
"ENSG00000003402",0.176907194006926,0.032070840154604,7.86318939872839e-08,3.50579446565594e-07
"ENSG00000003436",0.576337639553839,0.0506880942025379,6.75573628575824e-25,4.70213724658454e-23
"ENSG00000003509",0.00588712420886058,0.0203190530112971,0.772233274765547,0.840424029493201
"ENSG00000003756",0.0119196997197091,0.0314281555578682,0.704775157908028,0.788556225293703
"ENSG00000003987",-0.0371108051965663,0.0152558012001717,0.0156163996727156,0.0321404160832285
"ENSG00000003989",0.17887745443708,0.030170761554564,8.92704262043653e-09,4.44314787590499e-08
"ENSG00000004059",-0.14284486396212,0.0255700779790816,5.47376421240084e-08,2.49203985260601e-07
"ENSG00000004139",-0.0847385041877211,0.021816958301907,0.000128140949947992,0.000379646223976132
"ENSG00000004142",-0.121195675877157,0.0243988441896085,1.18078499353933e-06,4.56167164386774e-06
"ENSG00000004399",0.038102966752006,0.0164800028651197,0.0214966827434672,0.0427234027007584
"ENSG00000004455",-0.192264928490938,0.0279924902147532,4.16869640051934e-11,2.75902286197214e-10
"ENSG00000004468",0.816838266004277,0.075812039989896,6.91685774287551e-23,3.04426608290469e-21
"ENSG00000004478",-0.223792309935485,0.0330637164590124,7.57042960876203e-11,4.84892523973823e-10
"ENSG00000004487",-0.0140934369000608,0.022765862349023,0.536378321124226,0.645060761039982
"ENSG00000004534",0.0736527801595919,0.03894482649089,0.0596249583290919,0.105446314260201
"ENSG00000004660",0.0570559340556668,0.0144683549604088,0.000101461229183512,0.000304895170809736
"ENSG00000004700",0.185584308760267,0.0303001154446613,3.05151378686358e-09,1.6035915677485e-08
"ENSG00000004766",-0.0902994130910093,0.0281559917801441,0.00149571344242178,0.0037456719634265
"ENSG00000004776",-0.00680998269387139,0.0242965798001786,0.779464589366557,0.8460798331801
"ENSG00000004777",-0.127535310836405,0.0462175980503521,0.00617019914762873,0.0138446262681361
"ENSG00000004779",-0.164968757258668,0.0364510222262888,8.8933628493283e-06,3.08097651752301e-05
"ENSG00000004799",-0.509295565423953,0.0629614049778777,1.81820703126459e-14,1.83908350339959e-13
