"","beta","SE","p","fdr","symbol"
"ENSG00000000003",-0.00418065284273646,0.0377068470948569,0.911909048168813,0.973652985500662,"TSPAN6"
"ENSG00000000005",0.0362794842277661,0.0270058004234966,0.181765989792457,0.493544422776126,"TNMD"
"ENSG00000000419",0.0066395818298409,0.0230559241242871,0.773878035313669,0.914961985182376,"DPM1"
"ENSG00000000457",-0.0337216756385419,0.0235157567442304,0.154261468311089,0.459043567087026,"SCYL3"
"ENSG00000000460",-0.0222966566905952,0.0237866848061649,0.350521577193571,0.657267593737543,"C1orf112"
"ENSG00000000938",-0.00371212709811177,0.0347809015574382,0.915188423313062,0.97462072073471,"FGR"
"ENSG00000000971",-0.11671256017054,0.0506448878191695,0.0229721211600425,0.196108549608607,"CFH"
"ENSG00000001036",0.0217955634830185,0.0233026201505934,0.351563001956096,0.658623620763413,"FUCA2"
"ENSG00000001084",-0.0468475631503716,0.0310684622662179,0.134303548438638,0.430738965308659,"GCLC"
"ENSG00000001167",0.0351563647302533,0.0289162162622211,0.226529196417649,0.543007340236243,"NFYA"
"ENSG00000001460",0.0539141600195895,0.0261749320461406,0.0416588281137251,0.255747620121402,"STPG1"
"ENSG00000001461",0.0158110514391421,0.020418486305262,0.44029937367932,0.728716534883091,"NIPAL3"
"ENSG00000001497",-0.0199222609686799,0.0186218414428254,0.286915542962194,0.599937258110731,"LAS1L"
"ENSG00000001561",0.000766144313138011,0.0330591182425868,0.981550516973861,0.99443498906173,"ENPP4"
"ENSG00000001617",0.0124689249256821,0.0164046631475553,0.448746339662786,0.734932627834172,"SEMA3F"
"ENSG00000001626",-0.0260741408273848,0.027946999341285,0.35276544761897,0.659850859414005,"CFTR"
"ENSG00000001629",0.0138172088390012,0.0210784616241343,0.513435374766187,0.77617252130289,"ANKIB1"
"ENSG00000001630",0.0334729783678607,0.0340664588933951,0.327859745107367,0.638221595580441,"CYP51A1"
"ENSG00000002016",0.0648295342262431,0.0443715061118232,0.146701818370736,0.447740112333982,"RAD52"
"ENSG00000002079",0.0378612046148899,0.0199109366632242,0.0597134833560317,0.302094119152863,"MYH16"
"ENSG00000002330",-0.0913413115247391,0.0244647462705661,0.000294096461153252,0.036401002774179,"BAD"
"ENSG00000002549",-0.0386326447686701,0.029696939011064,0.195872110675071,0.509937838479138,"LAP3"
"ENSG00000002586",-0.0189840390923121,0.0489648340996261,0.698942927917955,0.881435198684541,"CD99"
"ENSG00000002587",-0.0921396118288309,0.03924462401584,0.0205771250451445,0.187687374651227,"HS3ST1"
"ENSG00000002726",0.0210151425183613,0.0189175177666303,0.268916167378072,0.583503186440964,"AOC1"
"ENSG00000002745",0.0117072319221557,0.0258706132895539,0.65173230432234,0.855136311572114,"WNT16"
"ENSG00000002746",-0.0254804597815027,0.0314368100273105,0.419295720843472,0.712928829410096,"HECW1"
"ENSG00000002822",-0.0709601173686055,0.0323674131463689,0.030352265238642,0.22063199167684,"MAD1L1"
"ENSG00000002834",-0.0430707174370173,0.0167351815980906,0.0113226825444022,0.145761878023169,"LASP1"
"ENSG00000002919",0.00896029726359894,0.0161673682865699,0.580494406606676,0.817696530587705,"SNX11"
