"","beta","SE","p","fdr","symbol"
"ENSG00000000003",0.102144099098899,0.0285755364565767,0.000434017322317911,0.00624984944137791,"TSPAN6"
"ENSG00000000005",0.0379612341346923,0.0173804142227996,0.0300438068360845,0.121098683826016,"TNMD"
"ENSG00000000419",-0.0129535072456342,0.0251459951624618,0.606994952619869,0.783106157839968,"DPM1"
"ENSG00000000457",-0.0113421901472711,0.0190895513833172,0.553037649495988,0.745036317193553,"SCYL3"
"ENSG00000000460",-0.00644035769006772,0.0206806075455143,0.755785832191017,0.87580195635932,"C1orf112"
"ENSG00000000938",0.0386304536490564,0.0221269198302019,0.0822775021481721,0.234074106731671,"FGR"
"ENSG00000000971",0.0153705678877948,0.0524900031169755,0.769938325775652,0.883517070645448,"CFH"
"ENSG00000001084",0.0388132077164289,0.0298575968214497,0.195025098928018,0.405474426005571,"GCLC"
"ENSG00000001167",0.0401125646659577,0.0185567552578465,0.031762889784669,0.125551109828707,"NFYA"
"ENSG00000001461",-0.020317413724841,0.0274018386959235,0.459230264337672,0.670612231970523,"NIPAL3"
"ENSG00000001497",0.0240854923360489,0.0149266804204078,0.108097609792213,0.278775676731938,"LAS1L"
"ENSG00000001561",0.0344081709357959,0.0314569252887558,0.275269979919016,0.499918379720941,"ENPP4"
"ENSG00000001617",0.0215993688759472,0.0155313247057673,0.165768493878715,0.367629713132088,"SEMA3F"
"ENSG00000001626",-0.0402069965896646,0.0200786994513693,0.0465021956662844,0.162770828471245,"CFTR"
"ENSG00000001630",-0.0457894823786942,0.0376502305322993,0.225262158170572,0.442731893943706,"CYP51A1"
"ENSG00000002016",-0.000624173316590616,0.0226936973053349,0.978083295179917,0.987887240395141,"RAD52"
"ENSG00000002330",-0.0814402006657508,0.0161421651023538,9.69178633513304e-07,8.3409820679652e-05,"BAD"
"ENSG00000002549",0.0491104358844689,0.0304225603356579,0.107947781370054,0.278649586315446,"LAP3"
"ENSG00000002586",0.196313314876989,0.0378510129998708,4.97662683632631e-07,5.50272738759509e-05,"CD99"
"ENSG00000002587",-0.112538307903597,0.0218903291294996,6.17609610560087e-07,6.42729194720682e-05,"HS3ST1"
"ENSG00000002726",0.0155403941261438,0.0140007289179052,0.268263324358503,0.492246704527442,"AOC1"
"ENSG00000002745",0.0418947091542636,0.0158908311776019,0.0089958386099332,0.0530497454025775,"WNT16"
"ENSG00000002746",-0.00952340900005896,0.022253021961587,0.669112444973832,0.823664543061988,"HECW1"
"ENSG00000002822",-0.0513224926816299,0.0198154685005122,0.0102593552971965,0.0581471488137916,"MAD1L1"
"ENSG00000002834",-0.000854788264604362,0.0142194112895214,0.952121059604149,0.976081993298307,"LASP1"
"ENSG00000002919",0.00474394818147763,0.0127613887041349,0.710454258176893,0.847535452582858,"SNX11"
"ENSG00000002933",0.167313876771855,0.0348086367672587,2.89649510124073e-06,0.000173285967795967,"TMEM176A"
"ENSG00000003056",-0.0352982472361123,0.0175014228715531,0.0449633978672276,0.159047906080476,"M6PR"
"ENSG00000003137",-0.158608538838346,0.0323289542206721,1.84391070739258e-06,0.000131994163007802,"CYP26B1"
"ENSG00000003147",-0.0691755114561869,0.0201601994486222,0.000721463541636354,0.00896580781112787,"ICA1"
"ENSG00000003249",-0.0492054321514753,0.0211285799255886,0.020803936172955,0.0946147431384045,"DBNDD1"
"ENSG00000003400",-0.0136086515357546,0.0225794531943261,0.547348970652029,0.741069269301771,"CASP10"
"ENSG00000003402",0.0789822461617026,0.0260755139840317,0.00275706892374125,0.0233144571011437,"CFLAR"
"ENSG00000003436",0.00558378165312643,0.020479784126802,0.785387593128873,0.893537272100535,"TFPI"
"ENSG00000003509",-0.0365180940879862,0.0195107807586477,0.0626205302831627,0.197981273175054,"NDUFAF7"
"ENSG00000003756",0.00756765591043249,0.016959826383915,0.655898331573465,0.816346224945305,"RBM5"
"ENSG00000003987",-0.0501192744976239,0.0231540915202965,0.0315305452308438,0.12475216362261,"MTMR7"
"ENSG00000003989",0.221260767740937,0.0426068091145847,4.82228273980002e-07,5.42757153023411e-05,"SLC7A2"
"ENSG00000004059",-0.0792303007788254,0.0153304335877524,5.42946508915759e-07,5.84682570992414e-05,"ARF5"
"ENSG00000004139",-0.0121306916035222,0.0160235989645142,0.44985554973762,0.662455819170866,"SARM1"
"ENSG00000004142",-0.0430651564493767,0.0133036896828056,0.00140043529008469,0.0143093982115584,"POLDIP2"
"ENSG00000004399",-0.00303908784331029,0.017276868043373,0.860535681730089,0.930812637133848,"PLXND1"
"ENSG00000004455",0.0550573058195453,0.0257655980698685,0.0337502038250095,0.130981674763058,"AK2"
"ENSG00000004468",0.110369981407372,0.0292183313077423,0.000205610842736812,0.00371178524264239,"CD38"
"ENSG00000004478",-0.00708618233613713,0.0211072789934621,0.737410807840565,0.864556263250266,"FKBP4"
"ENSG00000004487",-0.0055352992266721,0.0127298628902308,0.664127590776931,0.820717292502413,"KDM1A"
"ENSG00000004534",-0.0296769957990844,0.0182402456039548,0.105214151436115,0.273676129255377,"RBM6"
"ENSG00000004700",-0.015745087767836,0.0241320054914276,0.514810134172675,0.714852569993578,"RECQL"
"ENSG00000004766",-0.0223594433625889,0.0213679253876941,0.296561387787311,0.524284971642834,"CCDC132"
"ENSG00000004776",0.0248023617941845,0.0263419209183855,0.347487254187517,0.574843996240744,"HSPB6"
"ENSG00000004777",-0.0127373382364675,0.016786455533999,0.448819025697215,0.66192387927049,"ARHGAP33"
"ENSG00000004779",-0.0734990489930054,0.020911080693837,0.000537438915676721,0.007265986388363,"NDUFAB1"
"ENSG00000004799",0.401311962123872,0.0747237001276081,2.04729598198808e-07,2.9711166584016e-05,"PDK4"
"ENSG00000004838",-0.0316214960692275,0.0144826659013048,0.0300986554276871,0.121098683826016,"ZMYND10"
"ENSG00000004864",-0.00730314601144278,0.0419790456614951,0.862053307845863,0.931477895852296,"SLC25A13"
"ENSG00000004866",0.0345017018193223,0.0199678613988305,0.0854624124886281,0.23987126700638,"ST7"
"ENSG00000004897",0.00626406455184002,0.0206527445292798,0.761954069354221,0.879780006468851,"CDC27"
"ENSG00000004939",0.0298377490131891,0.018033916461174,0.0994916161360118,0.264116650424088,"SLC4A1"
"ENSG00000004948",-0.00362539779629545,0.0161691583783396,0.822803496742146,0.912392416158197,"CALCR"
"ENSG00000004961",-0.0754486774593104,0.0284135027388675,0.00852067440855383,0.0510498460936287,"HCCS"
