GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000228463    1     227615     267253      1       1  10610       0.1383        0.445
ENSG00000235146    1     523009     530148      1       1  10610       0.6455       0.2593
ENSG00000230021    1     536816     659930      1       1  10610       1.4253      0.07704
ENSG00000224956    1     661611     663527      1       1  10610     -0.70502       0.7596
ENSG00000223181    1     693613     693716      1       1  10610    -0.041873       0.5167
ENSG00000228327    1     700237     714006      5       3  10610     -0.42758      0.66552
ENSG00000237491    1     714150     745440     41       7  10610      -1.5627      0.94093
ENSG00000230092    1     736259     745541      9       3  10610      -1.1429      0.87346
ENSG00000240453    1     745489     753092     17       6  10610      -1.3843      0.91686
ENSG00000177757    1     752751     755214     16       3  10610      -1.0528      0.85378
ENSG00000225880    1     761586     762902     11       3  10610      -0.3865      0.65044
ENSG00000228794    1     762988     794826     53       8  10610     -0.60856      0.72859
ENSG00000230368    1     803451     812283     41      20  10610     -0.14816      0.55889
ENSG00000234711    1     808672     809729      2       1  10610      0.64401      0.25978
ENSG00000272438    1     840214     851356     47       9  10610       3.6971   0.00010904
ENSG00000230699    1     846815     850328     14       3  10610       3.2017   0.00068321
ENSG00000241180    1     849551     850351      5       2  10610       2.8487    0.0021952
ENSG00000223764    1     852245     856396     19       4  10610       2.8149    0.0024399
ENSG00000187634    1     860260     879955    107      31  10610       2.6823    0.0036555
ENSG00000268179    1     861264     866445     35      11  10610       1.7585     0.039334
ENSG00000188976    1     879584     894689     50       9  10610      0.11779      0.45312
ENSG00000187961    1     895967     901095     28       7  10610      0.32841       0.3713
ENSG00000187583    1     901877     911245     37      15  10610       0.2069      0.41805
ENSG00000187642    1     910579     917497     34      10  10610      0.36736      0.35667
ENSG00000272512    1     931346     933431     11       5  10610     -0.97872      0.83614
ENSG00000188290    1     934342     935552      4       2  10610     -0.61581      0.73099
ENSG00000231702    1     943456     943609      1       1  10610      -1.6127       0.9466
ENSG00000224969    1     947377     948573      2       1  10610      0.27594       0.3913
