GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000224956    1     661611     663527      1       1  160000     0.034598       0.4862
ENSG00000228327    1     700237     714006      3       2  160000     -0.89057      0.81342
ENSG00000237491    1     714150     745440     24       5  160000     -0.55345      0.71002
ENSG00000230092    1     736259     745541      5       3  160000     0.072788      0.47099
ENSG00000240453    1     745489     753092      9       3  160000      -1.2635       0.8968
ENSG00000177757    1     752751     755214     11       2  160000       -1.914      0.97219
ENSG00000225880    1     761586     762902      8       2  160000      -1.9906      0.97674
ENSG00000228794    1     762988     794826     35       4  160000      -1.1817      0.88134
ENSG00000230368    1     803451     812283      9       2  160000     -0.23049      0.59115
ENSG00000234711    1     808672     809729      1       1  160000      -1.3595        0.913
ENSG00000272438    1     840214     851356     34       5  160000      0.42558      0.33521
ENSG00000230699    1     846815     850328     11       2  160000     0.054358      0.47832
ENSG00000241180    1     849551     850351      4       2  160000      -0.1574      0.56254
ENSG00000223764    1     852245     856396     14       2  160000      0.89675      0.18493
ENSG00000187634    1     860260     879955     39      11  160000      0.78619      0.21588
ENSG00000268179    1     861264     866445     17       7  160000      0.68458      0.24681
ENSG00000188976    1     879584     894689     38       5  160000     -0.34983      0.63677
ENSG00000187961    1     895967     901095     20       4  160000    0.0010186      0.49959
ENSG00000187583    1     901877     911245     20       8  160000      0.31284       0.3772
ENSG00000187642    1     910579     917497     16       3  160000     -0.87945      0.81042
ENSG00000272512    1     931346     933431      8       3  160000     -0.98347      0.83731
ENSG00000188290    1     934342     935552      4       2  160000     -0.84201      0.80011
ENSG00000231702    1     943456     943609      1       1  160000      -3.3528       0.9996
ENSG00000224969    1     947377     948573      2       1  160000      0.40314      0.34342
ENSG00000187608    1     948803     949920      5       1  160000     -0.54624      0.70755
ENSG00000188157    1     955503     991496     90       9  160000      0.16808      0.43326
ENSG00000242590    1     990413     991496      5       1  160000     -0.38924      0.65145
ENSG00000217801    1     995114    1004735     18       5  160000      0.30936      0.37852
ENSG00000273443    1     997588     998668      3       2  160000      0.10124      0.45968
ENSG00000237330    1    1006346    1009687      7       2  160000      0.12521      0.45018
ENSG00000131591    1    1017198    1051741     94       9  160000     -0.57701      0.71803
ENSG00000223823    1    1072397    1079436     12       4  160000      0.46117      0.32234
ENSG00000272141    1    1104737    1105723      2       1  160000     -0.33469      0.63107
ENSG00000205231    1    1108436    1114935     36       5  160000       1.0153      0.15498
ENSG00000162571    1    1109264    1133315    126      15  160000   -0.0046671      0.50186
ENSG00000186891    1    1138888    1142071      7       1  160000       0.7599      0.22366
ENSG00000186827    1    1146706    1149518      4       1  160000      -2.0913      0.98175
ENSG00000078808    1    1152288    1167411     88       4  160000     -0.35092      0.63718
ENSG00000176022    1    1167629    1170421      2       1  160000      0.71187      0.23827
ENSG00000184163    1    1177826    1182102     10       2  160000     -0.43251      0.66731
ENSG00000260179    1    1185157    1186714      5       2  160000      0.61118      0.27054
ENSG00000160087    1    1189289    1209265     15       3  160000     -0.15897      0.56315
ENSG00000230415    1    1210603    1215800     12       3  160000     -0.74838      0.77288
ENSG00000162572    1    1215816    1227409     18       8  160000     -0.19103      0.57575
ENSG00000131584    1    1227756    1244989     31       5  160000      -0.5654       0.7141
ENSG00000169972    1    1243947    1247057      2       1  160000      0.28807      0.38665
ENSG00000127054    1    1246965    1260071     16       5  160000     -0.44408      0.67151
ENSG00000224051    1    1260136    1264277      8       2  160000     -0.10035      0.53997
ENSG00000169962    1    1266694    1270686      6       3  160000     0.062451       0.4751
ENSG00000107404    1    1270656    1284730     17       3  160000     -0.26551      0.60469
ENSG00000162576    1    1288069    1297157     16       3  160000      0.18779      0.42552
ENSG00000175756    1    1309110    1310875      3       2  160000      0.60544      0.27244
ENSG00000223663    1    1314046    1314412      2       1  160000      -1.1104      0.86659
ENSG00000221978    1    1321091    1334708     16       5  160000    -0.017466      0.50697
ENSG00000224870    1    1334902    1337426      6       2  160000      0.49659      0.30974
ENSG00000242485    1    1337288    1342693      8       3  160000     -0.49845      0.69092
ENSG00000272455    1    1344476    1345998      4       1  160000     -0.30222      0.61876
ENSG00000235098    1    1353800    1357149      5       1  160000     -0.31762      0.62461
ENSG00000225905    1    1355625    1358071      3       1  160000     -0.19488      0.57726
ENSG00000205116    1    1361508    1363167      8       3  160000      0.11371      0.45473
ENSG00000225285    1    1365919    1369953      8       1  160000      0.90522      0.18268
ENSG00000179403    1    1370241    1378262     12       2  160000      0.35367      0.36179
ENSG00000215915    1    1385069    1405538     39       5  160000     -0.93188       0.8243
ENSG00000160072    1    1407143    1433228     35       5  160000     -0.45393      0.67506
ENSG00000197785    1    1447531    1470067     39       9  160000     -0.70087      0.75831
ENSG00000205090    1    1470554    1475833      7       2  160000     -0.75879      0.77601
ENSG00000160075    1    1477053    1510249     68       6  160000      -1.1474      0.87439
ENSG00000215791    1    1497726    1499904      2       1  160000      -0.6171      0.73142
ENSG00000215014    1    1510355    1511373      5       2  160000      -1.2236      0.88944
ENSG00000228594    1    1533392    1535476      1       1  160000      0.45432       0.3248
ENSG00000272106    1    1549138    1551175      4       2  160000      -0.4289        0.666
ENSG00000197530    1    1550795    1565990     28       5  160000     0.064475       0.4743
ENSG00000248333    1    1570603    1590473     26       4  160000      0.69673      0.24299
ENSG00000272004    1    1590786    1594063      3       2  160000     0.083809       0.4666
ENSG00000189339    1    1592939    1624167     64      11  160000     -0.19892      0.57884
ENSG00000269737    1    1603429    1604850      3       1  160000      0.21207      0.41603
ENSG00000269227    1    1604714    1605836      1       1  160000      0.52728        0.299
ENSG00000215914    1    1631369    1633249      2       1  160000      -1.1055      0.86552
ENSG00000008128    1    1634169    1655766     56       5  160000      -1.1782      0.88065
ENSG00000268575    1    1634175    1669127     97      11  160000      -1.7139      0.95673
ENSG00000227775    1    1655951    1668690     39       6  160000      -1.7449       0.9595
ENSG00000215790    1    1656277    1677431     54       7  160000      -1.7863      0.96298
ENSG00000008130    1    1682671    1711896     65       9  160000      -0.3044      0.61959
ENSG00000078369    1    1716729    1822495    130      14  160000     -0.37478      0.64609
ENSG00000231050    1    1822910    1824097      2       1  160000     -0.39723       0.6544
ENSG00000169885    1    1846266    1848735     11       3  160000      -1.1587      0.87671
ENSG00000178821    1    1849029    1850712      6       3  160000      -1.3966      0.91874
ENSG00000142609    1    1853396    1935276    340      26  160000     -0.78908      0.78497
ENSG00000233542    1    1944652    1946969      2       1  160000      0.54195      0.29393
ENSG00000187730    1    1950780    1962192     21       3  160000      0.55134       0.2907
ENSG00000226969    1    1980642    1981509      1       1  160000      0.29237        0.385
