GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000224956    1     661611     663527      1       1  160000      0.95654       0.1694
ENSG00000237491    1     714150     745440     24       4  160000      0.16574      0.43418
ENSG00000230092    1     736259     745541      5       2  160000      0.26597      0.39513
ENSG00000240453    1     745489     753092      9       3  160000      -0.5539      0.71018
ENSG00000177757    1     752751     755214     13       3  160000      -1.1018      0.86472
ENSG00000225880    1     761586     762902      8       2  160000      0.19379      0.42317
ENSG00000228794    1     762988     794826     40       5  160000     -0.54896      0.70848
ENSG00000230368    1     803451     812283     13       4  160000      -1.4047      0.91994
ENSG00000234711    1     808672     809729      1       1  160000      -1.7577       0.9606
ENSG00000272438    1     840214     851356     40       6  160000      0.89283      0.18597
ENSG00000230699    1     846815     850328     14       3  160000      0.40381      0.34318
ENSG00000241180    1     849551     850351      4       2  160000      0.90139      0.18369
ENSG00000223764    1     852245     856396     16       3  160000       1.1013      0.13538
ENSG00000187634    1     860260     879955     67      18  160000       1.7338      0.04148
ENSG00000268179    1     861264     866445     28       9  160000         1.53     0.063004
ENSG00000188976    1     879584     894689     47       8  160000       1.4067     0.079761
ENSG00000187961    1     895967     901095     24       6  160000        1.497     0.067191
ENSG00000187583    1     901877     911245     36      15  160000       3.4275   0.00030453
ENSG00000187642    1     910579     917497     24       6  160000       2.4785    0.0065973
ENSG00000272512    1     931346     933431      9       4  160000       1.3201     0.093404
ENSG00000188290    1     934342     935552      4       2  160000      0.85964      0.19499
ENSG00000231702    1     943456     943609      1       1  160000      0.32497       0.3726
ENSG00000224969    1     947377     948573      2       1  160000       2.3981    0.0082392
ENSG00000187608    1     948803     949920      5       1  160000        1.002      0.15818
ENSG00000188157    1     955503     991496    109      13  160000       1.6055     0.054192
ENSG00000242590    1     990413     991496      7       2  160000     -0.69004      0.75492
ENSG00000217801    1     995114    1004735     24       7  160000       1.9796     0.023872
ENSG00000273443    1     997588     998668      4       2  160000       1.7232     0.042424
ENSG00000237330    1    1006346    1009687      8       3  160000       1.3056     0.095837
ENSG00000131591    1    1017198    1051741    117      13  160000       1.4073     0.079663
ENSG00000223823    1    1072397    1079436     13       4  160000     -0.27835      0.60963
