# ALPHA = 0.05
# TOT_SETS = 14


# _SET1_ SET = green
# _SET1_ NGENES = 711
# _SET1_ P = 0.00350845
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     ENSG00000116288     1    8014351    8045565     64      10  150064      0.44013      0.32992
_SET1_     ENSG00000117118     1   17345217   17380665    118      12  150064       2.6576    0.0039355
_SET1_     ENSG00000070831     1   22379120   22419437    104      16  150064       1.4991      0.06692
_SET1_     ENSG00000117632     1   26210672   26233482     27       5  150064     -0.99175      0.83934
_SET1_     ENSG00000117758     1   28099694   28150963     59       6  150064      0.49893      0.30891
_SET1_     ENSG00000126067     1   36067185   36107445     19       4  150064       2.4628    0.0068927
_SET1_     ENSG00000163875     1   37958176   37980375     75      14  150064      0.57854      0.28145
_SET1_     ENSG00000116922     1   38147242   38157914     42       6  150064      0.42205      0.33649
_SET1_     ENSG00000183520     1   38474930   38490496     29      12  150064    -0.067051      0.52673
_SET1_     ENSG00000127125     1   42921788   42939056     34       5  150064     -0.34627      0.63543
_SET1_     ENSG00000117395     1   43629846   43736607    394      29  150064      0.75954      0.22377
_SET1_     ENSG00000162368     1   47799469   47844511    113      11  150064      0.76747       0.2214
_SET1_     ENSG00000123091     1   51701943   51739127     47      10  150064       1.1111      0.13326
_SET1_     ENSG00000085832     1   51819935   51985000    508      18  150064      0.80303      0.21098
_SET1_     ENSG00000066557     1   70610488   70671303     93      13  150064     -0.39107      0.65213
_SET1_     ENSG00000077254     1   78161672   78225537     95      19  150064       1.3374     0.090553
_SET1_     ENSG00000142875     1   84543745   84704181    243      19  150064       1.7704     0.038331
_SET1_     ENSG00000117155     1   85109390   85156486    119      15  150064      0.53016        0.298
_SET1_     ENSG00000137947     1   89318615   89357627    117      10  150064      -1.0103      0.84382
_SET1_     ENSG00000197147     1   89990395   90063423    191      13  150064      0.67977      0.24832
_SET1_     ENSG00000174842     1   92711959   92764544     45       6  150064       2.0429     0.020533
_SET1_     ENSG00000117505     1   93811445   93835055     47       8  150064     -0.37922      0.64774
_SET1_     ENSG00000137996     1  100731763  100758325     65       6  150064     -0.43266      0.66737
_SET1_     ENSG00000143106     1  109941653  109969062     45       7  150064     -0.76751      0.77861
_SET1_     ENSG00000134248     1  110943871  110950564     17       5  150064       1.5848     0.056502
_SET1_     ENSG00000116459     1  111991486  112005395     29       6  150064     -0.23889      0.59441
_SET1_     ENSG00000116752     1  115110178  115124260     29      10  150064      0.63761      0.26186
_SET1_     ENSG00000131779     1  145516252  145523730      2       1  150064     -0.90351      0.81687
