GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000228794    1     762988     794826      1       1  18759       0.5778       0.2817
ENSG00000272438    1     840214     851356      1       1  18759      -1.5078       0.9342
ENSG00000223764    1     852245     856396      2       1  18759      -2.0274      0.97869
ENSG00000187634    1     860260     879955      3       2  18759      0.58033      0.28085
ENSG00000188976    1     879584     894689      5       2  18759      0.87929      0.18962
ENSG00000187583    1     901877     911245      1       1  18759      0.97977       0.1636
ENSG00000187642    1     910579     917497      1       1  18759      0.26631        0.395
ENSG00000272512    1     931346     933431      1       1  18759        1.371      0.08518
ENSG00000231702    1     943456     943609      1       1  18759      0.36247       0.3585
ENSG00000187608    1     948803     949920      1       1  18759      0.26008       0.3974
ENSG00000188157    1     955503     991496      7       3  18759      -1.5091      0.93436
ENSG00000242590    1     990413     991496      1       1  18759      0.16036       0.4363
ENSG00000217801    1     995114    1004735      1       1  18759      0.98872       0.1614
ENSG00000273443    1     997588     998668      1       1  18759      0.98872       0.1614
ENSG00000131591    1    1017198    1051741     14       4  18759     -0.51716      0.69748
ENSG00000205231    1    1108436    1114935      4       2  18759     -0.58051      0.71922
ENSG00000162571    1    1109264    1133315     12       4  18759     -0.86002      0.80511
ENSG00000186891    1    1138888    1142071      4       2  18759      -1.4969      0.93279
ENSG00000186827    1    1146706    1149518      1       1  18759      0.76177       0.2231
ENSG00000078808    1    1152288    1167411      8       3  18759      0.32909      0.37105
ENSG00000184163    1    1177826    1182102      2       1  18759      0.20531      0.41866
ENSG00000160087    1    1189289    1209265     10       4  18759     -0.92925      0.82362
ENSG00000230415    1    1210603    1215800      2       1  18759      -0.1801      0.57146
ENSG00000162572    1    1215816    1227409      5       2  18759      0.15977      0.43653
ENSG00000131584    1    1227756    1244989      8       2  18759     -0.86911      0.80761
ENSG00000127054    1    1246965    1260071      6       2  18759     -0.36459      0.64229
ENSG00000169962    1    1266694    1270686      1       1  18759       1.1063       0.1343
ENSG00000107404    1    1270656    1284730      1       1  18759      0.86872       0.1925
ENSG00000162576    1    1288069    1297157      3       1  18759     -0.55709      0.71127
ENSG00000221978    1    1321091    1334708      2       1  18759     -0.28387      0.61174
ENSG00000224870    1    1334902    1337426      3       1  18759     -0.21045      0.58334
ENSG00000235098    1    1353800    1357149      1       1  18759      0.19065       0.4244
ENSG00000225905    1    1355625    1358071      1       1  18759      0.19065       0.4244
ENSG00000225285    1    1365919    1369953      1       1  18759     -0.52958       0.7018
ENSG00000215915    1    1385069    1405538      1       1  18759    -0.092123       0.5367
ENSG00000160072    1    1407143    1433228      1       1  18759      -1.7093       0.9563
ENSG00000197785    1    1447531    1470067      6       1  18759      0.46172      0.32214
