"","ensembl_gene_id","entrezgene","external_gene_id","chromosome_name","start_position","end_position","Module.Color","Module.name","kME.CD1.turquoise","kME.CD2.blue","kME.CD3.brown","kME.CD4.yellow","kME.CD5.green","kME.CD6.red","kME.CD7.black","kME.CD8.pink","kME.CD9.magenta","kME.CD10.purple","kME.CD11.greenyellow","kME.CD12.tan","kME.CD13.salmon"
"ENSG00000000003","ENSG00000000003",7105,"TSPAN6","X",99883667,99894988,"yellow","CD4",-0.329799514943231,-0.11021752508723,0.234771034195212,0.684263501545919,-0.163689756842168,-0.141687454676362,0.199848532775431,-0.186242727595695,-0.0583326996951683,-0.311405898611406,0.201302290814988,0.220603454184204,-0.35232549194567
"ENSG00000000005","ENSG00000000005",64102,"TNMD","X",99839799,99854882,"blue","CD2",-0.0312060385137044,0.471168170903518,-0.250774266294149,-0.0571125964800481,-0.211274949781927,0.356287971265719,-0.338886154282917,0.215466269300183,-0.0745929490312345,-0.113427511776761,-0.0037824337530281,0.176247183491747,-0.108595935158216
"ENSG00000000419","ENSG00000000419",8813,"DPM1","20",49551404,49575092,"green","CD5",-0.0588964155028243,-0.456117276914293,0.0941954575251681,-0.257680554010402,0.75034700622189,-0.503860964640774,0.675626151946087,-0.557883234225716,-0.387057998682411,0.467640284743512,-0.0876233089376437,-0.193641764210633,0.422148375518058
"ENSG00000000457","ENSG00000000457",57147,"SCYL3","1",169818772,169863408,"grey","CD0",0.0241920567492734,-0.316035789227792,0.18139151221862,-0.0502852561399636,0.350015192439981,-0.290202804968259,0.388906947027376,-0.244753614312161,-0.0931040361748124,0.25909978457349,0.0374528623868469,0.00149042309658828,0.186801839743917
"ENSG00000000460","ENSG00000000460",55732,"C1orf112","1",169631245,169823221,"grey","CD0",-0.108169053339184,-0.11422468294565,0.229429257520311,0.0633407806937559,-0.0419888488565284,-0.04259191053653,0.120520091360446,-0.0695954731818312,0.0519677262063777,-0.00586531331550879,0.226321543298598,0.0333423619875582,-0.125350742564766
"ENSG00000000938","ENSG00000000938",2268,"FGR","1",27938575,27961788,"grey","CD0",-0.140986501424745,0.295907985848439,0.041978028408974,0.248397854730918,-0.422741041263519,0.245181579210538,-0.268277612167354,0.181690500863428,0.195937425154114,-0.337893217818321,0.325605356335532,0.375353725611086,-0.348064488511929
"ENSG00000000971","ENSG00000000971",3075,"CFH","1",196621008,196716634,"tan","CD12",-0.136657269478494,0.0148208852681517,-0.000453159871648845,0.219003970363836,-0.189045068467345,0.085367832149623,-0.0555840299618874,0.0546236315711667,0.0645684387210421,-0.225703553546335,0.33015593129908,0.6865177033667,-0.219794062681135
"ENSG00000001084","ENSG00000001084",2729,"GCLC","6",53362139,53481768,"brown","CD3",-0.419421781797992,-0.390074764247199,0.700870290044439,0.247947185443674,0.193285695666297,-0.448841924572666,0.626262202881798,-0.545319630872147,-0.164713997990814,-0.0565120078553834,0.157806004842148,-0.138984182913514,-0.169816432791245
"ENSG00000001167","ENSG00000001167",4800,"NFYA","6",41040684,41067715,"grey","CD0",-0.0126171802200505,-0.293471435229099,0.340795520185665,0.217547710856931,0.034022481460738,-0.186313361905926,0.25634850887947,-0.0926086423755625,0.179906156193657,0.00319190309914192,0.0484567455627718,-0.101434396852128,-0.0564977096291411
"ENSG00000001461","ENSG00000001461",57185,"NIPAL3","1",24742284,24799466,"brown","CD3",0.0194740121577446,-0.332394292727408,0.557262415406234,-0.153453763077217,0.145751467152396,-0.2612122112982,0.319217150961134,-0.210865492203541,0.173037176225541,0.182906711223996,-0.0317034794795213,-0.270023176589262,0.0884940915387541
"ENSG00000001497","ENSG00000001497",81887,"LAS1L","X",64732462,64754655,"magenta","CD9",0.169522011908432,0.0482494551048172,0.140139276012472,0.0862189619632646,-0.24957458738004,0.143814956207843,-0.169115916971094,0.283781342615527,0.444153177785337,-0.0458496441699849,0.0156485048765241,0.113026184333587,-0.15706527086756
"ENSG00000001561","ENSG00000001561",22875,"ENPP4","6",46097730,46114436,"black","CD7",-0.287969033515886,-0.473016620275678,0.631617596142396,-0.025804644300219,0.43856119501593,-0.492418761147351,0.742832176001345,-0.578545532187634,-0.232982491327409,0.12391765133047,-0.0193252266127185,-0.245169574139911,0.091867615209304
"ENSG00000001617","ENSG00000001617",6405,"SEMA3F","3",50192478,50226508,"grey","CD0",0.0954786426588344,0.289034359648227,-0.185923053913283,0.0881191067257721,-0.229844124986265,0.288337013804189,-0.312135956424587,0.285662321547044,0.194743842567597,-0.124842398060531,0.086179475481488,0.119612268311839,-0.069616401500565
