GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000237491    1     714150     745440      3       1  63766      -1.3425      0.91029
ENSG00000240453    1     745489     753092      1       1  63766      -1.3885       0.9175
ENSG00000177757    1     752751     755214      1       1  63766      -1.7565       0.9605
ENSG00000228794    1     762988     794826      6       1  63766     -0.77498      0.78083
ENSG00000188976    1     879584     894689      1       1  63766      0.23038       0.4089
ENSG00000188157    1     955503     991496      2       1  63766      -1.7919      0.96342
ENSG00000217801    1     995114    1004735      2       1  63766      0.27718      0.39082
ENSG00000273443    1     997588     998668      1       1  63766      0.45933        0.323
ENSG00000131591    1    1017198    1051741     18       5  63766     -0.41627      0.66139
ENSG00000223823    1    1072397    1079436      2       1  63766     -0.86771      0.80722
ENSG00000205231    1    1108436    1114935      2       1  63766     -0.87006      0.80787
ENSG00000162571    1    1109264    1133315     10       4  63766      -1.2227      0.88927
ENSG00000186891    1    1138888    1142071      2       1  63766      -1.5238      0.93621
ENSG00000186827    1    1146706    1149518      1       1  63766     -0.37723        0.647
ENSG00000078808    1    1152288    1167411      7       3  63766     -0.37815      0.64734
ENSG00000184163    1    1177826    1182102      1       1  63766     -0.19678        0.578
ENSG00000260179    1    1185157    1186714      1       1  63766     -0.92879       0.8235
ENSG00000160087    1    1189289    1209265      8       3  63766      -2.3479      0.99056
ENSG00000230415    1    1210603    1215800      1       1  63766      -1.5875       0.9438
ENSG00000162572    1    1215816    1227409      2       1  63766      -1.2903      0.90153
ENSG00000131584    1    1227756    1244989      4       1  63766      0.27103      0.39318
ENSG00000169972    1    1243947    1247057      1       1  63766      0.34619       0.3646
ENSG00000127054    1    1246965    1260071      1       1  63766     -0.22549       0.5892
ENSG00000215915    1    1385069    1405538      1       1  63766      0.44434       0.3284
ENSG00000160072    1    1407143    1433228      1       1  63766       1.2276       0.1098
ENSG00000197785    1    1447531    1470067      5       2  63766      0.10179      0.45946
ENSG00000205090    1    1470554    1475833      1       1  63766     -0.43357       0.6677
ENSG00000160075    1    1477053    1510249     17       2  63766     -0.91388      0.81961
ENSG00000215791    1    1497726    1499904      2       1  63766     -0.43116      0.66682
ENSG00000215014    1    1510355    1511373      2       1  63766      -1.1429      0.87347
ENSG00000008130    1    1682671    1711896      3       2  63766       1.2168      0.11185
ENSG00000078369    1    1716729    1822495     39       6  63766      0.50004      0.30852
ENSG00000231050    1    1822910    1824097      1       1  63766      -1.7114       0.9565
ENSG00000169885    1    1846266    1848735      1       1  63766      0.65604       0.2559
ENSG00000142609    1    1853396    1935276     17       4  63766       2.1278     0.016676
ENSG00000067606    1    1981909    2116834     64       7  63766      0.54919      0.29144
ENSG00000271806    1    2072523    2076718      5       2  63766      0.58697      0.27861
ENSG00000182873    1    2113233    2115828      1       1  63766     -0.75142       0.7738
ENSG00000162585    1    2115903    2144159      9       2  63766     -0.13149      0.55231
ENSG00000234396    1    2143962    2152177      1       1  63766     -0.53392       0.7033
ENSG00000157933    1    2160134    2241558     62      15  63766      -1.2516      0.89463
ENSG00000116151    1    2252692    2323146     63      14  63766     -0.30609      0.62023
ENSG00000272161    1    2257640    2258132      1       1  63766      0.12844       0.4489
ENSG00000269896    1    2281853    2284259     10       3  63766     -0.76206      0.77699
