GENE             CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
ENSG00000238009    1      89295     133566      1       1  7000       1.4441      0.07436
ENSG00000228463    1     227615     267253      1       1  7000       1.5604      0.05933
ENSG00000235146    1     523009     530148      1       1  7000       2.2633      0.01181
ENSG00000224956    1     661611     663527      1       1  7000       1.1302       0.1292
ENSG00000228327    1     700237     714006      2       1  7000      -1.7589       0.9607
ENSG00000237491    1     714150     745440      8       3  7000    0.0022484       0.4991
ENSG00000230092    1     736259     745541      2       1  7000       1.0186       0.1542
ENSG00000269831    1     738532     739137      1       1  7000      0.93072        0.176
ENSG00000240453    1     745489     753092      1       1  7000       -1.181       0.8812
ENSG00000228794    1     762988     794826     14       5  7000     -0.05992      0.52389
ENSG00000230368    1     803451     812283      4       2  7000       2.0406     0.020643
ENSG00000272438    1     840214     851356      9       4  7000       0.9293      0.17637
ENSG00000230699    1     846815     850328      7       2  7000      0.75893      0.22395
ENSG00000241180    1     849551     850351      3       1  7000      0.75567      0.22492
ENSG00000223764    1     852245     856396      6       2  7000      0.44315      0.32883
ENSG00000187634    1     860260     879955     15      10  7000        1.874     0.030466
ENSG00000268179    1     861264     866445      3       2  7000      0.82817      0.20379
ENSG00000188976    1     879584     894689      8       5  7000      0.33727      0.36796
ENSG00000187961    1     895967     901095      5       2  7000      0.12845       0.4489
ENSG00000187583    1     901877     911245      6       4  7000      0.51648      0.30276
ENSG00000187642    1     910579     917497      7       2  7000     -0.67437      0.74996
ENSG00000272512    1     931346     933431      4       1  7000     -0.32138      0.62604
ENSG00000188290    1     934342     935552      1       1  7000     -0.25412       0.6003
ENSG00000231702    1     943456     943609      1       1  7000      -0.2278       0.5901
ENSG00000187608    1     948803     949920      5       2  7000    -0.099063      0.53946
ENSG00000188157    1     955503     991496     29       8  7000      0.82848       0.2037
ENSG00000242590    1     990413     991496      2       1  7000       1.6516     0.049304
ENSG00000217801    1     995114    1004735      8       3  7000       1.2608       0.1037
ENSG00000273443    1     997588     998668      2       1  7000       1.0786      0.14039
ENSG00000237330    1    1006346    1009687      1       1  7000     -0.26969       0.6063
ENSG00000131591    1    1017198    1051741     42       4  7000       1.0156      0.15492
