GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000240453    1     745489     753092      1       1  161460     -0.82495       0.7953
ENSG00000177757    1     752751     755214      1       1  161460      0.61009       0.2709
ENSG00000228794    1     762988     794826      4       1  161460    0.0099397      0.49603
ENSG00000272438    1     840214     851356      1       1  161460      0.69573       0.2433
ENSG00000230699    1     846815     850328      1       1  161460      0.69573       0.2433
ENSG00000188976    1     879584     894689      1       1  161460      0.67606       0.2495
ENSG00000188157    1     955503     991496      2       1  161460      0.25137      0.40077
ENSG00000217801    1     995114    1004735      2       1  161460     -0.16713      0.56637
ENSG00000273443    1     997588     998668      1       1  161460      0.12844       0.4489
ENSG00000131591    1    1017198    1051741     17       5  161460      0.39631      0.34594
ENSG00000223823    1    1072397    1079436      2       1  161460      -1.1128      0.86709
ENSG00000205231    1    1108436    1114935      2       1  161460       0.2439      0.40365
ENSG00000162571    1    1109264    1133315     10       4  161460      0.78333      0.21672
ENSG00000186891    1    1138888    1142071      2       1  161460       1.0715      0.14197
ENSG00000078808    1    1152288    1167411      7       3  161460      0.79461      0.21342
ENSG00000184163    1    1177826    1182102      1       1  161460       1.2541       0.1049
ENSG00000260179    1    1185157    1186714      1       1  161460       1.8515      0.03205
ENSG00000160087    1    1189289    1209265      5       2  161460       1.4878     0.068402
ENSG00000230415    1    1210603    1215800      1       1  161460      0.11682       0.4535
ENSG00000131584    1    1227756    1244989      4       1  161460      0.46521      0.32089
ENSG00000127054    1    1246965    1260071      1       1  161460     0.085077       0.4661
ENSG00000215915    1    1385069    1405538      1       1  161460     -0.94551       0.8278
ENSG00000160072    1    1407143    1433228      1       1  161460      0.52469       0.2999
ENSG00000197785    1    1447531    1470067      4       1  161460     -0.18571      0.57366
ENSG00000205090    1    1470554    1475833      1       1  161460      0.24146       0.4046
ENSG00000160075    1    1477053    1510249     15       2  161460      0.27549      0.39147
ENSG00000215791    1    1497726    1499904      2       1  161460     0.066928      0.47332
ENSG00000215014    1    1510355    1511373      1       1  161460      0.68935       0.2453
ENSG00000008130    1    1682671    1711896      3       2  161460     0.096227      0.46167
ENSG00000078369    1    1716729    1822495     40       6  161460      0.95366      0.17013
ENSG00000231050    1    1822910    1824097      1       1  161460      -1.0283       0.8481
ENSG00000169885    1    1846266    1848735      1       1  161460       1.5633      0.05899
ENSG00000142609    1    1853396    1935276     16       4  161460      0.94178      0.17315
ENSG00000067606    1    1981909    2116834     62       7  161460      0.79554      0.21315
ENSG00000271806    1    2072523    2076718      5       2  161460       1.0672      0.14295
ENSG00000182873    1    2113233    2115828      1       1  161460       1.5088      0.06567
