GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000223972    1      11869      14412      2       1  23347      0.31046      0.37811
ENSG00000268020    1      52473      54936      2       1  23347      0.80398       0.2107
ENSG00000238009    1      89295     133566      9       5  23347      0.71015      0.23881
ENSG00000239945    1      89551      91105      1       1  23347       2.0511      0.02013
ENSG00000241860    1     141474     173862      1       1  23347      0.12869       0.4488
ENSG00000228463    1     227615     267253      5       3  23347      0.28931      0.38617
ENSG00000231709    1     521369     523833      1       1  23347      0.10774       0.4571
ENSG00000235146    1     523009     530148      2       1  23347    -0.035416      0.51413
ENSG00000230021    1     536816     659930      3       2  23347      -0.2295      0.59076
ENSG00000224956    1     661611     663527      2       1  23347      -1.0619      0.85585
ENSG00000223181    1     693613     693716      1       1  23347      -0.2895       0.6139
ENSG00000228327    1     700237     714006      8       5  23347     -0.23541      0.59305
ENSG00000237491    1     714150     745440     61      14  23347     -0.34425      0.63467
ENSG00000230092    1     736259     745541     18       8  23347      0.35493      0.36132
ENSG00000269831    1     738532     739137      1       1  23347     -0.46686       0.6797
ENSG00000240453    1     745489     753092     25       9  23347       0.3372      0.36798
ENSG00000177757    1     752751     755214     20       5  23347     -0.43683      0.66888
ENSG00000225880    1     761586     762902     15       5  23347     -0.45588      0.67576
ENSG00000228794    1     762988     794826    104      24  23347      0.10048      0.45998
ENSG00000230368    1     803451     812283     40      19  23347       1.5945     0.055417
ENSG00000234711    1     808672     809729      2       1  23347      0.95062       0.1709
ENSG00000269308    1     818043     819983      1       1  23347      -1.2635       0.8968
ENSG00000272438    1     840214     851356     58      13  23347      0.76377       0.2225
ENSG00000230699    1     846815     850328     21       5  23347      0.53387      0.29672
ENSG00000241180    1     849551     850351      7       3  23347     -0.27792      0.60946
ENSG00000223764    1     852245     856396     20       4  23347     0.087233      0.46524
ENSG00000187634    1     860260     879955    118      35  23347      0.70487      0.24045
ENSG00000268179    1     861264     866445     37      12  23347       0.9011      0.18377
ENSG00000188976    1     879584     894689     64      14  23347     -0.19107      0.57576
ENSG00000187961    1     895967     901095     31       8  23347      -1.0186       0.8458
ENSG00000187583    1     901877     911245     45      19  23347      0.23246      0.40809
ENSG00000187642    1     910579     917497     39      13  23347      0.52794      0.29877
ENSG00000272512    1     931346     933431     13       6  23347    -0.010143      0.50405
ENSG00000188290    1     934342     935552      5       2  23347      0.34911       0.3635
ENSG00000231702    1     943456     943609      1       1  23347      0.34406       0.3654
ENSG00000224969    1     947377     948573      2       1  23347     -0.34814      0.63613
ENSG00000187608    1     948803     949920      7       3  23347    -0.078615      0.53133
ENSG00000188157    1     955503     991496    175      27  23347     -0.54053      0.70558
ENSG00000242590    1     990413     991496      7       2  23347     -0.93968      0.82631
ENSG00000217801    1     995114    1004735     42      15  23347    -0.017437      0.50696
ENSG00000273443    1     997588     998668      7       4  23347     -0.35093      0.63718
ENSG00000237330    1    1006346    1009687     15       7  23347      0.70163      0.24145
ENSG00000131591    1    1017198    1051741    142      20  23347     -0.27337      0.60772
ENSG00000223823    1    1072397    1079436     17       6  23347      0.64586      0.25918
ENSG00000207730    1    1102484    1102578      1       1  23347      -2.6437       0.9959
ENSG00000272141    1    1104737    1105723      7       5  23347      0.42006      0.33722
ENSG00000205231    1    1108436    1114935     52       8  23347       3.4488   0.00028159
ENSG00000162571    1    1109264    1133315    183      26  23347       3.2442   0.00058894
ENSG00000186891    1    1138888    1142071     13       3  23347       3.6696   0.00012146
ENSG00000186827    1    1146706    1149518     11       5  23347       3.5036   0.00022947
ENSG00000078808    1    1152288    1167411    126      11  23347       2.2016     0.013846
ENSG00000176022    1    1167629    1170421      9       3  23347       3.2874   0.00050564
ENSG00000184163    1    1177826    1182102     23       9  23347       3.2078   0.00066886
ENSG00000260179    1    1185157    1186714     13       6  23347       3.8574   5.7293e-05
ENSG00000160087    1    1189289    1209265     69      14  23347       3.9255   4.3279e-05
ENSG00000230415    1    1210603    1215800     35       9  23347       4.1277   1.8322e-05
ENSG00000162572    1    1215816    1227409     64      25  23347       5.4852   2.0651e-08
ENSG00000131584    1    1227756    1244989     90      23  23347       3.7414    9.151e-05
ENSG00000169972    1    1243947    1247057      6       4  23347       4.3159   7.9474e-06
ENSG00000127054    1    1246965    1260071     36      14  23347       4.0068   3.0774e-05
ENSG00000240731    1    1252961    1254069      1       1  23347      0.41028       0.3408
ENSG00000224051    1    1260136    1264277     13       4  23347       2.7385    0.0030862
ENSG00000169962    1    1266694    1270686     17       7  23347       1.5048     0.066188
ENSG00000107404    1    1270656    1284730     53      13  23347       3.1916   0.00070752
ENSG00000162576    1    1288069    1297157     35       8  23347       3.1642   0.00077755
ENSG00000175756    1    1309110    1310875     11       5  23347       4.1713   1.5146e-05
ENSG00000223663    1    1314046    1314412      2       1  23347       2.5946    0.0047354
ENSG00000221978    1    1321091    1334708     32      12  23347         5.27   6.8222e-08
ENSG00000224870    1    1334902    1337426     10       4  23347       3.7216   9.8985e-05
ENSG00000242485    1    1337288    1342693     18       7  23347       3.8976   4.8581e-05
ENSG00000272455    1    1344476    1345998     11       3  23347       3.4919   0.00023978
ENSG00000235098    1    1353800    1357149     14       6  23347       4.5693   2.4465e-06
ENSG00000225905    1    1355625    1358071     12       6  23347       3.9328   4.1979e-05
ENSG00000205116    1    1361508    1363167     20      10  23347       2.7695    0.0028072
ENSG00000225285    1    1365919    1369953     20       7  23347       3.3682   0.00037828
ENSG00000179403    1    1370241    1378262     25       7  23347       2.8416    0.0022443
ENSG00000215915    1    1385069    1405538     99      18  23347       3.8913   4.9853e-05
ENSG00000160072    1    1407143    1433228    134      17  23347         3.11   0.00093531
ENSG00000197785    1    1447531    1470067    120      23  23347       2.9754    0.0014632
ENSG00000205090    1    1470554    1475833     15       7  23347       2.2603     0.011901
ENSG00000160075    1    1477053    1510249    125      18  23347       2.2611     0.011876
ENSG00000215791    1    1497726    1499904      6       3  23347       2.0238     0.021496
ENSG00000215014    1    1510355    1511373      6       2  23347       2.1237     0.016846
ENSG00000236684    1    1515136    1515379      1       1  23347       1.4051      0.07999
ENSG00000228594    1    1533392    1535476      2       1  23347       0.5101      0.30499
ENSG00000272106    1    1549138    1551175      7       3  23347       1.6365     0.050868
ENSG00000197530    1    1550795    1565990     45      11  23347       1.6593     0.048524
ENSG00000248333    1    1570603    1590473     43      10  23347       1.1015      0.13533
ENSG00000272004    1    1590786    1594063      6       3  23347     0.099175       0.4605
ENSG00000189339    1    1592939    1624167     95      22  23347       3.7167    0.0001009
ENSG00000269737    1    1603429    1604850      5       2  23347      0.50991      0.30506
ENSG00000269227    1    1604714    1605836      1       1  23347       1.1896       0.1171
ENSG00000215914    1    1631369    1633249      2       1  23347     -0.76224      0.77704
ENSG00000008128    1    1634169    1655766     88      12  23347       2.1328     0.016469
ENSG00000268575    1    1634175    1669127    155      24  23347       3.0196    0.0012654
ENSG00000227775    1    1655951    1668690     65      15  23347       3.3553   0.00039643
ENSG00000215790    1    1656277    1677431     89      17  23347        3.596    0.0001616
ENSG00000008130    1    1682671    1711896     99      20  23347       5.3216   5.1416e-08
ENSG00000078369    1    1716729    1822495    233      31  23347       4.9104   4.5456e-07
ENSG00000231050    1    1822910    1824097      2       1  23347      0.92451      0.17761
ENSG00000169885    1    1846266    1848735     12       4  23347       4.4478   4.3387e-06
ENSG00000178821    1    1849029    1850712      7       3  23347       4.2555   1.0429e-05
ENSG00000142609    1    1853396    1935276    456      37  23347       6.1071   5.0727e-10
ENSG00000233542    1    1944652    1946969      3       1  23347      0.39117      0.34784
ENSG00000187730    1    1950780    1962192     36      10  23347       1.0384      0.14955
ENSG00000226969    1    1980642    1981509      3       2  23347       -1.003      0.84207
ENSG00000067606    1    1981909    2116834    543      40  23347       1.3222     0.093055
ENSG00000271806    1    2072523    2076718     16       7  23347     0.023959      0.49044
ENSG00000182873    1    2113233    2115828      6       3  23347     -0.22542      0.58917
ENSG00000162585    1    2115903    2144159     78      21  23347      0.80167      0.21137
ENSG00000269554    1    2121237    2123179      5       3  23347       2.3047     0.010591
ENSG00000203301    1    2143360    2145620     14       9  23347      -1.7969      0.96382
ENSG00000243558    1    2143610    2144013      1       1  23347      -1.5884       0.9439
ENSG00000234396    1    2143962    2152177     27      11  23347      0.14439       0.4426
ENSG00000157933    1    2160134    2241558    313      56  23347     -0.87431      0.80902
ENSG00000116151    1    2252692    2323146    369      47  23347     -0.49913      0.69116
ENSG00000272161    1    2257640    2258132      5       2  23347       -1.204      0.88571
ENSG00000269896    1    2281853    2284259     20       6  23347     -0.33783      0.63226
ENSG00000238240    1    2283083    2283296      3       1  23347      0.19333      0.42335
ENSG00000272420    1    2294500    2295067      3       2  23347       0.1608      0.43612
ENSG00000271921    1    2306292    2306792      2       1  23347      -1.8054       0.9645
ENSG00000271847    1    2309056    2309799      1       1  23347    -0.076024       0.5303
ENSG00000178642    1    2316811    2319922      9       5  23347      0.84817      0.19817
ENSG00000157916    1    2323267    2336883     49      17  23347      0.87928      0.18962
ENSG00000157911    1    2336236    2345236     38      16  23347      0.87128       0.1918
ENSG00000149527    1    2357419    2436969    397      57  23347       1.7679     0.038543
ENSG00000224387    1    2423739    2424697      3       2  23347       3.0049    0.0013283
ENSG00000229393    1    2424876    2425918      2       1  23347      -1.1421       0.8733
ENSG00000157881    1    2439972    2458039     68      13  23347      0.66663       0.2525
ENSG00000197921    1    2460184    2461684      5       3  23347       1.9234     0.027214
ENSG00000272449    1    2477904    2478899      3       1  23347       3.5611   0.00018462
ENSG00000238164    1    2481359    2488470     26       9  23347       5.5484   1.4412e-08
ENSG00000157873    1    2487078    2496821     31       8  23347       5.5128   1.7656e-08
ENSG00000225931    1    2497849    2501327     18       4  23347       5.1399   1.3745e-07
ENSG00000228037    1    2512999    2515972      8       2  23347       5.1393   1.3786e-07
ENSG00000157870    1    2517930    2522908     12       5  23347       3.9556   3.8164e-05
ENSG00000142606    1    2522078    2564481    198      12  23347       2.9728    0.0014753
ENSG00000237058    1    2564007    2568059     21       7  23347       3.7174   0.00010063
ENSG00000215912    1    2567415    2718286    181      28  23347       2.8543    0.0021568
ENSG00000233234    1    2728415    2729257      6       2  23347       1.3614       0.0867
ENSG00000231630    1    2730997    2731563      4       2  23347       0.4273      0.33458
ENSG00000169717    1    2938046    2939465      5       2  23347       1.5515     0.060386
ENSG00000177133    1    2976179    2985001     27      14  23347       2.3689    0.0089197
ENSG00000256761    1    2978523    2978959      2       1  23347      0.91899      0.17905
ENSG00000142611    1    2985732    3355185   1895     185  23347     0.065032      0.47407
ENSG00000226286    1    3049491    3050273      5       2  23347      0.18301       0.4274
ENSG00000272235    1    3223200    3226660     22       7  23347      0.88916      0.18696
ENSG00000130762    1    3370990    3397677    111      16  23347       1.3241     0.092733
ENSG00000162591    1    3406484    3528059    634      87  23347     -0.63151      0.73615
ENSG00000238260    1    3539754    3541307      5       2  23347      0.89032      0.18665
ENSG00000158109    1    3541566    3546691     14       5  23347      -1.6995      0.95538
ENSG00000116213    1    3547331    3569325     68      22  23347     -0.92477      0.82246
ENSG00000078900    1    3569084    3652765    398      62  23347     -0.32717      0.62823
ENSG00000227589    1    3575502    3585336     45       9  23347     -0.76619      0.77822
ENSG00000235131    1    3628764    3630862      9       4  23347      -1.4254      0.92298
ENSG00000227372    1    3652548    3663900     47      13  23347       0.9247      0.17756
ENSG00000162592    1    3668962    3688209     92      23  23347       1.5889     0.056046
ENSG00000235169    1    3689352    3692546     19      10  23347    -0.033897      0.51352
ENSG00000130764    1    3696784    3713068     97      21  23347      0.33608      0.36841
ENSG00000266075    1    3699379    3699673      3       2  23347     -0.82679      0.79582
ENSG00000272153    1    3701572    3702102      3       1  23347     -0.68241      0.75251
ENSG00000116198    1    3728645    3773778    337      22  23347      0.47824      0.31624
ENSG00000169598    1    3773845    3801993    201      29  23347     -0.68022      0.75182
ENSG00000198912    1    3805689    3816857     57      12  23347      0.93911      0.17384
ENSG00000236423    1    3816936    3833789     75      18  23347     -0.28828      0.61343
ENSG00000233304    1    4000673    4015322    125      27  23347      -1.6995      0.95538
ENSG00000226374    1    4007209    4009040     12       4  23347     -0.22007      0.58709
ENSG00000229280    1    4235588    4235959      3       2  23347      0.22251      0.41196
ENSG00000235054    1    4472111    4484747     73      21  23347       1.7979     0.036094
ENSG00000227169    1    4611795    4612205      1       1  23347      0.93381       0.1752
ENSG00000232596    1    4631608    4643481     55      13  23347      0.52681      0.29916
ENSG00000196581    1    4714792    4852594    776      85  23347      0.36796      0.35645
ENSG00000231510    1    5146519    5150959     16       4  23347     -0.12595      0.55012
ENSG00000260972    1    5553038    5554734      8       2  23347     -0.46027      0.67734
ENSG00000236948    1    5647428    5728355    426      57  23347      0.48346      0.31439
ENSG00000131697    1    5922871    6052533    490      28  23347     -0.85512      0.80376
