GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000237491    1     714150     745440      4       1  150064      0.42437      0.33565
ENSG00000230092    1     736259     745541      1       1  150064    -0.033094       0.5132
ENSG00000240453    1     745489     753092      4       1  150064     -0.76229      0.77706
ENSG00000177757    1     752751     755214      9       1  150064      -1.0618      0.85585
ENSG00000225880    1     761586     762902      8       2  150064      -1.3693      0.91455
ENSG00000228794    1     762988     794826     30       2  150064      -1.2116      0.88717
ENSG00000230368    1     803451     812283      7       2  150064     -0.34705      0.63572
ENSG00000272438    1     840214     851356     18       1  150064       1.8337      0.03335
ENSG00000230699    1     846815     850328      9       1  150064       1.7649     0.038789
ENSG00000241180    1     849551     850351      2       1  150064        1.706     0.044006
ENSG00000223764    1     852245     856396      4       1  150064       1.4928     0.067741
ENSG00000187634    1     860260     879955     23       5  150064      0.75863      0.22404
ENSG00000268179    1     861264     866445      9       2  150064      0.11802      0.45303
ENSG00000188976    1     879584     894689     31       4  150064       1.6916     0.045358
ENSG00000187961    1     895967     901095     12       2  150064      0.76498      0.22214
ENSG00000187583    1     901877     911245      5       3  150064     0.050639      0.47981
ENSG00000187642    1     910579     917497     20       4  150064     -0.26268       0.6036
ENSG00000272512    1     931346     933431      7       3  150064     -0.77304      0.78025
ENSG00000188290    1     934342     935552      4       2  150064     -0.56026      0.71235
ENSG00000231702    1     943456     943609      1       1  150064      0.57513       0.2826
ENSG00000224969    1     947377     948573      1       1  150064      0.42889        0.334
ENSG00000187608    1     948803     949920      5       1  150064      0.52943      0.29825
ENSG00000188157    1     955503     991496     80       8  150064      0.55167      0.29059
ENSG00000242590    1     990413     991496      5       1  150064      0.54218      0.29385
ENSG00000217801    1     995114    1004735     17       4  150064       1.3116      0.09482
ENSG00000273443    1     997588     998668      4       2  150064       1.5085     0.065719
ENSG00000237330    1    1006346    1009687      7       2  150064      0.39273      0.34726
ENSG00000131591    1    1017198    1051741     98       9  150064      0.16552      0.43427
ENSG00000223823    1    1072397    1079436      9       2  150064     -0.23786        0.594
ENSG00000205231    1    1108436    1114935     44       6  150064      -1.7299      0.95817
ENSG00000162571    1    1109264    1133315    148      18  150064      -2.0403      0.97934
ENSG00000186891    1    1138888    1142071     10       2  150064       -1.151      0.87513
ENSG00000186827    1    1146706    1149518      9       3  150064       1.1873      0.11756
ENSG00000078808    1    1152288    1167411     95       5  150064      0.81618       0.2072
ENSG00000176022    1    1167629    1170421      8       2  150064       1.8933     0.029158
ENSG00000184163    1    1177826    1182102     10       2  150064       1.8456     0.032474
ENSG00000260179    1    1185157    1186714      8       3  150064       1.6903     0.045481
ENSG00000160087    1    1189289    1209265     44       6  150064      -1.2461      0.89364
ENSG00000230415    1    1210603    1215800     25       5  150064      -1.8178      0.96545
ENSG00000162572    1    1215816    1227409     39      12  150064      -1.1033      0.86505
ENSG00000131584    1    1227756    1244989     50       8  150064     -0.58051      0.71922
ENSG00000169972    1    1243947    1247057      3       2  150064     -0.42804      0.66569
ENSG00000127054    1    1246965    1260071     17       4  150064      0.83434      0.20204
ENSG00000224051    1    1260136    1264277     11       3  150064     -0.14779      0.55874
ENSG00000169962    1    1266694    1270686     10       3  150064      0.44746      0.32727
ENSG00000107404    1    1270656    1284730     33       5  150064      0.57236      0.28354
ENSG00000162576    1    1288069    1297157     25       4  150064      0.25613      0.39893
ENSG00000175756    1    1309110    1310875      9       3  150064      0.75232      0.22593
ENSG00000223663    1    1314046    1314412      2       1  150064       0.5866      0.27874
ENSG00000221978    1    1321091    1334708     17       5  150064     -0.38578      0.65017
ENSG00000224870    1    1334902    1337426      9       3  150064     -0.28778      0.61324
ENSG00000242485    1    1337288    1342693     12       4  150064      0.27549      0.39147
ENSG00000272455    1    1344476    1345998     10       3  150064      0.10959      0.45637
ENSG00000235098    1    1353800    1357149      9       3  150064    -0.030784      0.51228
ENSG00000225905    1    1355625    1358071      6       2  150064      0.38796      0.34902
ENSG00000205116    1    1361508    1363167      7       2  150064     -0.10402      0.54142
ENSG00000225285    1    1365919    1369953     11       3  150064     0.021782      0.49131
ENSG00000179403    1    1370241    1378262     16       4  150064      0.75124      0.22625
ENSG00000215915    1    1385069    1405538     58       9  150064     -0.25078      0.59901
ENSG00000160072    1    1407143    1433228     92       8  150064     0.033399      0.48668
ENSG00000197785    1    1447531    1470067     77      11  150064     -0.43576       0.6685
ENSG00000205090    1    1470554    1475833     10       3  150064       1.0883      0.13824
ENSG00000160075    1    1477053    1510249     94      10  150064       1.3069     0.095628
ENSG00000215791    1    1497726    1499904      6       3  150064       1.1516      0.12475
ENSG00000215014    1    1510355    1511373      6       2  150064       1.6952     0.045022
ENSG00000236684    1    1515136    1515379      1       1  150064      0.44517       0.3281
