# ALPHA = 0.05
# TOT_SETS = 14


# _SET1_ SET = turquoise
# _SET1_ NGENES = 1064
# _SET1_ P = 0.00201074
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     ENSG00000188976     1     879584     894689     47       8  160000       1.4067     0.079761
_SET1_     ENSG00000188157     1     955503     991496    109      13  160000       1.6055     0.054192
_SET1_     ENSG00000127054     1    1246965    1260071     18       5  160000     -0.46658       0.6796
_SET1_     ENSG00000224051     1    1260136    1264277     11       3  160000      -1.0042      0.84235
_SET1_     ENSG00000107404     1    1270656    1284730     40       8  160000    -0.068857      0.52745
_SET1_     ENSG00000175756     1    1309110    1310875      7       3  160000      0.11976      0.45234
_SET1_     ENSG00000067606     1    1981909    2116834    421      25  160000      0.12249      0.45126
_SET1_     ENSG00000196581     1    4714792    4852594    681      80  160000     0.039785      0.48413
_SET1_     ENSG00000131697     1    5922871    6052533    410      18  160000      0.33327      0.36946
_SET1_     ENSG00000069424     1    6051526    6161253    318      45  160000     -0.55972      0.71216
_SET1_     ENSG00000116254     1    6161853    6240183    302      33  160000       1.8989     0.028787
_SET1_     ENSG00000116237     1    6281253    6296032     28       4  160000       2.0141        0.022
_SET1_     ENSG00000204859     1    6640061    6649340     11       5  160000      0.60523      0.27251
_SET1_     ENSG00000007923     1    6694228    6761984    150      19  160000      0.73285      0.23183
_SET1_     ENSG00000171608     1    9711790    9789172    141      30  160000       2.3756      0.00876
_SET1_     ENSG00000171603     1    9789084    9884584    130      17  160000     0.057752      0.47697
_SET1_     ENSG00000178585     1    9908334    9970394     74      13  160000     -0.42404      0.66423
_SET1_     ENSG00000116649     1   11114641   11120081      9       3  160000      0.72156      0.23528
_SET1_     ENSG00000198793     1   11166592   11322564    330      10  160000      0.90683      0.18225
_SET1_     ENSG00000116661     1   11708424   11715842     22      11  160000       1.4702     0.070753
_SET1_     ENSG00000116688     1   12040238   12073571     93      11  160000     -0.38009      0.64806
_SET1_     ENSG00000116731     1   14026693   14151574    353      27  160000     -0.76136      0.77678
_SET1_     ENSG00000189337     1   14925200   15444539   1962     181  160000     -0.45167      0.67425
_SET1_     ENSG00000142634     1   15736391   15756839     67      20  160000       2.8082    0.0024907
_SET1_     ENSG00000116809     1   16268364   16302627     56      13  160000     -0.80011      0.78818
_SET1_     ENSG00000159363     1   17312453   17338423     55      11  160000      0.93664      0.17447
_SET1_     ENSG00000270136     1   19923473   19984549    174      29  160000     0.054055      0.47845
_SET1_     ENSG00000162545     1   20808884   20812713      4       2  160000       2.4301    0.0075483
_SET1_     ENSG00000158828     1   20959948   20978004     77      11  160000     -0.70521      0.75966
_SET1_     ENSG00000117245     1   20990507   21044510    216      35  160000      0.18352      0.42719
_SET1_     ENSG00000076864     1   21922708   21995801    276      40  160000     -0.54682      0.70775
_SET1_     ENSG00000117308     1   24122089   24127271      2       1  160000      0.35104      0.36278
_SET1_     ENSG00000158008     1   26346375   26362955     27       8  160000    0.0059274      0.49764
_SET1_     ENSG00000142684     1   26496362   26498551     10       3  160000     -0.35652      0.63928
_SET1_     ENSG00000090020     1   27425306   27493472     76       8  160000       -1.015      0.84495
_SET1_     ENSG00000116353     1   29519385   29557454     96      16  160000       1.8739     0.030474
_SET1_     ENSG00000121753     1   32192718   32230494     40       8  160000       5.3882   3.5585e-08
_SET1_     ENSG00000121775     1   32537632   32568467     43       7  160000       1.2988     0.097003
_SET1_     ENSG00000025800     1   32573639   32642169     81      11  160000      0.77271      0.21985
