# ALPHA = 0.05
# TOT_SETS = 14


# _SET1_ SET = blue
# _SET1_ NGENES = 1012
# _SET1_ P = 0.00311838
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
_SET1_     ENSG00000186827     1    1146706    1149518     11       5  23347       3.5036   0.00022947
_SET1_     ENSG00000162576     1    1288069    1297157     35       8  23347       3.1642   0.00077755
_SET1_     ENSG00000142609     1    1853396    1935276    456      37  23347       6.1071   5.0727e-10
_SET1_     ENSG00000130762     1    3370990    3397677    111      16  23347       1.3241     0.092733
_SET1_     ENSG00000158292     1    6307406    6321035     48       6  23347     -0.33468      0.63107
_SET1_     ENSG00000069812     1    6472478    6484730     48      11  23347       2.9066    0.0018267
_SET1_     ENSG00000049249     1    7979907    8000926     51       9  23347       2.2427     0.012457
_SET1_     ENSG00000131686     1    9005926    9035151    155      36  23347       1.0039      0.15771
_SET1_     ENSG00000009724     1   11086580   11107290     75      14  23347        2.527    0.0057516
_SET1_     ENSG00000120937     1   11917521   11918988      3       2  23347      0.70995      0.23887
_SET1_     ENSG00000116726     1   12834984   12838049     14       4  23347      0.48205      0.31489
_SET1_     ENSG00000237700     1   13411551   13414482      1       1  23347     0.016294       0.4935
_SET1_     ENSG00000162438     1   15764935   15775737     34      12  23347       2.1914     0.014211
_SET1_     ENSG00000184908     1   16370272   16383803    130      17  23347     -0.74699      0.77247
_SET1_     ENSG00000142623     1   17531621   17572500    233      59  23347        1.444     0.074376
_SET1_     ENSG00000142619     1   17575593   17610728    201      29  23347      0.40897      0.34128
_SET1_     ENSG00000117148     1   18081808   18153558    254      28  23347      -1.3475      0.91109
_SET1_     ENSG00000178828     1   20140523   20141771     11       7  23347        1.201      0.11487
_SET1_     ENSG00000188784     1   20246502   20250110     21       7  23347        2.797    0.0025793
_SET1_     ENSG00000188257     1   20301925   20306932     21      11  23347       0.5115       0.3045
_SET1_     ENSG00000117215     1   20438432   20446050     30      14  23347      -1.5171      0.93538
_SET1_     ENSG00000158786     1   20465819   20476879     31      16  23347      0.72691      0.23364
_SET1_     ENSG00000162552     1   22443798   22470462    107      22  23347      0.87604      0.19051
_SET1_     ENSG00000179546     1   23516993   23521222     10       3  23347        1.523     0.063885
_SET1_     ENSG00000007968     1   23832922   23857712     56      11  23347       1.2991     0.096948
_SET1_     ENSG00000011009     1   24117460   24122029      3       2  23347      -1.0461      0.85224
_SET1_     ENSG00000142677     1   24446261   24469611     88      22  23347       1.0059      0.15723
_SET1_     ENSG00000187010     1   25598884   25656936    275      18  23347     -0.24801      0.59794
_SET1_     ENSG00000176092     1   26648350   26680621    116      20  23347     -0.16135      0.56409
_SET1_     ENSG00000131910     1   27237980   27240457      8       5  23347      0.74875        0.227
_SET1_     ENSG00000142748     1   27695603   27701315     12       7  23347      0.45023      0.32627
_SET1_     ENSG00000130768     1   28261504   28285668     87      16  23347     0.018757      0.49252
_SET1_     ENSG00000158156     1   28285973   28294607     27      12  23347       1.4848     0.068801
_SET1_     ENSG00000121764     1   32083287   32098119     33       5  23347     -0.86322      0.80599
_SET1_     ENSG00000182866     1   32716840   32751766     62      29  23347     -0.72926      0.76708
_SET1_     ENSG00000189433     1   35225342   35229325     23      13  23347       1.3884     0.082505
_SET1_     ENSG00000188910     1   35246790   35251970     18       7  23347      0.82223      0.20547
_SET1_     ENSG00000171812     1   36560837   36590821     87      18  23347     -0.66458      0.74684
_SET1_     ENSG00000163874     1   37940153   37949980     17       7  23347       1.1374      0.12768
_SET1_     ENSG00000183386     1   38462442   38471278     24      15  23347     -0.46453      0.67887
_SET1_     ENSG00000214114     1   39328636   39347289     64      16  23347      -1.5247      0.93633
_SET1_     ENSG00000182109     1   39987952   40011859     88      22  23347     -0.43471      0.66811
_SET1_     ENSG00000163909     1   40089825   40105617     45      19  23347     -0.11201      0.54459
_SET1_     ENSG00000116990     1   40361098   40367928     16       9  23347      0.13644      0.44574
_SET1_     ENSG00000044012     1   42619092   42621495     10       5  23347     -0.23377      0.59242
_SET1_     ENSG00000197273     1   42628362   42630389      5       3  23347      0.13943      0.44455
_SET1_     ENSG00000117407     1   44398992   44402913     14       6  23347       -1.173       0.8796
