GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000237491    1     714150     745440      2       1  23347      -1.0535      0.85394
ENSG00000240453    1     745489     753092      1       1  23347     -0.49869        0.691
ENSG00000177757    1     752751     755214      1       1  23347     -0.61281         0.73
ENSG00000228794    1     762988     794826      6       1  23347      -0.6973      0.75719
ENSG00000272438    1     840214     851356      1       1  23347     -0.80296        0.789
ENSG00000187961    1     895967     901095      1       1  23347      0.10799        0.457
ENSG00000188157    1     955503     991496      2       1  23347      0.97766      0.16412
ENSG00000217801    1     995114    1004735      2       1  23347      -1.0727      0.85829
ENSG00000273443    1     997588     998668      1       1  23347      -1.4611        0.928
ENSG00000131591    1    1017198    1051741     17       5  23347      0.36364      0.35806
ENSG00000223823    1    1072397    1079436      2       1  23347       1.1277      0.12973
ENSG00000205231    1    1108436    1114935      2       1  23347   0.00068876      0.49973
ENSG00000162571    1    1109264    1133315     10       4  23347     -0.72433      0.76557
ENSG00000186891    1    1138888    1142071      2       1  23347     -0.71634      0.76311
ENSG00000186827    1    1146706    1149518      1       1  23347     -0.67449         0.75
ENSG00000078808    1    1152288    1167411      7       3  23347      0.53366      0.29679
ENSG00000184163    1    1177826    1182102      1       1  23347     -0.25076        0.599
ENSG00000260179    1    1185157    1186714      1       1  23347       -1.825        0.966
ENSG00000160087    1    1189289    1209265      8       3  23347     -0.84658      0.80139
ENSG00000230415    1    1210603    1215800      2       1  23347       1.2442      0.10672
ENSG00000162572    1    1215816    1227409      2       1  23347      -0.6196      0.73224
ENSG00000131584    1    1227756    1244989      1       1  23347      0.66196        0.254
ENSG00000127054    1    1246965    1260071      2       1  23347      -1.0026      0.84197
ENSG00000162576    1    1288069    1297157      1       1  23347      -1.1952        0.884
ENSG00000215915    1    1385069    1405538      1       1  23347     -0.63412        0.737
ENSG00000160072    1    1407143    1433228      1       1  23347     -0.70309        0.759
ENSG00000197785    1    1447531    1470067      5       2  23347     -0.39408      0.65324
ENSG00000205090    1    1470554    1475833      1       1  23347     -0.99036        0.839
ENSG00000160075    1    1477053    1510249     17       2  23347      -1.2925      0.90191
ENSG00000215791    1    1497726    1499904      2       1  23347     -0.59726      0.72483
ENSG00000215014    1    1510355    1511373      2       1  23347      -1.0699      0.85766
ENSG00000268575    1    1634175    1669127      1       1  23347      -1.1359        0.872
ENSG00000227775    1    1655951    1668690      1       1  23347      -1.1359        0.872
ENSG00000215790    1    1656277    1677431      1       1  23347      -1.1359        0.872
ENSG00000008130    1    1682671    1711896      6       2  23347     -0.66818      0.74799
ENSG00000078369    1    1716729    1822495     42       6  23347      0.81393      0.20784
ENSG00000231050    1    1822910    1824097      1       1  23347     -0.88529        0.812
ENSG00000169885    1    1846266    1848735      1       1  23347      0.94629        0.172
ENSG00000142609    1    1853396    1935276     19       5  23347      0.39591      0.34609
ENSG00000233542    1    1944652    1946969      1       1  23347       1.1311        0.129
